Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
3000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.275909
3001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.270437
3002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.259834
3003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.265673
3004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.265422
3005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.263295
3006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.264991
3007000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.252584
3008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.260938
3009000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.257838
3010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.266873
3011000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.269838
3012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.244649
3013000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.271324
3014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.238939
3015000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.277211
3016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.262950
3017000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.260835
3018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.263290
3019000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.260301
3020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.257086
3021000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.260796
3022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.259561
3023000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.256869
3024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.260756
3025000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.252381
3026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.243662
3027000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.252175
3028000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.239218
3029000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.237073
3030000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.243750
3031000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.241374
3032000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.246465
3033000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.227760
3034000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.236311
3035000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.249355
3036000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.244781
3037000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.251499
3038000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.250786
3039000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.247484
3040000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.244462
3041000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.236967
3042000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.236170
3043000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.253781
3044000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.242432
3045000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.245939
3046000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.253137
3047000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.242451
3048000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.246053
