Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
3000000,0.2191,0.065854,0.000377,0.000034,0.041306
3001000,0.2191,0.065854,0.000377,0.000034,0.041235
3002000,0.2191,0.065854,0.000377,0.000034,0.041378
3003000,0.2191,0.065854,0.000377,0.000034,0.041093
3004000,0.2191,0.065854,0.000377,0.000034,0.041657
3005000,0.2191,0.065854,0.000377,0.000034,0.041300
3006000,0.2191,0.065854,0.000377,0.000034,0.041665
3007000,0.2191,0.065854,0.000377,0.000034,0.040885
3008000,0.2191,0.065854,0.000377,0.000034,0.041377
3009000,0.2191,0.065854,0.000377,0.000034,0.040957
3010000,0.2191,0.065854,0.000377,0.000034,0.041161
3011000,0.2191,0.065854,0.000377,0.000034,0.041170
3012000,0.2191,0.065854,0.000377,0.000034,0.041028
3013000,0.2191,0.065854,0.000377,0.000034,0.041313
3014000,0.2191,0.065854,0.000377,0.000034,0.041148
3015000,0.2191,0.065854,0.000377,0.000034,0.041323
3016000,0.2191,0.065854,0.000377,0.000034,0.041235
3017000,0.2191,0.065854,0.000377,0.000034,0.041234
3018000,0.2191,0.065854,0.000377,0.000034,0.041435
3019000,0.2191,0.065854,0.000377,0.000034,0.041314
3020000,0.2191,0.065854,0.000377,0.000034,0.041162
3021000,0.2191,0.065854,0.000377,0.000034,0.041299
3022000,0.2191,0.065854,0.000377,0.000034,0.041177
3023000,0.2191,0.065854,0.000377,0.000034,0.041165
3024000,0.2191,0.065854,0.000377,0.000034,0.041371
3025000,0.2191,0.065854,0.000377,0.000034,0.041234
3026000,0.2191,0.065854,0.000377,0.000034,0.041307
3027000,0.2191,0.065854,0.000377,0.000034,0.041514
3028000,0.2191,0.065854,0.000377,0.000034,0.041108
3029000,0.2191,0.065854,0.000377,0.000034,0.041370
3030000,0.2191,0.065854,0.000377,0.000034,0.041298
3031000,0.2191,0.065854,0.000377,0.000034,0.041460
3032000,0.2191,0.065854,0.000377,0.000034,0.041298
3033000,0.2191,0.065854,0.000377,0.000034,0.041731
3034000,0.2191,0.065854,0.000377,0.000034,0.041170
3035000,0.2191,0.065854,0.000377,0.000034,0.041155
3036000,0.2191,0.065854,0.000377,0.000034,0.041316
3037000,0.2191,0.065854,0.000377,0.000034,0.041090
3038000,0.2191,0.065854,0.000377,0.000034,0.041371
3039000,0.2191,0.065854,0.000377,0.000034,0.041378
3040000,0.2191,0.065854,0.000377,0.000034,0.041163
3041000,0.2191,0.065854,0.000377,0.000034,0.041099
3042000,0.2191,0.065854,0.000377,0.000034,0.041378
3043000,0.2191,0.065854,0.000377,0.000034,0.041802
3044000,0.2191,0.065854,0.000377,0.000034,0.041093
3045000,0.2191,0.065854,0.000377,0.000034,0.041514
3046000,0.2191,0.065854,0.000377,0.000034,0.041443
3047000,0.2191,0.065854,0.000377,0.000034,0.041442
3048000,0.2191,0.065854,0.000377,0.000034,0.041235
3049000,0.2191,0.065854,0.000377,0.000034,0.041107
3050000,0.2191,0.065854,0.000377,0.000034,0.040955
3051000,0.2191,0.065854,0.000377,0.000034,0.041811
3052000,0.2191,0.065854,0.000377,0.000034,0.040795
3053000,0.2191,0.065854,0.000377,0.000034,0.041099
3054000,0.2191,0.065854,0.000377,0.000034,0.041513
3055000,0.2191,0.065854,0.000377,0.000034,0.041732
3056000,0.2191,0.065854,0.000377,0.000034,0.040890
3057000,0.2191,0.065854,0.000377,0.000034,0.041580
3058000,0.2191,0.065854,0.000377,0.000034,0.041027
3059000,0.2191,0.065854,0.000377,0.000034,0.041379
3060000,0.2191,0.065854,0.000377,0.000034,0.041378
3061000,0.2191,0.065854,0.000377,0.000034,0.041371
3062000,0.2191,0.065854,0.000377,0.000034,0.041170
3063000,0.2191,0.065854,0.000377,0.000034,0.041371
3064000,0.2191,0.065854,0.000377,0.000034,0.041234
3065000,0.2191,0.065854,0.000377,0.000034,0.041163
3066000,0.2191,0.065854,0.000377,0.000034,0.041306
3067000,0.2191,0.065854,0.000377,0.000034,0.041235
3068000,0.2191,0.065854,0.000377,0.000034,0.041378
