Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
22000000,8.6440,0.261844,0.058609,0.079322,0.239520
22001000,8.6440,0.261844,0.058609,0.079322,0.190818
22002000,8.6440,0.261844,0.058609,0.079322,0.106626
22003000,8.6440,0.261844,0.058609,0.079322,0.223526
22004000,8.6440,0.261844,0.058609,0.079322,0.192708
22005000,8.6440,0.261844,0.058609,0.079322,0.226953
22006000,8.6440,0.261844,0.058609,0.079322,0.222525
22007000,8.6440,0.261844,0.058609,0.079322,0.179897
22008000,8.6440,0.261844,0.058609,0.079322,0.267469
22009000,8.6440,0.261844,0.058609,0.079322,0.294692
22010000,8.6440,0.261844,0.058609,0.079322,0.319586
22011000,8.6440,0.261844,0.058609,0.079322,0.429269
22012000,8.6440,0.261844,0.058609,0.079322,0.176194
22013000,8.6440,0.261844,0.058609,0.079322,0.292580
22014000,8.6440,0.261844,0.058609,0.079322,0.325821
22015000,8.6440,0.261844,0.058609,0.079322,0.517688
22016000,8.6440,0.261844,0.058609,0.079322,0.232524
22017000,8.6440,0.261844,0.058609,0.079322,0.322520
22018000,8.6440,0.261844,0.058609,0.079322,0.573171
22019000,8.6440,0.261844,0.058609,0.079322,0.223082
22020000,8.6440,0.261844,0.058609,0.079322,0.282340
22021000,8.6440,0.261844,0.058609,0.079322,0.215325
22022000,8.6440,0.261844,0.058609,0.079322,0.069534
22023000,8.6440,0.261844,0.058609,0.079322,0.114201
22024000,8.6440,0.261844,0.058609,0.079322,0.822926
22025000,8.6440,0.261844,0.058609,0.079322,0.438542
22026000,8.6440,0.261844,0.058609,0.079322,0.110361
22027000,8.6440,0.261844,0.058609,0.079322,0.320376
22028000,8.6440,0.261844,0.058609,0.079322,0.283228
22029000,8.6440,0.261844,0.058609,0.079322,0.341929
22030000,8.6440,0.261844,0.058609,0.079322,0.346454
22031000,8.6440,0.261844,0.058609,0.079322,0.514570
22032000,8.6440,0.261844,0.058609,0.079322,0.213248
22033000,8.6440,0.261844,0.058609,0.079322,0.135388
22034000,8.6440,0.261844,0.058609,0.079322,0.234551
22035000,8.6440,0.261844,0.058609,0.079322,0.313200
22036000,8.6440,0.261844,0.058609,0.079322,0.203285
22037000,8.6440,0.261844,0.058609,0.079322,0.551114
22038000,8.6440,0.261844,0.058609,0.079322,0.199997
22039000,8.6440,0.261844,0.058609,0.079322,0.227491
22040000,8.6440,0.261844,0.058609,0.079322,0.140214
22041000,8.6440,0.261844,0.058609,0.079322,0.063249
22042000,8.6440,0.261844,0.058609,0.079322,0.274630
22043000,8.6440,0.261844,0.058609,0.079322,0.149906
22044000,8.6440,0.261844,0.058609,0.079322,0.427833
22045000,8.6440,0.261844,0.058609,0.079322,0.212604
22046000,8.6440,0.261844,0.058609,0.079322,0.272871
22047000,8.6440,0.261844,0.058609,0.079322,0.122495
22048000,8.6440,0.261844,0.058609,0.079322,0.129579
22049000,8.6440,0.261844,0.058609,0.079322,0.152203
22050000,8.6440,0.261844,0.058609,0.079322,0.351216
22051000,8.6440,0.261844,0.058609,0.079322,0.201041
22052000,8.6440,0.261844,0.058609,0.079322,0.576109
22053000,8.6440,0.261844,0.058609,0.079322,0.444613
22054000,8.6440,0.261844,0.058609,0.079322,0.172413
22055000,8.6440,0.261844,0.058609,0.079322,0.400660
22056000,8.6440,0.261844,0.058609,0.079322,0.082791
22057000,8.6440,0.261844,0.058609,0.079322,0.365098
22058000,8.6440,0.261844,0.058609,0.079322,0.344053
22059000,8.6440,0.261844,0.058609,0.079322,0.228094
22060000,8.6440,0.261844,0.058609,0.079322,0.164872
22061000,8.6440,0.261844,0.058609,0.079322,0.186912
22062000,8.6440,0.261844,0.058609,0.079322,0.217463
22063000,8.6440,0.261844,0.058609,0.079322,0.258112
22064000,8.6440,0.261844,0.058609,0.079322,0.206981
22065000,8.6440,0.261844,0.058609,0.079322,0.385653
22066000,8.6440,0.261844,0.058609,0.079322,0.365143
22067000,8.6440,0.261844,0.058609,0.079322,0.121130
22068000,8.6440,0.261844,0.058609,0.079322,0.175394
22069000,8.6440,0.261844,0.058609,0.079322,0.105888
22070000,8.6440,0.261844,0.058609,0.079322,0.137337
22071000,8.6440,0.261844,0.058609,0.079322,0.080110
22072000,8.6440,0.261844,0.058609,0.079322,0.261769
22073000,8.6440,0.261844,0.058609,0.079322,0.202974
22074000,8.6440,0.261844,0.058609,0.079322,0.300675
22075000,8.6440,0.261844,0.058609,0.079322,0.198525
22076000,8.6440,0.261844,0.058609,0.079322,0.146230
22077000,8.6440,0.261844,0.058609,0.079322,0.105954
22078000,8.6440,0.261844,0.058609,0.079322,0.184275
22079000,8.6440,0.261844,0.058609,0.079322,0.399263
22080000,8.6440,0.261844,0.058609,0.079322,0.074320
22081000,8.6440,0.261844,0.058609,0.079322,0.216503
22082000,8.6440,0.261844,0.058609,0.079322,0.151047
22083000,8.6440,0.261844,0.058609,0.079322,0.512727
22084000,8.6440,0.261844,0.058609,0.079322,0.438065
22085000,8.6440,0.261844,0.058609,0.079322,0.261660
22086000,8.6440,0.261844,0.058609,0.079322,0.120385
22087000,8.6440,0.261844,0.058609,0.079322,0.124749
22088000,8.6440,0.261844,0.058609,0.079322,0.076132
22089000,8.6440,0.261844,0.058609,0.079322,0.161317
22090000,8.6440,0.261844,0.058609,0.079322,0.367742
22091000,8.6440,0.261844,0.058609,0.079322,0.406611
22092000,8.6440,0.261844,0.058609,0.079322,0.225562
22093000,8.6440,0.261844,0.058609,0.079322,0.118462
22094000,8.6440,0.261844,0.058609,0.079322,0.069733
22095000,8.6440,0.261844,0.058609,0.079322,0.312634
22096000,8.6440,0.261844,0.058609,0.079322,0.363738
22097000,8.6440,0.261844,0.058609,0.079322,0.165437
22098000,8.6440,0.261844,0.058609,0.079322,0.432688
22099000,8.6440,0.261844,0.058609,0.079322,0.278128
22100000,8.6440,0.261844,0.058609,0.079322,0.082910
22101000,8.6440,0.261844,0.058609,0.079322,0.057030
22102000,8.6440,0.261844,0.058609,0.079322,0.121391
22103000,8.6440,0.261844,0.058609,0.079322,0.202258
22104000,8.6440,0.261844,0.058609,0.079322,0.341110
22105000,8.6440,0.261844,0.058609,0.079322,0.143094
22106000,8.6440,0.261844,0.058609,0.079322,0.311281
