Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000000,15.7031,5.502199,0.052647,0.006391,0.580485
2001000,15.7031,5.502199,0.052647,0.006391,0.567132
2002000,15.7031,5.502199,0.052647,0.006391,0.566154
2003000,15.7031,5.502199,0.052647,0.006391,0.632535
2004000,15.7031,5.502199,0.052647,0.006391,0.586937
2005000,15.7031,5.502199,0.052647,0.006391,0.575259
2006000,15.7031,5.502199,0.052647,0.006391,0.580342
2007000,15.7031,5.502199,0.052647,0.006391,0.567765
2008000,15.7031,5.502199,0.052647,0.006391,0.572141
2009000,15.7031,5.502199,0.052647,0.006391,0.606351
2010000,15.7031,5.502199,0.052647,0.006391,0.611152
2011000,15.7031,5.502199,0.052647,0.006391,0.593421
2012000,15.7031,5.502199,0.052647,0.006391,0.606678
2013000,15.7031,5.502199,0.052647,0.006391,0.580198
2014000,15.7031,5.502199,0.052647,0.006391,0.567453
2015000,15.7031,5.502199,0.052647,0.006391,0.562083
2016000,15.7031,5.502199,0.052647,0.006391,0.588587
2017000,15.7031,5.502199,0.052647,0.006391,0.573697
2018000,15.7031,5.502199,0.052647,0.006391,0.605420
2019000,15.7031,5.502199,0.052647,0.006391,0.609243
2020000,15.7031,5.502199,0.052647,0.006391,0.598231
2021000,15.7031,5.502199,0.052647,0.006391,0.583235
2022000,15.7031,5.502199,0.052647,0.006391,0.576254
2023000,15.7031,5.502199,0.052647,0.006391,0.598247
2024000,15.7031,5.502199,0.052647,0.006391,0.600580
2025000,15.7031,5.502199,0.052647,0.006391,0.598078
2026000,15.7031,5.502199,0.052647,0.006391,0.611296
2027000,15.7031,5.502199,0.052647,0.006391,0.577544
2028000,15.7031,5.502199,0.052647,0.006391,0.564800
2029000,15.7031,5.502199,0.052647,0.006391,0.601077
2030000,15.7031,5.502199,0.052647,0.006391,0.572710
2031000,15.7031,5.502199,0.052647,0.006391,0.601141
2032000,15.7031,5.502199,0.052647,0.006391,0.572550
2033000,15.7031,5.502199,0.052647,0.006391,0.582970
2034000,15.7031,5.502199,0.052647,0.006391,0.575060
2035000,15.7031,5.502199,0.052647,0.006391,0.592122
2036000,15.7031,5.502199,0.052647,0.006391,0.608161
2037000,15.7031,5.502199,0.052647,0.006391,0.590568
2038000,15.7031,5.502199,0.052647,0.006391,0.643012
2039000,15.7031,5.502199,0.052647,0.006391,0.595787
2040000,15.7031,5.502199,0.052647,0.006391,0.562387
2041000,15.7031,5.502199,0.052647,0.006391,0.573319
2042000,15.7031,5.502199,0.052647,0.006391,0.654811
2043000,15.7031,5.502199,0.052647,0.006391,0.599007
2044000,15.7031,5.502199,0.052647,0.006391,0.606694
2045000,15.7031,5.502199,0.052647,0.006391,0.611135
2046000,15.7031,5.502199,0.052647,0.006391,0.567373
2047000,15.7031,5.502199,0.052647,0.006391,0.572478
2048000,15.7031,5.502199,0.052647,0.006391,0.598592
2049000,15.7031,5.502199,0.052647,0.006391,0.590441
2050000,15.7031,5.502199,0.052647,0.006391,0.596443
2051000,15.7031,5.502199,0.052647,0.006391,0.642178
2052000,15.7031,5.502199,0.052647,0.006391,0.573576
2053000,15.7031,5.502199,0.052647,0.006391,0.569993
2054000,15.7031,5.502199,0.052647,0.006391,0.577664
2055000,15.7031,5.502199,0.052647,0.006391,0.619480
2056000,15.7031,5.502199,0.052647,0.006391,0.572719
2057000,15.7031,5.502199,0.052647,0.006391,0.588396
2058000,15.7031,5.502199,0.052647,0.006391,0.591105
2059000,15.7031,5.502199,0.052647,0.006391,0.567365
2060000,15.7031,5.502199,0.052647,0.006391,0.567373
2061000,15.7031,5.502199,0.052647,0.006391,0.577503
2062000,15.7031,5.502199,0.052647,0.006391,0.635124
2063000,15.7031,5.502199,0.052647,0.006391,0.567509
2064000,15.7031,5.502199,0.052647,0.006391,0.613219
2065000,15.7031,5.502199,0.052647,0.006391,0.643853
2066000,15.7031,5.502199,0.052647,0.006391,0.569930
2067000,15.7031,5.502199,0.052647,0.006391,0.580654
2068000,15.7031,5.502199,0.052647,0.006391,0.614117
2069000,15.7031,5.502199,0.052647,0.006391,0.612891
2070000,15.7031,5.502199,0.052647,0.006391,0.608201
2071000,15.7031,5.502199,0.052647,0.006391,0.620850
2072000,15.7031,5.502199,0.052647,0.006391,0.567437
2073000,15.7031,5.502199,0.052647,0.006391,0.567213
2074000,15.7031,5.502199,0.052647,0.006391,0.600892
2075000,15.7031,5.502199,0.052647,0.006391,0.602799
2076000,15.7031,5.502199,0.052647,0.006391,0.637280
2077000,15.7031,5.502199,0.052647,0.006391,0.636479
2078000,15.7031,5.502199,0.052647,0.006391,0.603722
2079000,15.7031,5.502199,0.052647,0.006391,0.580181
2080000,15.7031,5.502199,0.052647,0.006391,0.592877
2081000,15.7031,5.502199,0.052647,0.006391,0.620135
2082000,15.7031,5.502199,0.052647,0.006391,0.574883
2083000,15.7031,5.502199,0.052647,0.006391,0.585679
2084000,15.7031,5.502199,0.052647,0.006391,0.577680
2085000,15.7031,5.502199,0.052647,0.006391,0.589759
2086000,15.7031,5.502199,0.052647,0.006391,0.581334
2087000,15.7031,5.502199,0.052647,0.006391,0.629754
2088000,15.7031,5.502199,0.052647,0.006391,0.620137
2089000,15.7031,5.502199,0.052647,0.006391,0.594961
2090000,15.7031,5.502199,0.052647,0.006391,0.580405
2091000,15.7031,5.502199,0.052647,0.006391,0.570010
2092000,15.7031,5.502199,0.052647,0.006391,0.572575
2093000,15.7031,5.502199,0.052647,0.006391,0.575051
2094000,15.7031,5.502199,0.052647,0.006391,0.608772
2095000,15.7031,5.502199,0.052647,0.006391,0.647708
2096000,15.7031,5.502199,0.052647,0.006391,0.615030
2097000,15.7031,5.502199,0.052647,0.006391,0.614485
2098000,15.7031,5.502199,0.052647,0.006391,0.569753
2099000,15.7031,5.502199,0.052647,0.006391,0.572647
2100000,15.7031,5.502199,0.052647,0.006391,0.588540
2101000,15.7031,5.502199,0.052647,0.006391,0.585607
2102000,15.7031,5.502199,0.052647,0.006391,0.606262
2103000,15.7031,5.502199,0.052647,0.006391,0.623253
2104000,15.7031,5.502199,0.052647,0.006391,0.579363
2105000,15.7031,5.502199,0.052647,0.006391,0.572639
2106000,15.7031,5.502199,0.052647,0.006391,0.598639
2107000,15.7031,5.502199,0.052647,0.006391,0.622012
2108000,15.7031,5.502199,0.052647,0.006391,0.624160
2109000,15.7031,5.502199,0.052647,0.006391,0.574786
2110000,15.7031,5.502199,0.052647,0.006391,0.625290
2111000,15.7031,5.502199,0.052647,0.006391,0.570010
2112000,15.7031,5.502199,0.052647,0.006391,0.576486
2113000,15.7031,5.502199,0.052647,0.006391,0.576630
2114000,15.7031,5.502199,0.052647,0.006391,0.581205
2115000,15.7031,5.502199,0.052647,0.006391,0.622084
2116000,15.7031,5.502199,0.052647,0.006391,0.601428
2117000,15.7031,5.502199,0.052647,0.006391,0.585607
2118000,15.7031,5.502199,0.052647,0.006391,0.577920
2119000,15.7031,5.502199,0.052647,0.006391,0.594408
2120000,15.7031,5.502199,0.052647,0.006391,0.616272
2121000,15.7031,5.502199,0.052647,0.006391,0.590737
2122000,15.7031,5.502199,0.052647,0.006391,0.601574
2123000,15.7031,5.502199,0.052647,0.006391,0.635702
2124000,15.7031,5.502199,0.052647,0.006391,0.591619
2125000,15.7031,5.502199,0.052647,0.006391,0.585535
2126000,15.7031,5.502199,0.052647,0.006391,0.610365
2127000,15.7031,5.502199,0.052647,0.006391,0.618164
2128000,15.7031,5.502199,0.052647,0.006391,0.624729
2129000,15.7031,5.502199,0.052647,0.006391,0.585975
2130000,15.7031,5.502199,0.052647,0.006391,0.577768
2131000,15.7031,5.502199,0.052647,0.006391,0.570010
2132000,15.7031,5.502199,0.052647,0.006391,0.583050
2133000,15.7031,5.502199,0.052647,0.006391,0.604908
2134000,15.7031,5.502199,0.052647,0.006391,0.578264
2135000,15.7031,5.502199,0.052647,0.006391,0.635705
2136000,15.7031,5.502199,0.052647,0.006391,0.603778
2137000,15.7031,5.502199,0.052647,0.006391,0.570074
2138000,15.7031,5.502199,0.052647,0.006391,0.570146
2139000,15.7031,5.502199,0.052647,0.006391,0.598424
2140000,15.7031,5.502199,0.052647,0.006391,0.582978
2141000,15.7031,5.502199,0.052647,0.006391,0.612810
2142000,15.7031,5.502199,0.052647,0.006391,0.618460
2143000,15.7031,5.502199,0.052647,0.006391,0.564800
2144000,15.7031,5.502199,0.052647,0.006391,0.577680
2145000,15.7031,5.502199,0.052647,0.006391,0.592556
2146000,15.7031,5.502199,0.052647,0.006391,0.599906
2147000,15.7031,5.502199,0.052647,0.006391,0.601213
2148000,15.7031,5.502199,0.052647,0.006391,0.596340
2149000,15.7031,5.502199,0.052647,0.006391,0.585038
2150000,15.7031,5.502199,0.052647,0.006391,0.563269
2151000,15.7031,5.502199,0.052647,0.006391,0.579676
2152000,15.7031,5.502199,0.052647,0.006391,0.596323
2153000,15.7031,5.502199,0.052647,0.006391,0.608570
2154000,15.7031,5.502199,0.052647,0.006391,0.593518
2155000,15.7031,5.502199,0.052647,0.006391,0.588468
2156000,15.7031,5.502199,0.052647,0.006391,0.562243
2157000,15.7031,5.502199,0.052647,0.006391,0.590936
2158000,15.7031,5.502199,0.052647,0.006391,0.591730
2159000,15.7031,5.502199,0.052647,0.006391,0.600779
2160000,15.7031,5.502199,0.052647,0.006391,0.628141
2161000,15.7031,5.502199,0.052647,0.006391,0.598576
2162000,15.7031,5.502199,0.052647,0.006391,0.577544
2163000,15.7031,5.502199,0.052647,0.006391,0.567517
2164000,15.7031,5.502199,0.052647,0.006391,0.585735
2165000,15.7031,5.502199,0.052647,0.006391,0.606342
2166000,15.7031,5.502199,0.052647,0.006391,0.588252
2167000,15.7031,5.502199,0.052647,0.006391,0.613172
2168000,15.7031,5.502199,0.052647,0.006391,0.618989
2169000,15.7031,5.502199,0.052647,0.006391,0.579139
2170000,15.7031,5.502199,0.052647,0.006391,0.589615
2171000,15.7031,5.502199,0.052647,0.006391,0.581591
2172000,15.7031,5.502199,0.052647,0.006391,0.601357
2173000,15.7031,5.502199,0.052647,0.006391,0.601301
2174000,15.7031,5.502199,0.052647,0.006391,0.586793
2175000,15.7031,5.502199,0.052647,0.006391,0.597534
2176000,15.7031,5.502199,0.052647,0.006391,0.591956
2177000,15.7031,5.502199,0.052647,0.006391,0.571196
