Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
11000000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.930262
11001000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.029433
11002000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.960191
11003000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11004000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.919698
11005000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.231765
11006000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.097234
11007000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920278
11008000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.987159
11009000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11010000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.929353
11011000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920395
11012000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.066907
11013000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.939866
11014000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.921479
11015000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11016000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.944990
11017000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.936439
11018000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920510
11019000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.112285
11020000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.139271
11021000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11022000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11023000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.014192
11024000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.994438
11025000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.007455
11026000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.240709
11027000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.996037
11028000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920278
11029000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.927079
11030000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.978960
11031000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11032000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.081453
11033000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11034000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.446640
11035000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11036000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.008771
11037000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.940036
11038000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.924698
11039000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.945595
11040000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11041000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.940014
11042000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.022983
11043000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.947541
11044000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.919698
11045000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.956814
11046000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.919698
11047000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920395
11048000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.013761
11049000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.138146
11050000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.946244
11051000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11052000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920573
11053000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11054000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.949533
11055000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.922268
11056000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.949253
11057000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11058000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.083638
11059000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11060000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.938270
11061000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.270412
11062000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.109050
11063000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11064000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.315884
11065000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.984034
11066000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11067000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.242046
11068000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.056499
11069000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.969773
11070000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11071000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.112409
11072000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.919816
11073000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920277
11074000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.142409
11075000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.074580
11076000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11077000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920935
11078000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11079000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11080000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.141103
11081000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.013674
11082000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920510
11083000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11084000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920510
11085000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11086000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.975700
11087000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.230126
11088000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.954014
11089000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
11090000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.951665
11091000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,7.920489
