Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
24000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.066313
24001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038409
24002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.040522
24003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.194531
24004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.102521
24005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.089413
24006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.082047
24007000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.105838
24008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.150193
24009000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.119494
24010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.120115
24011000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.059475
24012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.075284
24013000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.085448
24014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.058122
24015000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.114629
24016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.130866
24017000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.125669
24018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.035079
24019000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.075776
24020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.030164
24021000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.086528
24022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.072506
24023000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.064372
24024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.084936
24025000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.060395
24026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.027711
24027000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.144866
24028000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.051256
24029000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.204969
24030000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.062260
24031000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.085181
24032000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.146429
24033000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.143376
24034000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.069672
24035000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.056698
24036000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.110744
24037000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.098723
24038000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.090566
24039000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.045898
24040000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.152294
24041000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.137598
24042000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.134126
24043000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.124695
24044000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.063747
24045000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.096885
24046000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.089573
24047000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.017305
24048000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.028540
24049000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.055564
24050000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.041573
24051000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.121465
24052000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.099971
24053000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.096550
24054000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038338
24055000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.097056
24056000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037473
24057000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.069298
24058000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.150547
24059000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.219144
24060000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.076180
24061000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.097509
24062000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.081568
24063000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.052299
24064000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038429
24065000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.127473
24066000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.146834
24067000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037985
24068000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.081114
24069000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021097
24070000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019990
24071000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.115218
24072000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.139081
24073000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.159131
24074000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.149612
24075000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.128286
24076000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.058001
24077000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.084285
24078000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.098371
24079000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.075915
24080000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.078807
24081000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.045041
24082000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.026085
24083000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.131013
24084000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.126019
24085000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.039834
