Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
26000000,23.8212,1.028147,0.538949,0.086720,7.396983
26001000,23.8212,1.028147,0.538949,0.086720,7.362087
26002000,23.8212,1.028147,0.538949,0.086720,7.434253
26003000,23.8212,1.028147,0.538949,0.086720,7.362087
26004000,23.8212,1.028147,0.538949,0.086720,7.362087
26005000,23.8212,1.028147,0.538949,0.086720,7.362749
26006000,23.8212,1.028147,0.538949,0.086720,7.362108
26007000,23.8212,1.028147,0.538949,0.086720,7.362087
26008000,23.8212,1.028147,0.538949,0.086720,7.382553
26009000,23.8212,1.028147,0.538949,0.086720,7.365095
26010000,23.8212,1.028147,0.538949,0.086720,7.362087
26011000,23.8212,1.028147,0.538949,0.086720,7.400266
26012000,23.8212,1.028147,0.538949,0.086720,7.408333
26013000,23.8212,1.028147,0.538949,0.086720,7.422130
26014000,23.8212,1.028147,0.538949,0.086720,7.362087
26015000,23.8212,1.028147,0.538949,0.086720,7.430104
26016000,23.8212,1.028147,0.538949,0.086720,7.362087
26017000,23.8212,1.028147,0.538949,0.086720,7.362087
26018000,23.8212,1.028147,0.538949,0.086720,7.486903
26019000,23.8212,1.028147,0.538949,0.086720,7.377760
26020000,23.8212,1.028147,0.538949,0.086720,7.362087
26021000,23.8212,1.028147,0.538949,0.086720,7.367356
26022000,23.8212,1.028147,0.538949,0.086720,7.426388
26023000,23.8212,1.028147,0.538949,0.086720,7.362087
26024000,23.8212,1.028147,0.538949,0.086720,7.404233
26025000,23.8212,1.028147,0.538949,0.086720,7.455951
26026000,23.8212,1.028147,0.538949,0.086720,7.386016
26027000,23.8212,1.028147,0.538949,0.086720,7.361705
26028000,23.8212,1.028147,0.538949,0.086720,7.421983
26029000,23.8212,1.028147,0.538949,0.086720,7.362668
26030000,23.8212,1.028147,0.538949,0.086720,7.362087
26031000,23.8212,1.028147,0.538949,0.086720,7.464297
26032000,23.8212,1.028147,0.538949,0.086720,7.377398
26033000,23.8212,1.028147,0.538949,0.086720,7.362087
26034000,23.8212,1.028147,0.538949,0.086720,7.563781
26035000,23.8212,1.028147,0.538949,0.086720,7.387333
26036000,23.8212,1.028147,0.538949,0.086720,7.362087
26037000,23.8212,1.028147,0.538949,0.086720,7.377760
26038000,23.8212,1.028147,0.538949,0.086720,7.469028
26039000,23.8212,1.028147,0.538949,0.086720,7.363834
26040000,23.8212,1.028147,0.538949,0.086720,7.362087
26041000,23.8212,1.028147,0.538949,0.086720,7.379680
26042000,23.8212,1.028147,0.538949,0.086720,7.362087
26043000,23.8212,1.028147,0.538949,0.086720,7.362087
26044000,23.8212,1.028147,0.538949,0.086720,7.413545
26045000,23.8212,1.028147,0.538949,0.086720,7.381804
26046000,23.8212,1.028147,0.538949,0.086720,7.362087
26047000,23.8212,1.028147,0.538949,0.086720,7.411505
26048000,23.8212,1.028147,0.538949,0.086720,7.416945
26049000,23.8212,1.028147,0.538949,0.086720,7.362087
26050000,23.8212,1.028147,0.538949,0.086720,7.496738
26051000,23.8212,1.028147,0.538949,0.086720,7.465098
26052000,23.8212,1.028147,0.538949,0.086720,7.362201
26053000,23.8212,1.028147,0.538949,0.086720,7.404690
26054000,23.8212,1.028147,0.538949,0.086720,7.439336
26055000,23.8212,1.028147,0.538949,0.086720,7.362087
26056000,23.8212,1.028147,0.538949,0.086720,7.362087
26057000,23.8212,1.028147,0.538949,0.086720,7.362701
26058000,23.8212,1.028147,0.538949,0.086720,7.384041
26059000,23.8212,1.028147,0.538949,0.086720,7.362087
26060000,23.8212,1.028147,0.538949,0.086720,7.467420
26061000,23.8212,1.028147,0.538949,0.086720,7.440113
26062000,23.8212,1.028147,0.538949,0.086720,7.362087
26063000,23.8212,1.028147,0.538949,0.086720,7.363660
26064000,23.8212,1.028147,0.538949,0.086720,7.394573
26065000,23.8212,1.028147,0.538949,0.086720,7.362087
26066000,23.8212,1.028147,0.538949,0.086720,7.392011
26067000,23.8212,1.028147,0.538949,0.086720,7.453925
26068000,23.8212,1.028147,0.538949,0.086720,7.362087
26069000,23.8212,1.028147,0.538949,0.086720,7.418695
26070000,23.8212,1.028147,0.538949,0.086720,7.391053
26071000,23.8212,1.028147,0.538949,0.086720,7.463824
26072000,23.8212,1.028147,0.538949,0.086720,7.362087
