Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
7000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.289711
7001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.913173
7002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.806394
7003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.441100
7004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.262455
7005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.338993
7006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.920869
7007000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.438727
7008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.668157
7009000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.156637
7010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.596889
7011000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.976704
7012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.884553
7013000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.285714
7014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.102755
7015000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.448887
7016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.877152
7017000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.431301
7018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.783234
7019000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.435727
7020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.573230
7021000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.816628
7022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.875199
7023000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.721298
7024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.225982
7025000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,30.572556
7026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,37.654563
7027000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.545713
7028000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.260313
7029000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.516054
7030000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.480754
7031000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.440121
7032000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.447578
7033000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.880454
7034000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.619644
7035000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.018931
7036000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.491352
7037000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.316570
7038000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.384682
7039000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.768498
7040000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.597053
7041000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.374741
7042000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.568961
7043000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,28.326091
7044000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.960643
7045000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.703055
7046000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.339060
7047000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.379963
7048000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.633038
7049000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.641954
7050000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.144989
7051000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.736331
7052000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.679047
7053000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.505163
7054000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.869840
7055000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,26.625452
7056000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.641578
7057000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,25.692629
7058000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,27.043037
