Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
5000000,8.6440,0.261844,0.058609,0.079322,3.627085
5001000,8.6440,0.261844,0.058609,0.079322,3.927089
5002000,8.6440,0.261844,0.058609,0.079322,4.093218
5003000,8.6440,0.261844,0.058609,0.079322,3.800963
5004000,8.6440,0.261844,0.058609,0.079322,4.039732
5005000,8.6440,0.261844,0.058609,0.079322,3.857083
5006000,8.6440,0.261844,0.058609,0.079322,3.925172
5007000,8.6440,0.261844,0.058609,0.079322,3.912751
5008000,8.6440,0.261844,0.058609,0.079322,3.941059
5009000,8.6440,0.261844,0.058609,0.079322,3.850786
5010000,8.6440,0.261844,0.058609,0.079322,3.852274
5011000,8.6440,0.261844,0.058609,0.079322,3.844283
5012000,8.6440,0.261844,0.058609,0.079322,3.789535
5013000,8.6440,0.261844,0.058609,0.079322,3.840355
5014000,8.6440,0.261844,0.058609,0.079322,3.740750
5015000,8.6440,0.261844,0.058609,0.079322,3.758328
5016000,8.6440,0.261844,0.058609,0.079322,3.631562
5017000,8.6440,0.261844,0.058609,0.079322,3.752967
5018000,8.6440,0.261844,0.058609,0.079322,3.571621
5019000,8.6440,0.261844,0.058609,0.079322,3.608161
5020000,8.6440,0.261844,0.058609,0.079322,3.530592
5021000,8.6440,0.261844,0.058609,0.079322,3.419460
5022000,8.6440,0.261844,0.058609,0.079322,3.227335
5023000,8.6440,0.261844,0.058609,0.079322,3.245419
5024000,8.6440,0.261844,0.058609,0.079322,3.176529
5025000,8.6440,0.261844,0.058609,0.079322,3.009318
5026000,8.6440,0.261844,0.058609,0.079322,3.088480
5027000,8.6440,0.261844,0.058609,0.079322,3.169783
5028000,8.6440,0.261844,0.058609,0.079322,3.011940
5029000,8.6440,0.261844,0.058609,0.079322,3.052137
5030000,8.6440,0.261844,0.058609,0.079322,3.042763
5031000,8.6440,0.261844,0.058609,0.079322,2.971263
5032000,8.6440,0.261844,0.058609,0.079322,2.993721
5033000,8.6440,0.261844,0.058609,0.079322,3.023197
5034000,8.6440,0.261844,0.058609,0.079322,3.273388
5035000,8.6440,0.261844,0.058609,0.079322,3.760980
5036000,8.6440,0.261844,0.058609,0.079322,3.974788
5037000,8.6440,0.261844,0.058609,0.079322,4.003371
5038000,8.6440,0.261844,0.058609,0.079322,4.000474
5039000,8.6440,0.261844,0.058609,0.079322,4.048669
