Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000000,0.7779,0.306348,0.002724,0.000334,0.263264
2001000,0.7779,0.306348,0.002724,0.000334,0.265307
2002000,0.7779,0.306348,0.002724,0.000334,0.266504
2003000,0.7779,0.306348,0.002724,0.000334,0.262982
2004000,0.7779,0.306348,0.002724,0.000334,0.266504
2005000,0.7779,0.306348,0.002724,0.000334,0.263875
2006000,0.7779,0.306348,0.002724,0.000334,0.265542
2007000,0.7779,0.306348,0.002724,0.000334,0.264274
2008000,0.7779,0.306348,0.002724,0.000334,0.265044
2009000,0.7779,0.306348,0.002724,0.000334,0.266819
2010000,0.7779,0.306348,0.002724,0.000334,0.263546
2011000,0.7779,0.306348,0.002724,0.000334,0.270133
2012000,0.7779,0.306348,0.002724,0.000334,0.268522
2013000,0.7779,0.306348,0.002724,0.000334,0.269068
2014000,0.7779,0.306348,0.002724,0.000334,0.263522
2015000,0.7779,0.306348,0.002724,0.000334,0.266199
2016000,0.7779,0.306348,0.002724,0.000334,0.267397
2017000,0.7779,0.306348,0.002724,0.000334,0.266045
2018000,0.7779,0.306348,0.002724,0.000334,0.273064
2019000,0.7779,0.306348,0.002724,0.000334,0.268166
2020000,0.7779,0.306348,0.002724,0.000334,0.271340
2021000,0.7779,0.306348,0.002724,0.000334,0.270807
2022000,0.7779,0.306348,0.002724,0.000334,0.277583
2023000,0.7779,0.306348,0.002724,0.000334,0.268009
2024000,0.7779,0.306348,0.002724,0.000334,0.272611
2025000,0.7779,0.306348,0.002724,0.000334,0.265695
2026000,0.7779,0.306348,0.002724,0.000334,0.257705
2027000,0.7779,0.306348,0.002724,0.000334,0.252399
2028000,0.7779,0.306348,0.002724,0.000334,0.267235
2029000,0.7779,0.306348,0.002724,0.000334,0.265508
2030000,0.7779,0.306348,0.002724,0.000334,0.260423
2031000,0.7779,0.306348,0.002724,0.000334,0.263170
2032000,0.7779,0.306348,0.002724,0.000334,0.268148
2033000,0.7779,0.306348,0.002724,0.000334,0.263147
2034000,0.7779,0.306348,0.002724,0.000334,0.263640
2035000,0.7779,0.306348,0.002724,0.000334,0.263569
2036000,0.7779,0.306348,0.002724,0.000334,0.263734
2037000,0.7779,0.306348,0.002724,0.000334,0.265988
2038000,0.7779,0.306348,0.002724,0.000334,0.264462
2039000,0.7779,0.306348,0.002724,0.000334,0.265213
2040000,0.7779,0.306348,0.002724,0.000334,0.266082
2041000,0.7779,0.306348,0.002724,0.000334,0.263736
2042000,0.7779,0.306348,0.002724,0.000334,0.270098
2043000,0.7779,0.306348,0.002724,0.000334,0.267369
2044000,0.7779,0.306348,0.002724,0.000334,0.262997
2045000,0.7779,0.306348,0.002724,0.000334,0.265870
2046000,0.7779,0.306348,0.002724,0.000334,0.270811
2047000,0.7779,0.306348,0.002724,0.000334,0.268162
2048000,0.7779,0.306348,0.002724,0.000334,0.269110
2049000,0.7779,0.306348,0.002724,0.000334,0.268318
2050000,0.7779,0.306348,0.002724,0.000334,0.269943
2051000,0.7779,0.306348,0.002724,0.000334,0.267684
2052000,0.7779,0.306348,0.002724,0.000334,0.268161
2053000,0.7779,0.306348,0.002724,0.000334,0.267608
2054000,0.7779,0.306348,0.002724,0.000334,0.267467
2055000,0.7779,0.306348,0.002724,0.000334,0.272623
2056000,0.7779,0.306348,0.002724,0.000334,0.267979
2057000,0.7779,0.306348,0.002724,0.000334,0.269016
2058000,0.7779,0.306348,0.002724,0.000334,0.267655
2059000,0.7779,0.306348,0.002724,0.000334,0.265665
2060000,0.7779,0.306348,0.002724,0.000334,0.265022
2061000,0.7779,0.306348,0.002724,0.000334,0.255258
2062000,0.7779,0.306348,0.002724,0.000334,0.250209
2063000,0.7779,0.306348,0.002724,0.000334,0.260821
2064000,0.7779,0.306348,0.002724,0.000334,0.265844
2065000,0.7779,0.306348,0.002724,0.000334,0.266644
2066000,0.7779,0.306348,0.002724,0.000334,0.263640
2067000,0.7779,0.306348,0.002724,0.000334,0.264176
2068000,0.7779,0.306348,0.002724,0.000334,0.267365
2069000,0.7779,0.306348,0.002724,0.000334,0.273583
2070000,0.7779,0.306348,0.002724,0.000334,0.263528
2071000,0.7779,0.306348,0.002724,0.000334,0.265275
2072000,0.7779,0.306348,0.002724,0.000334,0.270061
2073000,0.7779,0.306348,0.002724,0.000334,0.265800
2074000,0.7779,0.306348,0.002724,0.000334,0.263515
2075000,0.7779,0.306348,0.002724,0.000334,0.265636
2076000,0.7779,0.306348,0.002724,0.000334,0.265612
2077000,0.7779,0.306348,0.002724,0.000334,0.266779
