Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
42000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
42001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
42002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025662
42003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
42004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029184
42005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
42006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
42007000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
42008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
42009000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025662
42010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
42011000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029184
42012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
42013000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
42014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
42015000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020014
42016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.026878
42017000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
42018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029184
42019000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020014
42020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
42021000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037921
42022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020504
42023000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.027348
42024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
42025000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.028108
42026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020620
42027000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
42028000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037757
42029000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019387
42030000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029098
42031000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
42032000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.027498
42033000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019481
42034000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037571
42035000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037757
42036000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
42037000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029098
42038000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
42039000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025748
42040000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
42041000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037571
42042000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037757
42043000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
42044000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029098
42045000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
42046000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025748
42047000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
42048000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037571
42049000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037757
42050000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021130
42051000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029198
42052000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
42053000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025748
42054000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020648
42055000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038154
42056000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037657
42057000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020250
42058000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.030179
