Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
11000000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789591
11001000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
11002000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802953
11003000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785637
11004000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.804430
11005000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808589
11006000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786414
11007000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.790188
11008000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
11009000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.801851
11010000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784225
11011000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806944
11012000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808475
11013000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784603
11014000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792114
11015000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
11016000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.800623
11017000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.783745
11018000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11019000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11020000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11021000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792108
11022000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11023000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797358
11024000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11025000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11026000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11027000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11028000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792108
11029000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11030000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797358
11031000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11032000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11033000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11034000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785764
11035000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793354
11036000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11037000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797358
11038000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785764
11039000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807515
11040000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808024
11041000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785706
11042000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793838
11043000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11044000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796399
11045000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786240
11046000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
11047000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807583
11048000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784315
11049000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796310
11050000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11051000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.795721
11052000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784446
11053000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807957
11054000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807515
11055000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786256
11056000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796310
11057000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11058000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793156
11059000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11060000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807839
11061000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806878
11062000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11063000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796310
11064000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11065000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793156
11066000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
11067000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.805024
11068000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809693
11069000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786896
11070000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796424
11071000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11072000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793156
11073000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786896
11074000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.805139
11075000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809579
11076000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784603
11077000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.798832
11078000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
11079000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793041
