Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
12000000,0.7779,0.306348,0.002724,0.000334,0.255045
12001000,0.7779,0.306348,0.002724,0.000334,0.254022
12002000,0.7779,0.306348,0.002724,0.000334,0.256732
12003000,0.7779,0.306348,0.002724,0.000334,0.258444
12004000,0.7779,0.306348,0.002724,0.000334,0.254291
12005000,0.7779,0.306348,0.002724,0.000334,0.255815
12006000,0.7779,0.306348,0.002724,0.000334,0.258312
12007000,0.7779,0.306348,0.002724,0.000334,0.260512
12008000,0.7779,0.306348,0.002724,0.000334,0.256605
12009000,0.7779,0.306348,0.002724,0.000334,0.255487
12010000,0.7779,0.306348,0.002724,0.000334,0.256329
12011000,0.7779,0.306348,0.002724,0.000334,0.256551
12012000,0.7779,0.306348,0.002724,0.000334,0.258769
12013000,0.7779,0.306348,0.002724,0.000334,0.259739
12014000,0.7779,0.306348,0.002724,0.000334,0.262102
12015000,0.7779,0.306348,0.002724,0.000334,0.256466
12016000,0.7779,0.306348,0.002724,0.000334,0.254924
12017000,0.7779,0.306348,0.002724,0.000334,0.254824
12018000,0.7779,0.306348,0.002724,0.000334,0.257325
12019000,0.7779,0.306348,0.002724,0.000334,0.260355
12020000,0.7779,0.306348,0.002724,0.000334,0.255130
12021000,0.7779,0.306348,0.002724,0.000334,0.255776
12022000,0.7779,0.306348,0.002724,0.000334,0.254588
12023000,0.7779,0.306348,0.002724,0.000334,0.253709
12024000,0.7779,0.306348,0.002724,0.000334,0.255675
12025000,0.7779,0.306348,0.002724,0.000334,0.255818
12026000,0.7779,0.306348,0.002724,0.000334,0.257958
12027000,0.7779,0.306348,0.002724,0.000334,0.266255
12028000,0.7779,0.306348,0.002724,0.000334,0.269754
12029000,0.7779,0.306348,0.002724,0.000334,0.271011
12030000,0.7779,0.306348,0.002724,0.000334,0.262575
12031000,0.7779,0.306348,0.002724,0.000334,0.262154
12032000,0.7779,0.306348,0.002724,0.000334,0.260664
12033000,0.7779,0.306348,0.002724,0.000334,0.258131
12034000,0.7779,0.306348,0.002724,0.000334,0.254321
12035000,0.7779,0.306348,0.002724,0.000334,0.257004
12036000,0.7779,0.306348,0.002724,0.000334,0.255327
12037000,0.7779,0.306348,0.002724,0.000334,0.255263
