Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
2000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
3000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
4000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
5000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.000000
6000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,24.218331
7000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,11.764902
8000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,22.092223
9000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,15.301671
10000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,12.345704
11000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,21.917107
12000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,14.661069
13000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,19.869615
14000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,12.543590
15000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,21.282423
16000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,13.578326
17000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,15.886567
18000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,18.055337
19000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,16.791236
20000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,18.365260
21000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,16.866140
22000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,17.517871
23000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,16.997242
24000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,16.931426
25000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,16.398022
26000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,17.360472
27000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,16.249156
28000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,17.054344
29000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,17.582702
30000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,17.126982
31000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,17.181048
32000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,17.409692
33000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,17.386653
34000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,17.065968
35000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,17.171067
36000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,17.391811
37000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,16.597048
38000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,16.901187
39000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,16.479547
40000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,16.550545
41000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,17.180940
