Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.2191,0.065854,0.000377,0.000034,0.039512
2000,0.2191,0.065854,0.000377,0.000034,0.039512
3000,0.2191,0.065854,0.000377,0.000034,0.039512
4000,0.2191,0.065854,0.000377,0.000034,0.039512
5000,0.2191,0.065854,0.000377,0.000034,0.039512
6000,0.2191,0.065854,0.000377,0.000034,0.684360
7000,0.2191,0.065854,0.000377,0.000034,0.888651
8000,0.2191,0.065854,0.000377,0.000034,0.617214
9000,0.2191,0.065854,0.000377,0.000034,0.897988
10000,0.2191,0.065854,0.000377,0.000034,1.705306
11000,0.2191,0.065854,0.000377,0.000034,1.894029
12000,0.2191,0.065854,0.000377,0.000034,2.231802
13000,0.2191,0.065854,0.000377,0.000034,1.928218
14000,0.2191,0.065854,0.000377,0.000034,1.780190
15000,0.2191,0.065854,0.000377,0.000034,1.727608
16000,0.2191,0.065854,0.000377,0.000034,1.710712
17000,0.2191,0.065854,0.000377,0.000034,1.677570
18000,0.2191,0.065854,0.000377,0.000034,1.622050
19000,0.2191,0.065854,0.000377,0.000034,1.626084
20000,0.2191,0.065854,0.000377,0.000034,1.603859
21000,0.2191,0.065854,0.000377,0.000034,1.605884
22000,0.2191,0.065854,0.000377,0.000034,1.632626
23000,0.2191,0.065854,0.000377,0.000034,1.631256
24000,0.2191,0.065854,0.000377,0.000034,1.672252
25000,0.2191,0.065854,0.000377,0.000034,1.672712
26000,0.2191,0.065854,0.000377,0.000034,1.677275
27000,0.2191,0.065854,0.000377,0.000034,1.667032
28000,0.2191,0.065854,0.000377,0.000034,1.685747
29000,0.2191,0.065854,0.000377,0.000034,1.664625
30000,0.2191,0.065854,0.000377,0.000034,1.653658
31000,0.2191,0.065854,0.000377,0.000034,1.650245
32000,0.2191,0.065854,0.000377,0.000034,1.678507
33000,0.2191,0.065854,0.000377,0.000034,1.659699
34000,0.2191,0.065854,0.000377,0.000034,1.651430
35000,0.2191,0.065854,0.000377,0.000034,1.662722
36000,0.2191,0.065854,0.000377,0.000034,1.682087
37000,0.2191,0.065854,0.000377,0.000034,1.660267
38000,0.2191,0.065854,0.000377,0.000034,1.673838
39000,0.2191,0.065854,0.000377,0.000034,1.663720
40000,0.2191,0.065854,0.000377,0.000034,1.695544
41000,0.2191,0.065854,0.000377,0.000034,1.678611
42000,0.2191,0.065854,0.000377,0.000034,1.686753
43000,0.2191,0.065854,0.000377,0.000034,1.667306
44000,0.2191,0.065854,0.000377,0.000034,1.671377
45000,0.2191,0.065854,0.000377,0.000034,1.681262
46000,0.2191,0.065854,0.000377,0.000034,1.694199
47000,0.2191,0.065854,0.000377,0.000034,1.701741
48000,0.2191,0.065854,0.000377,0.000034,1.693099
49000,0.2191,0.065854,0.000377,0.000034,1.724401
50000,0.2191,0.065854,0.000377,0.000034,1.691037
51000,0.2191,0.065854,0.000377,0.000034,1.713918
52000,0.2191,0.065854,0.000377,0.000034,1.704012
53000,0.2191,0.065854,0.000377,0.000034,1.700787
54000,0.2191,0.065854,0.000377,0.000034,1.703394
55000,0.2191,0.065854,0.000377,0.000034,1.701719
56000,0.2191,0.065854,0.000377,0.000034,1.700005
57000,0.2191,0.065854,0.000377,0.000034,1.712731
58000,0.2191,0.065854,0.000377,0.000034,1.711691
59000,0.2191,0.065854,0.000377,0.000034,1.685470
60000,0.2191,0.065854,0.000377,0.000034,1.736219
61000,0.2191,0.065854,0.000377,0.000034,1.716472
62000,0.2191,0.065854,0.000377,0.000034,1.698171
63000,0.2191,0.065854,0.000377,0.000034,1.745121
64000,0.2191,0.065854,0.000377,0.000034,1.729047
65000,0.2191,0.065854,0.000377,0.000034,1.711646
66000,0.2191,0.065854,0.000377,0.000034,1.733855
67000,0.2191,0.065854,0.000377,0.000034,1.752946
68000,0.2191,0.065854,0.000377,0.000034,1.733225
69000,0.2191,0.065854,0.000377,0.000034,1.772661
70000,0.2191,0.065854,0.000377,0.000034,1.751901
71000,0.2191,0.065854,0.000377,0.000034,1.774416
72000,0.2191,0.065854,0.000377,0.000034,1.773062
73000,0.2191,0.065854,0.000377,0.000034,1.758938
74000,0.2191,0.065854,0.000377,0.000034,1.766338
75000,0.2191,0.065854,0.000377,0.000034,1.793581
76000,0.2191,0.065854,0.000377,0.000034,1.818877
77000,0.2191,0.065854,0.000377,0.000034,1.822517
78000,0.2191,0.065854,0.000377,0.000034,1.829324
79000,0.2191,0.065854,0.000377,0.000034,1.825367
80000,0.2191,0.065854,0.000377,0.000034,1.836970
81000,0.2191,0.065854,0.000377,0.000034,1.836714
82000,0.2191,0.065854,0.000377,0.000034,1.871899
83000,0.2191,0.065854,0.000377,0.000034,1.843898
84000,0.2191,0.065854,0.000377,0.000034,1.914038
85000,0.2191,0.065854,0.000377,0.000034,1.902784
