Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000000,15.7031,5.502199,0.052647,0.006391,0.557418
2001000,15.7031,5.502199,0.052647,0.006391,0.555107
2002000,15.7031,5.502199,0.052647,0.006391,0.557914
2003000,15.7031,5.502199,0.052647,0.006391,0.554891
2004000,15.7031,5.502199,0.052647,0.006391,0.555243
2005000,15.7031,5.502199,0.052647,0.006391,0.560648
2006000,15.7031,5.502199,0.052647,0.006391,0.552237
2007000,15.7031,5.502199,0.052647,0.006391,0.555027
2008000,15.7031,5.502199,0.052647,0.006391,0.557634
2009000,15.7031,5.502199,0.052647,0.006391,0.555171
2010000,15.7031,5.502199,0.052647,0.006391,0.555251
2011000,15.7031,5.502199,0.052647,0.006391,0.557498
2012000,15.7031,5.502199,0.052647,0.006391,0.555243
2013000,15.7031,5.502199,0.052647,0.006391,0.557426
2014000,15.7031,5.502199,0.052647,0.006391,0.554883
2015000,15.7031,5.502199,0.052647,0.006391,0.555115
2016000,15.7031,5.502199,0.052647,0.006391,0.557770
2017000,15.7031,5.502199,0.052647,0.006391,0.555323
2018000,15.7031,5.502199,0.052647,0.006391,0.551932
2019000,15.7031,5.502199,0.052647,0.006391,0.560233
2020000,15.7031,5.502199,0.052647,0.006391,0.552220
2021000,15.7031,5.502199,0.052647,0.006391,0.557786
2022000,15.7031,5.502199,0.052647,0.006391,0.554955
2023000,15.7031,5.502199,0.052647,0.006391,0.557562
2024000,15.7031,5.502199,0.052647,0.006391,0.555171
2025000,15.7031,5.502199,0.052647,0.006391,0.555323
2026000,15.7031,5.502199,0.052647,0.006391,0.557219
2027000,15.7031,5.502199,0.052647,0.006391,0.552220
2028000,15.7031,5.502199,0.052647,0.006391,0.560377
2029000,15.7031,5.502199,0.052647,0.006391,0.552284
2030000,15.7031,5.502199,0.052647,0.006391,0.557922
2031000,15.7031,5.502199,0.052647,0.006391,0.555043
2032000,15.7031,5.502199,0.052647,0.006391,0.554667
2033000,15.7031,5.502199,0.052647,0.006391,0.557778
2034000,15.7031,5.502199,0.052647,0.006391,0.552292
2035000,15.7031,5.502199,0.052647,0.006391,0.557842
2036000,15.7031,5.502199,0.052647,0.006391,0.557922
2037000,15.7031,5.502199,0.052647,0.006391,0.555387
2038000,15.7031,5.502199,0.052647,0.006391,0.557346
2039000,15.7031,5.502199,0.052647,0.006391,0.552364
2040000,15.7031,5.502199,0.052647,0.006391,0.557570
2041000,15.7031,5.502199,0.052647,0.006391,0.554747
2042000,15.7031,5.502199,0.052647,0.006391,0.557354
2043000,15.7031,5.502199,0.052647,0.006391,0.552508
2044000,15.7031,5.502199,0.052647,0.006391,0.557570
2045000,15.7031,5.502199,0.052647,0.006391,0.555107
2046000,15.7031,5.502199,0.052647,0.006391,0.557490
2047000,15.7031,5.502199,0.052647,0.006391,0.558050
2048000,15.7031,5.502199,0.052647,0.006391,0.552309
2049000,15.7031,5.502199,0.052647,0.006391,0.557354
2050000,15.7031,5.502199,0.052647,0.006391,0.555107
2051000,15.7031,5.502199,0.052647,0.006391,0.552085
2052000,15.7031,5.502199,0.052647,0.006391,0.560017
2053000,15.7031,5.502199,0.052647,0.006391,0.552284
2054000,15.7031,5.502199,0.052647,0.006391,0.554827
2055000,15.7031,5.502199,0.052647,0.006391,0.560449
2056000,15.7031,5.502199,0.052647,0.006391,0.552156
2057000,15.7031,5.502199,0.052647,0.006391,0.558050
2058000,15.7031,5.502199,0.052647,0.006391,0.555115
2059000,15.7031,5.502199,0.052647,0.006391,0.557842
2060000,15.7031,5.502199,0.052647,0.006391,0.555027
2061000,15.7031,5.502199,0.052647,0.006391,0.557778
2062000,15.7031,5.502199,0.052647,0.006391,0.552228
2063000,15.7031,5.502199,0.052647,0.006391,0.559953
2064000,15.7031,5.502199,0.052647,0.006391,0.552212
2065000,15.7031,5.502199,0.052647,0.006391,0.557778
2066000,15.7031,5.502199,0.052647,0.006391,0.554620
2067000,15.7031,5.502199,0.052647,0.006391,0.552292
2068000,15.7031,5.502199,0.052647,0.006391,0.558193
2069000,15.7031,5.502199,0.052647,0.006391,0.557490
2070000,15.7031,5.502199,0.052647,0.006391,0.555243
2071000,15.7031,5.502199,0.052647,0.006391,0.557930
2072000,15.7031,5.502199,0.052647,0.006391,0.551797
2073000,15.7031,5.502199,0.052647,0.006391,0.555035
2074000,15.7031,5.502199,0.052647,0.006391,0.557562
2075000,15.7031,5.502199,0.052647,0.006391,0.555091
2076000,15.7031,5.502199,0.052647,0.006391,0.558066
2077000,15.7031,5.502199,0.052647,0.006391,0.557435
2078000,15.7031,5.502199,0.052647,0.006391,0.552220
2079000,15.7031,5.502199,0.052647,0.006391,0.554612
2080000,15.7031,5.502199,0.052647,0.006391,0.557986
2081000,15.7031,5.502199,0.052647,0.006391,0.552364
2082000,15.7031,5.502199,0.052647,0.006391,0.560225
2083000,15.7031,5.502199,0.052647,0.006391,0.552572
2084000,15.7031,5.502199,0.052647,0.006391,0.560441
2085000,15.7031,5.502199,0.052647,0.006391,0.552085
2086000,15.7031,5.502199,0.052647,0.006391,0.554819
2087000,15.7031,5.502199,0.052647,0.006391,0.557858
2088000,15.7031,5.502199,0.052647,0.006391,0.552292
2089000,15.7031,5.502199,0.052647,0.006391,0.560665
2090000,15.7031,5.502199,0.052647,0.006391,0.555027
2091000,15.7031,5.502199,0.052647,0.006391,0.554747
2092000,15.7031,5.502199,0.052647,0.006391,0.555315
2093000,15.7031,5.502199,0.052647,0.006391,0.557634
2094000,15.7031,5.502199,0.052647,0.006391,0.554755
2095000,15.7031,5.502199,0.052647,0.006391,0.555027
2096000,15.7031,5.502199,0.052647,0.006391,0.555035
2097000,15.7031,5.502199,0.052647,0.006391,0.557426
2098000,15.7031,5.502199,0.052647,0.006391,0.552436
2099000,15.7031,5.502199,0.052647,0.006391,0.560233
2100000,15.7031,5.502199,0.052647,0.006391,0.552428
2101000,15.7031,5.502199,0.052647,0.006391,0.558066
