Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
5000000,0.2191,0.065854,0.000377,0.000034,0.348863
5001000,0.2191,0.065854,0.000377,0.000034,0.382403
5002000,0.2191,0.065854,0.000377,0.000034,0.364006
5003000,0.2191,0.065854,0.000377,0.000034,0.380023
5004000,0.2191,0.065854,0.000377,0.000034,0.380853
5005000,0.2191,0.065854,0.000377,0.000034,0.486618
5006000,0.2191,0.065854,0.000377,0.000034,0.573281
5007000,0.2191,0.065854,0.000377,0.000034,0.466229
5008000,0.2191,0.065854,0.000377,0.000034,0.464190
5009000,0.2191,0.065854,0.000377,0.000034,0.483602
5010000,0.2191,0.065854,0.000377,0.000034,0.458947
5011000,0.2191,0.065854,0.000377,0.000034,0.475994
5012000,0.2191,0.065854,0.000377,0.000034,0.453144
5013000,0.2191,0.065854,0.000377,0.000034,0.460573
5014000,0.2191,0.065854,0.000377,0.000034,0.436235
5015000,0.2191,0.065854,0.000377,0.000034,0.446126
5016000,0.2191,0.065854,0.000377,0.000034,0.444744
5017000,0.2191,0.065854,0.000377,0.000034,0.436079
5018000,0.2191,0.065854,0.000377,0.000034,0.427767
5019000,0.2191,0.065854,0.000377,0.000034,0.435984
5020000,0.2191,0.065854,0.000377,0.000034,0.416549
5021000,0.2191,0.065854,0.000377,0.000034,0.421191
5022000,0.2191,0.065854,0.000377,0.000034,0.412853
5023000,0.2191,0.065854,0.000377,0.000034,0.393912
5024000,0.2191,0.065854,0.000377,0.000034,0.402989
5025000,0.2191,0.065854,0.000377,0.000034,0.404454
5026000,0.2191,0.065854,0.000377,0.000034,0.399003
5027000,0.2191,0.065854,0.000377,0.000034,0.383733
5028000,0.2191,0.065854,0.000377,0.000034,0.407148
5029000,0.2191,0.065854,0.000377,0.000034,0.371214
5030000,0.2191,0.065854,0.000377,0.000034,0.392753
5031000,0.2191,0.065854,0.000377,0.000034,0.367841
5032000,0.2191,0.065854,0.000377,0.000034,0.369021
5033000,0.2191,0.065854,0.000377,0.000034,0.367133
5034000,0.2191,0.065854,0.000377,0.000034,0.358098
5035000,0.2191,0.065854,0.000377,0.000034,0.391061
5036000,0.2191,0.065854,0.000377,0.000034,0.356407
5037000,0.2191,0.065854,0.000377,0.000034,0.393045
5038000,0.2191,0.065854,0.000377,0.000034,0.377592
5039000,0.2191,0.065854,0.000377,0.000034,0.414690
5040000,0.2191,0.065854,0.000377,0.000034,0.549178
5041000,0.2191,0.065854,0.000377,0.000034,0.516721
5042000,0.2191,0.065854,0.000377,0.000034,0.471785
5043000,0.2191,0.065854,0.000377,0.000034,0.468086
5044000,0.2191,0.065854,0.000377,0.000034,0.481551
5045000,0.2191,0.065854,0.000377,0.000034,0.459601
5046000,0.2191,0.065854,0.000377,0.000034,0.465416
5047000,0.2191,0.065854,0.000377,0.000034,0.456433
5048000,0.2191,0.065854,0.000377,0.000034,0.460305
5049000,0.2191,0.065854,0.000377,0.000034,0.437456
5050000,0.2191,0.065854,0.000377,0.000034,0.436975
5051000,0.2191,0.065854,0.000377,0.000034,0.446338
5052000,0.2191,0.065854,0.000377,0.000034,0.413470
5053000,0.2191,0.065854,0.000377,0.000034,0.425896
5054000,0.2191,0.065854,0.000377,0.000034,0.430729
5055000,0.2191,0.065854,0.000377,0.000034,0.409629
5056000,0.2191,0.065854,0.000377,0.000034,0.408049
5057000,0.2191,0.065854,0.000377,0.000034,0.412154
5058000,0.2191,0.065854,0.000377,0.000034,0.406917
5059000,0.2191,0.065854,0.000377,0.000034,0.394831
5060000,0.2191,0.065854,0.000377,0.000034,0.414705
5061000,0.2191,0.065854,0.000377,0.000034,0.383084
5062000,0.2191,0.065854,0.000377,0.000034,0.404396
5063000,0.2191,0.065854,0.000377,0.000034,0.375462
5064000,0.2191,0.065854,0.000377,0.000034,0.387050
5065000,0.2191,0.065854,0.000377,0.000034,0.375071
5066000,0.2191,0.065854,0.000377,0.000034,0.366467
5067000,0.2191,0.065854,0.000377,0.000034,0.375663
5068000,0.2191,0.065854,0.000377,0.000034,0.349786
5069000,0.2191,0.065854,0.000377,0.000034,0.395727
5070000,0.2191,0.065854,0.000377,0.000034,0.348918
5071000,0.2191,0.065854,0.000377,0.000034,0.382943
5072000,0.2191,0.065854,0.000377,0.000034,0.374714
5073000,0.2191,0.065854,0.000377,0.000034,0.376280
5074000,0.2191,0.065854,0.000377,0.000034,0.445393
5075000,0.2191,0.065854,0.000377,0.000034,0.547647
5076000,0.2191,0.065854,0.000377,0.000034,0.496939
5077000,0.2191,0.065854,0.000377,0.000034,0.486236
5078000,0.2191,0.065854,0.000377,0.000034,0.466582
5079000,0.2191,0.065854,0.000377,0.000034,0.461128
5080000,0.2191,0.065854,0.000377,0.000034,0.460867
5081000,0.2191,0.065854,0.000377,0.000034,0.467138
5082000,0.2191,0.065854,0.000377,0.000034,0.454396
5083000,0.2191,0.065854,0.000377,0.000034,0.453121
5084000,0.2191,0.065854,0.000377,0.000034,0.441403
5085000,0.2191,0.065854,0.000377,0.000034,0.453743
5086000,0.2191,0.065854,0.000377,0.000034,0.429657
5087000,0.2191,0.065854,0.000377,0.000034,0.428565
5088000,0.2191,0.065854,0.000377,0.000034,0.438636
5089000,0.2191,0.065854,0.000377,0.000034,0.419838
5090000,0.2191,0.065854,0.000377,0.000034,0.409195
5091000,0.2191,0.065854,0.000377,0.000034,0.417736
5092000,0.2191,0.065854,0.000377,0.000034,0.401281
5093000,0.2191,0.065854,0.000377,0.000034,0.405148
5094000,0.2191,0.065854,0.000377,0.000034,0.393327
5095000,0.2191,0.065854,0.000377,0.000034,0.392450
5096000,0.2191,0.065854,0.000377,0.000034,0.399115
5097000,0.2191,0.065854,0.000377,0.000034,0.385570
5098000,0.2191,0.065854,0.000377,0.000034,0.377433
5099000,0.2191,0.065854,0.000377,0.000034,0.386320
5100000,0.2191,0.065854,0.000377,0.000034,0.374506
5101000,0.2191,0.065854,0.000377,0.000034,0.367614
5102000,0.2191,0.065854,0.000377,0.000034,0.370446
5103000,0.2191,0.065854,0.000377,0.000034,0.388500
5104000,0.2191,0.065854,0.000377,0.000034,0.371136
5105000,0.2191,0.065854,0.000377,0.000034,0.374704
5106000,0.2191,0.065854,0.000377,0.000034,0.379238
5107000,0.2191,0.065854,0.000377,0.000034,0.379474
5108000,0.2191,0.065854,0.000377,0.000034,0.372521
5109000,0.2191,0.065854,0.000377,0.000034,0.523772
5110000,0.2191,0.065854,0.000377,0.000034,0.515913
5111000,0.2191,0.065854,0.000377,0.000034,0.494769
5112000,0.2191,0.065854,0.000377,0.000034,0.444784
5113000,0.2191,0.065854,0.000377,0.000034,0.482033
5114000,0.2191,0.065854,0.000377,0.000034,0.450602
5115000,0.2191,0.065854,0.000377,0.000034,0.469400
5116000,0.2191,0.065854,0.000377,0.000034,0.445179
5117000,0.2191,0.065854,0.000377,0.000034,0.457606
5118000,0.2191,0.065854,0.000377,0.000034,0.436750
5119000,0.2191,0.065854,0.000377,0.000034,0.454581
5120000,0.2191,0.065854,0.000377,0.000034,0.419157
5121000,0.2191,0.065854,0.000377,0.000034,0.446697
5122000,0.2191,0.065854,0.000377,0.000034,0.420808
5123000,0.2191,0.065854,0.000377,0.000034,0.413291
5124000,0.2191,0.065854,0.000377,0.000034,0.425374
5125000,0.2191,0.065854,0.000377,0.000034,0.410835
5126000,0.2191,0.065854,0.000377,0.000034,0.401711
5127000,0.2191,0.065854,0.000377,0.000034,0.389607
5128000,0.2191,0.065854,0.000377,0.000034,0.399334
5129000,0.2191,0.065854,0.000377,0.000034,0.399327
5130000,0.2191,0.065854,0.000377,0.000034,0.382259
5131000,0.2191,0.065854,0.000377,0.000034,0.397582
5132000,0.2191,0.065854,0.000377,0.000034,0.380383
5133000,0.2191,0.065854,0.000377,0.000034,0.383805
5134000,0.2191,0.065854,0.000377,0.000034,0.368121
5135000,0.2191,0.065854,0.000377,0.000034,0.379024
5136000,0.2191,0.065854,0.000377,0.000034,0.368991
5137000,0.2191,0.065854,0.000377,0.000034,0.361086
5138000,0.2191,0.065854,0.000377,0.000034,0.396901
5139000,0.2191,0.065854,0.000377,0.000034,0.352081
5140000,0.2191,0.065854,0.000377,0.000034,0.384523
5141000,0.2191,0.065854,0.000377,0.000034,0.383032
5142000,0.2191,0.065854,0.000377,0.000034,0.377641
5143000,0.2191,0.065854,0.000377,0.000034,0.442479
5144000,0.2191,0.065854,0.000377,0.000034,0.494196
5145000,0.2191,0.065854,0.000377,0.000034,0.513435
5146000,0.2191,0.065854,0.000377,0.000034,0.457797
5147000,0.2191,0.065854,0.000377,0.000034,0.477656
5148000,0.2191,0.065854,0.000377,0.000034,0.453047
5149000,0.2191,0.065854,0.000377,0.000034,0.453949
5150000,0.2191,0.065854,0.000377,0.000034,0.453864
5151000,0.2191,0.065854,0.000377,0.000034,0.439817
5152000,0.2191,0.065854,0.000377,0.000034,0.437714
5153000,0.2191,0.065854,0.000377,0.000034,0.442542
5154000,0.2191,0.065854,0.000377,0.000034,0.432707
5155000,0.2191,0.065854,0.000377,0.000034,0.419625
5156000,0.2191,0.065854,0.000377,0.000034,0.441225
5157000,0.2191,0.065854,0.000377,0.000034,0.406798
5158000,0.2191,0.065854,0.000377,0.000034,0.434795
5159000,0.2191,0.065854,0.000377,0.000034,0.377464
5160000,0.2191,0.065854,0.000377,0.000034,0.417733
5161000,0.2191,0.065854,0.000377,0.000034,0.411190
5162000,0.2191,0.065854,0.000377,0.000034,0.395528
5163000,0.2191,0.065854,0.000377,0.000034,0.385333
5164000,0.2191,0.065854,0.000377,0.000034,0.403068
5165000,0.2191,0.065854,0.000377,0.000034,0.380747
5166000,0.2191,0.065854,0.000377,0.000034,0.386747
5167000,0.2191,0.065854,0.000377,0.000034,0.395188
5168000,0.2191,0.065854,0.000377,0.000034,0.369455
5169000,0.2191,0.065854,0.000377,0.000034,0.377710
5170000,0.2191,0.065854,0.000377,0.000034,0.361420
5171000,0.2191,0.065854,0.000377,0.000034,0.370081
