Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
8000000,8.6440,0.261844,0.058609,0.079322,0.161447
8001000,8.6440,0.261844,0.058609,0.079322,0.177743
8002000,8.6440,0.261844,0.058609,0.079322,0.178463
8003000,8.6440,0.261844,0.058609,0.079322,0.156484
8004000,8.6440,0.261844,0.058609,0.079322,0.157922
8005000,8.6440,0.261844,0.058609,0.079322,0.209563
8006000,8.6440,0.261844,0.058609,0.079322,0.157704
8007000,8.6440,0.261844,0.058609,0.079322,0.158106
8008000,8.6440,0.261844,0.058609,0.079322,0.175894
8009000,8.6440,0.261844,0.058609,0.079322,0.178434
8010000,8.6440,0.261844,0.058609,0.079322,0.140955
8011000,8.6440,0.261844,0.058609,0.079322,0.179962
8012000,8.6440,0.261844,0.058609,0.079322,0.190098
8013000,8.6440,0.261844,0.058609,0.079322,0.136525
8014000,8.6440,0.261844,0.058609,0.079322,0.170845
8015000,8.6440,0.261844,0.058609,0.079322,0.184423
8016000,8.6440,0.261844,0.058609,0.079322,0.176385
8017000,8.6440,0.261844,0.058609,0.079322,0.144307
8018000,8.6440,0.261844,0.058609,0.079322,0.192074
8019000,8.6440,0.261844,0.058609,0.079322,0.166524
8020000,8.6440,0.261844,0.058609,0.079322,0.185157
8021000,8.6440,0.261844,0.058609,0.079322,0.141713
8022000,8.6440,0.261844,0.058609,0.079322,0.192374
8023000,8.6440,0.261844,0.058609,0.079322,0.162656
8024000,8.6440,0.261844,0.058609,0.079322,0.153352
8025000,8.6440,0.261844,0.058609,0.079322,0.182578
8026000,8.6440,0.261844,0.058609,0.079322,0.183265
8027000,8.6440,0.261844,0.058609,0.079322,0.139693
8028000,8.6440,0.261844,0.058609,0.079322,0.191391
8029000,8.6440,0.261844,0.058609,0.079322,0.153181
8030000,8.6440,0.261844,0.058609,0.079322,0.175754
8031000,8.6440,0.261844,0.058609,0.079322,0.152681
8032000,8.6440,0.261844,0.058609,0.079322,0.195205
8033000,8.6440,0.261844,0.058609,0.079322,0.155698
8034000,8.6440,0.261844,0.058609,0.079322,0.172269
8035000,8.6440,0.261844,0.058609,0.079322,0.169124
8036000,8.6440,0.261844,0.058609,0.079322,0.175437
8037000,8.6440,0.261844,0.058609,0.079322,0.158355
8038000,8.6440,0.261844,0.058609,0.079322,0.167529
8039000,8.6440,0.261844,0.058609,0.079322,0.198524
8040000,8.6440,0.261844,0.058609,0.079322,0.143420
8041000,8.6440,0.261844,0.058609,0.079322,0.154018
8042000,8.6440,0.261844,0.058609,0.079322,0.198119
8043000,8.6440,0.261844,0.058609,0.079322,0.171775
8044000,8.6440,0.261844,0.058609,0.079322,0.149503
8045000,8.6440,0.261844,0.058609,0.079322,0.189868
8046000,8.6440,0.261844,0.058609,0.079322,0.164782
8047000,8.6440,0.261844,0.058609,0.079322,0.162922
8048000,8.6440,0.261844,0.058609,0.079322,0.166262
8049000,8.6440,0.261844,0.058609,0.079322,0.196116
