Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
12000000,8.6440,0.261844,0.058609,0.079322,0.012894
12001000,8.6440,0.261844,0.058609,0.079322,0.013383
12002000,8.6440,0.261844,0.058609,0.079322,0.005910
12003000,8.6440,0.261844,0.058609,0.079322,0.010310
12004000,8.6440,0.261844,0.058609,0.079322,0.013772
12005000,8.6440,0.261844,0.058609,0.079322,0.010575
12006000,8.6440,0.261844,0.058609,0.079322,0.005910
12007000,8.6440,0.261844,0.058609,0.079322,0.013138
12008000,8.6440,0.261844,0.058609,0.079322,0.013138
12009000,8.6440,0.261844,0.058609,0.079322,0.007163
12010000,8.6440,0.261844,0.058609,0.079322,0.010310
12011000,8.6440,0.261844,0.058609,0.079322,0.013772
12012000,8.6440,0.261844,0.058609,0.079322,0.009323
12013000,8.6440,0.261844,0.058609,0.079322,0.007163
12014000,8.6440,0.261844,0.058609,0.079322,0.013138
12015000,8.6440,0.261844,0.058609,0.079322,0.013138
12016000,8.6440,0.261844,0.058609,0.079322,0.007163
12017000,8.6440,0.261844,0.058609,0.079322,0.010310
12018000,8.6440,0.261844,0.058609,0.079322,0.013772
12019000,8.6440,0.261844,0.058609,0.079322,0.009323
12020000,8.6440,0.261844,0.058609,0.079322,0.007163
12021000,8.6440,0.261844,0.058609,0.079322,0.013138
12022000,8.6440,0.261844,0.058609,0.079322,0.013138
12023000,8.6440,0.261844,0.058609,0.079322,0.007156
12024000,8.6440,0.261844,0.058609,0.079322,0.010317
12025000,8.6440,0.261844,0.058609,0.079322,0.013772
12026000,8.6440,0.261844,0.058609,0.079322,0.009323
12027000,8.6440,0.261844,0.058609,0.079322,0.007156
12028000,8.6440,0.261844,0.058609,0.079322,0.013145
12029000,8.6440,0.261844,0.058609,0.079322,0.013138
12030000,8.6440,0.261844,0.058609,0.079322,0.007149
12031000,8.6440,0.261844,0.058609,0.079322,0.010324
12032000,8.6440,0.261844,0.058609,0.079322,0.013772
12033000,8.6440,0.261844,0.058609,0.079322,0.009323
12034000,8.6440,0.261844,0.058609,0.079322,0.007149
12035000,8.6440,0.261844,0.058609,0.079322,0.013138
12036000,8.6440,0.261844,0.058609,0.079322,0.013145
12037000,8.6440,0.261844,0.058609,0.079322,0.006530
12038000,8.6440,0.261844,0.058609,0.079322,0.010950
12039000,8.6440,0.261844,0.058609,0.079322,0.013772
12040000,8.6440,0.261844,0.058609,0.079322,0.009316
12041000,8.6440,0.261844,0.058609,0.079322,0.006530
12042000,8.6440,0.261844,0.058609,0.079322,0.013757
12043000,8.6440,0.261844,0.058609,0.079322,0.013145
12044000,8.6440,0.261844,0.058609,0.079322,0.006537
12045000,8.6440,0.261844,0.058609,0.079322,0.010950
12046000,8.6440,0.261844,0.058609,0.079322,0.013772
12047000,8.6440,0.261844,0.058609,0.079322,0.009301
12048000,8.6440,0.261844,0.058609,0.079322,0.006544
12049000,8.6440,0.261844,0.058609,0.079322,0.013757
12050000,8.6440,0.261844,0.058609,0.079322,0.012519
12051000,8.6440,0.261844,0.058609,0.079322,0.007163
12052000,8.6440,0.261844,0.058609,0.079322,0.010950
12053000,8.6440,0.261844,0.058609,0.079322,0.013772
12054000,8.6440,0.261844,0.058609,0.079322,0.008682
12055000,8.6440,0.261844,0.058609,0.079322,0.007163
12056000,8.6440,0.261844,0.058609,0.079322,0.013757
12057000,8.6440,0.261844,0.058609,0.079322,0.012519
12058000,8.6440,0.261844,0.058609,0.079322,0.007156
12059000,8.6440,0.261844,0.058609,0.079322,0.010957
12060000,8.6440,0.261844,0.058609,0.079322,0.013772
12061000,8.6440,0.261844,0.058609,0.079322,0.008682
12062000,8.6440,0.261844,0.058609,0.079322,0.007156
12063000,8.6440,0.261844,0.058609,0.079322,0.013765
12064000,8.6440,0.261844,0.058609,0.079322,0.012512
12065000,8.6440,0.261844,0.058609,0.079322,0.005910
