Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
4000000,23.8212,1.028147,0.538949,0.086720,8.228552
4001000,23.8212,1.028147,0.538949,0.086720,8.238721
4002000,23.8212,1.028147,0.538949,0.086720,8.254301
4003000,23.8212,1.028147,0.538949,0.086720,8.240056
4004000,23.8212,1.028147,0.538949,0.086720,8.228552
4005000,23.8212,1.028147,0.538949,0.086720,8.252563
4006000,23.8212,1.028147,0.538949,0.086720,8.252851
4007000,23.8212,1.028147,0.538949,0.086720,8.229028
4008000,23.8212,1.028147,0.538949,0.086720,8.239205
4009000,23.8212,1.028147,0.538949,0.086720,8.254301
4010000,23.8212,1.028147,0.538949,0.086720,8.238966
4011000,23.8212,1.028147,0.538949,0.086720,8.229159
4012000,23.8212,1.028147,0.538949,0.086720,8.252563
4013000,23.8212,1.028147,0.538949,0.086720,8.252657
4014000,23.8212,1.028147,0.538949,0.086720,8.227306
4015000,23.8212,1.028147,0.538949,0.086720,8.241604
4016000,23.8212,1.028147,0.538949,0.086720,8.254301
4017000,23.8212,1.028147,0.538949,0.086720,8.238325
4018000,23.8212,1.028147,0.538949,0.086720,8.227399
4019000,23.8212,1.028147,0.538949,0.086720,8.253089
4020000,23.8212,1.028147,0.538949,0.086720,8.252037
4021000,23.8212,1.028147,0.538949,0.086720,8.229799
4022000,23.8212,1.028147,0.538949,0.086720,8.241604
4023000,23.8212,1.028147,0.538949,0.086720,8.254301
4024000,23.8212,1.028147,0.538949,0.086720,8.235926
4025000,23.8212,1.028147,0.538949,0.086720,8.229799
4026000,23.8212,1.028147,0.538949,0.086720,8.253089
4027000,23.8212,1.028147,0.538949,0.086720,8.252037
4028000,23.8212,1.028147,0.538949,0.086720,8.229799
4029000,23.8212,1.028147,0.538949,0.086720,8.241604
4030000,23.8212,1.028147,0.538949,0.086720,8.254301
4031000,23.8212,1.028147,0.538949,0.086720,8.235926
4032000,23.8212,1.028147,0.538949,0.086720,8.229799
4033000,23.8212,1.028147,0.538949,0.086720,8.253089
4034000,23.8212,1.028147,0.538949,0.086720,8.252037
4035000,23.8212,1.028147,0.538949,0.086720,8.229684
4036000,23.8212,1.028147,0.538949,0.086720,8.241719
4037000,23.8212,1.028147,0.538949,0.086720,8.254301
4038000,23.8212,1.028147,0.538949,0.086720,8.235926
4039000,23.8212,1.028147,0.538949,0.086720,8.229202
4040000,23.8212,1.028147,0.538949,0.086720,8.253687
4041000,23.8212,1.028147,0.538949,0.086720,8.251923
4042000,23.8212,1.028147,0.538949,0.086720,8.227535
4043000,23.8212,1.028147,0.538949,0.086720,8.243983
4044000,23.8212,1.028147,0.538949,0.086720,8.254301
4045000,23.8212,1.028147,0.538949,0.086720,8.235811
4046000,23.8212,1.028147,0.538949,0.086720,8.228701
4047000,23.8212,1.028147,0.538949,0.086720,8.254301
4048000,23.8212,1.028147,0.538949,0.086720,8.249659
4049000,23.8212,1.028147,0.538949,0.086720,8.229799
