Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
30000000,15.7031,5.502199,0.052647,0.006391,0.557535
30001000,15.7031,5.502199,0.052647,0.006391,0.556730
30002000,15.7031,5.502199,0.052647,0.006391,0.554562
30003000,15.7031,5.502199,0.052647,0.006391,0.554546
30004000,15.7031,5.502199,0.052647,0.006391,0.556730
30005000,15.7031,5.502199,0.052647,0.006391,0.554131
30006000,15.7031,5.502199,0.052647,0.006391,0.555080
30007000,15.7031,5.502199,0.052647,0.006391,0.557081
30008000,15.7031,5.502199,0.052647,0.006391,0.556730
30009000,15.7031,5.502199,0.052647,0.006391,0.554562
30010000,15.7031,5.502199,0.052647,0.006391,0.554546
30011000,15.7031,5.502199,0.052647,0.006391,0.557040
30012000,15.7031,5.502199,0.052647,0.006391,0.554275
30013000,15.7031,5.502199,0.052647,0.006391,0.554626
30014000,15.7031,5.502199,0.052647,0.006391,0.556937
30015000,15.7031,5.502199,0.052647,0.006391,0.556730
30016000,15.7031,5.502199,0.052647,0.006391,0.554554
30017000,15.7031,5.502199,0.052647,0.006391,0.555008
30018000,15.7031,5.502199,0.052647,0.006391,0.556730
30019000,15.7031,5.502199,0.052647,0.006391,0.554275
30020000,15.7031,5.502199,0.052647,0.006391,0.554626
30021000,15.7031,5.502199,0.052647,0.006391,0.556937
30022000,15.7031,5.502199,0.052647,0.006391,0.557112
30023000,15.7031,5.502199,0.052647,0.006391,0.554626
30024000,15.7031,5.502199,0.052647,0.006391,0.554482
30025000,15.7031,5.502199,0.052647,0.006391,0.556730
30026000,15.7031,5.502199,0.052647,0.006391,0.554347
30027000,15.7031,5.502199,0.052647,0.006391,0.554626
30028000,15.7031,5.502199,0.052647,0.006391,0.557319
30029000,15.7031,5.502199,0.052647,0.006391,0.556730
30030000,15.7031,5.502199,0.052647,0.006391,0.551811
30031000,15.7031,5.502199,0.052647,0.006391,0.557153
30032000,15.7031,5.502199,0.052647,0.006391,0.556730
30033000,15.7031,5.502199,0.052647,0.006391,0.554490
30034000,15.7031,5.502199,0.052647,0.006391,0.555080
30035000,15.7031,5.502199,0.052647,0.006391,0.556721
30036000,15.7031,5.502199,0.052647,0.006391,0.554059
30037000,15.7031,5.502199,0.052647,0.006391,0.554626
30038000,15.7031,5.502199,0.052647,0.006391,0.557153
30039000,15.7031,5.502199,0.052647,0.006391,0.557112
30040000,15.7031,5.502199,0.052647,0.006391,0.554562
30041000,15.7031,5.502199,0.052647,0.006391,0.554626
30042000,15.7031,5.502199,0.052647,0.006391,0.556721
30043000,15.7031,5.502199,0.052647,0.006391,0.554059
30044000,15.7031,5.502199,0.052647,0.006391,0.554626
30045000,15.7031,5.502199,0.052647,0.006391,0.557535
30046000,15.7031,5.502199,0.052647,0.006391,0.556730
30047000,15.7031,5.502199,0.052647,0.006391,0.554562
30048000,15.7031,5.502199,0.052647,0.006391,0.554546
30049000,15.7031,5.502199,0.052647,0.006391,0.556730
30050000,15.7031,5.502199,0.052647,0.006391,0.554131
30051000,15.7031,5.502199,0.052647,0.006391,0.555080
30052000,15.7031,5.502199,0.052647,0.006391,0.557081
30053000,15.7031,5.502199,0.052647,0.006391,0.556586
30054000,15.7031,5.502199,0.052647,0.006391,0.554554
30055000,15.7031,5.502199,0.052647,0.006391,0.554554
30056000,15.7031,5.502199,0.052647,0.006391,0.557184
30057000,15.7031,5.502199,0.052647,0.006391,0.554275
30058000,15.7031,5.502199,0.052647,0.006391,0.554626
30059000,15.7031,5.502199,0.052647,0.006391,0.556937
30060000,15.7031,5.502199,0.052647,0.006391,0.556730
30061000,15.7031,5.502199,0.052647,0.006391,0.554554
30062000,15.7031,5.502199,0.052647,0.006391,0.555008
30063000,15.7031,5.502199,0.052647,0.006391,0.556658
30064000,15.7031,5.502199,0.052647,0.006391,0.554347
30065000,15.7031,5.502199,0.052647,0.006391,0.554626
30066000,15.7031,5.502199,0.052647,0.006391,0.556937
30067000,15.7031,5.502199,0.052647,0.006391,0.557112
30068000,15.7031,5.502199,0.052647,0.006391,0.551811
30069000,15.7031,5.502199,0.052647,0.006391,0.557297
30070000,15.7031,5.502199,0.052647,0.006391,0.556658
30071000,15.7031,5.502199,0.052647,0.006391,0.554418
30072000,15.7031,5.502199,0.052647,0.006391,0.554626
30073000,15.7031,5.502199,0.052647,0.006391,0.556865
