Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
17000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029658
17001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019923
17002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.030684
17003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.016893
17004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.027296
17005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021604
17006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024860
17007000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.026215
17008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.022979
17009000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029170
17010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020949
17011000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.022158
17012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024492
17013000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.026028
17014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021503
17015000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021704
17016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.026028
17017000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.027310
17018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.016872
17019000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.028029
17020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.018443
17021000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.030163
17022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.012944
17023000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.030852
17024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024279
17025000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021503
17026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021704
17027000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.030624
17028000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.028923
17029000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.012512
17030000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.035206
17031000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025942
17032000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.018060
17033000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025147
17034000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025560
17035000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021886
17036000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021136
17037000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.022072
17038000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029003
17039000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.022671
17040000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020436
17041000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.026128
17042000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.027195
17043000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.023318
17044000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.023146
17045000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.028995
17046000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.013925
17047000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.030264
17048000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020443
17049000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.026028
17050000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021604
17051000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.026114
17052000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.026128
17053000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021503
17054000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029103
17055000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.022664
17056000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021525
17057000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.023354
17058000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024278
17059000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020436
17060000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025148
17061000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.022484
17062000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025560
17063000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.022072
17064000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024579
17065000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024335
17066000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.023189
17067000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019249
17068000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.028483
17069000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021424
17070000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021604
17071000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021503
17072000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.027296
17073000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024392
17074000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019689
