Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
3000000,1.6202,0.544831,0.005673,0.000697,0.453497
3001000,1.6202,0.544831,0.005673,0.000697,0.455752
3002000,1.6202,0.544831,0.005673,0.000697,0.469079
3003000,1.6202,0.544831,0.005673,0.000697,0.471757
3004000,1.6202,0.544831,0.005673,0.000697,0.457356
3005000,1.6202,0.544831,0.005673,0.000697,0.456569
3006000,1.6202,0.544831,0.005673,0.000697,0.478992
3007000,1.6202,0.544831,0.005673,0.000697,0.476166
3008000,1.6202,0.544831,0.005673,0.000697,0.460898
3009000,1.6202,0.544831,0.005673,0.000697,0.463374
3010000,1.6202,0.544831,0.005673,0.000697,0.471888
3011000,1.6202,0.544831,0.005673,0.000697,0.468375
3012000,1.6202,0.544831,0.005673,0.000697,0.454260
3013000,1.6202,0.544831,0.005673,0.000697,0.455872
3014000,1.6202,0.544831,0.005673,0.000697,0.461852
3015000,1.6202,0.544831,0.005673,0.000697,0.464320
3016000,1.6202,0.544831,0.005673,0.000697,0.471320
3017000,1.6202,0.544831,0.005673,0.000697,0.464602
3018000,1.6202,0.544831,0.005673,0.000697,0.468548
3019000,1.6202,0.544831,0.005673,0.000697,0.471053
3020000,1.6202,0.544831,0.005673,0.000697,0.470254
3021000,1.6202,0.544831,0.005673,0.000697,0.465903
3022000,1.6202,0.544831,0.005673,0.000697,0.459366
3023000,1.6202,0.544831,0.005673,0.000697,0.462033
3024000,1.6202,0.544831,0.005673,0.000697,0.464312
3025000,1.6202,0.544831,0.005673,0.000697,0.461532
3026000,1.6202,0.544831,0.005673,0.000697,0.461429
3027000,1.6202,0.544831,0.005673,0.000697,0.458596
3028000,1.6202,0.544831,0.005673,0.000697,0.465899
3029000,1.6202,0.544831,0.005673,0.000697,0.466322
3030000,1.6202,0.544831,0.005673,0.000697,0.460786
3031000,1.6202,0.544831,0.005673,0.000697,0.458455
3032000,1.6202,0.544831,0.005673,0.000697,0.458589
3033000,1.6202,0.544831,0.005673,0.000697,0.457805
3034000,1.6202,0.544831,0.005673,0.000697,0.458033
3035000,1.6202,0.544831,0.005673,0.000697,0.458690
3036000,1.6202,0.544831,0.005673,0.000697,0.467045
3037000,1.6202,0.544831,0.005673,0.000697,0.466630
3038000,1.6202,0.544831,0.005673,0.000697,0.461006
3039000,1.6202,0.544831,0.005673,0.000697,0.461107
3040000,1.6202,0.544831,0.005673,0.000697,0.461549
3041000,1.6202,0.544831,0.005673,0.000697,0.458430
3042000,1.6202,0.544831,0.005673,0.000697,0.458141
3043000,1.6202,0.544831,0.005673,0.000697,0.457187
3044000,1.6202,0.544831,0.005673,0.000697,0.458394
3045000,1.6202,0.544831,0.005673,0.000697,0.457631
3046000,1.6202,0.544831,0.005673,0.000697,0.463153
3047000,1.6202,0.544831,0.005673,0.000697,0.462690
3048000,1.6202,0.544831,0.005673,0.000697,0.457187
3049000,1.6202,0.544831,0.005673,0.000697,0.455564
3050000,1.6202,0.544831,0.005673,0.000697,0.450758
3051000,1.6202,0.544831,0.005673,0.000697,0.455228
3052000,1.6202,0.544831,0.005673,0.000697,0.454014
3053000,1.6202,0.544831,0.005673,0.000697,0.454246
3054000,1.6202,0.544831,0.005673,0.000697,0.451550
3055000,1.6202,0.544831,0.005673,0.000697,0.455677
