Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000000,23.8212,1.028147,0.538949,0.086720,12.324395
2001000,23.8212,1.028147,0.538949,0.086720,12.305664
2002000,23.8212,1.028147,0.538949,0.086720,12.174452
2003000,23.8212,1.028147,0.538949,0.086720,12.548250
2004000,23.8212,1.028147,0.538949,0.086720,11.496510
2005000,23.8212,1.028147,0.538949,0.086720,12.730231
2006000,23.8212,1.028147,0.538949,0.086720,13.069308
2007000,23.8212,1.028147,0.538949,0.086720,12.579634
2008000,23.8212,1.028147,0.538949,0.086720,12.378784
2009000,23.8212,1.028147,0.538949,0.086720,13.058828
2010000,23.8212,1.028147,0.538949,0.086720,12.027180
2011000,23.8212,1.028147,0.538949,0.086720,12.048126
2012000,23.8212,1.028147,0.538949,0.086720,12.672127
2013000,23.8212,1.028147,0.538949,0.086720,12.377492
2014000,23.8212,1.028147,0.538949,0.086720,12.428005
2015000,23.8212,1.028147,0.538949,0.086720,12.516676
2016000,23.8212,1.028147,0.538949,0.086720,12.485452
2017000,23.8212,1.028147,0.538949,0.086720,12.817364
2018000,23.8212,1.028147,0.538949,0.086720,12.371064
2019000,23.8212,1.028147,0.538949,0.086720,12.929650
2020000,23.8212,1.028147,0.538949,0.086720,12.996769
2021000,23.8212,1.028147,0.538949,0.086720,12.773996
2022000,23.8212,1.028147,0.538949,0.086720,12.494415
2023000,23.8212,1.028147,0.538949,0.086720,12.746119
2024000,23.8212,1.028147,0.538949,0.086720,12.261456
2025000,23.8212,1.028147,0.538949,0.086720,12.638909
2026000,23.8212,1.028147,0.538949,0.086720,13.169792
2027000,23.8212,1.028147,0.538949,0.086720,12.458708
2028000,23.8212,1.028147,0.538949,0.086720,12.601702
2029000,23.8212,1.028147,0.538949,0.086720,12.423918
2030000,23.8212,1.028147,0.538949,0.086720,12.538288
2031000,23.8212,1.028147,0.538949,0.086720,12.703224
2032000,23.8212,1.028147,0.538949,0.086720,12.770375
2033000,23.8212,1.028147,0.538949,0.086720,12.161530
2034000,23.8212,1.028147,0.538949,0.086720,12.716039
2035000,23.8212,1.028147,0.538949,0.086720,12.590603
2036000,23.8212,1.028147,0.538949,0.086720,12.812792
2037000,23.8212,1.028147,0.538949,0.086720,12.772110
2038000,23.8212,1.028147,0.538949,0.086720,12.444777
2039000,23.8212,1.028147,0.538949,0.086720,13.084509
2040000,23.8212,1.028147,0.538949,0.086720,12.236887
2041000,23.8212,1.028147,0.538949,0.086720,12.700739
2042000,23.8212,1.028147,0.538949,0.086720,12.724164
2043000,23.8212,1.028147,0.538949,0.086720,12.702810
2044000,23.8212,1.028147,0.538949,0.086720,12.725988
2045000,23.8212,1.028147,0.538949,0.086720,12.978469
2046000,23.8212,1.028147,0.538949,0.086720,12.866900
2047000,23.8212,1.028147,0.538949,0.086720,12.880093
2048000,23.8212,1.028147,0.538949,0.086720,12.762676
2049000,23.8212,1.028147,0.538949,0.086720,13.108032
2050000,23.8212,1.028147,0.538949,0.086720,12.989294
2051000,23.8212,1.028147,0.538949,0.086720,12.675740
2052000,23.8212,1.028147,0.538949,0.086720,13.300036
2053000,23.8212,1.028147,0.538949,0.086720,13.354066
2054000,23.8212,1.028147,0.538949,0.086720,13.321968
2055000,23.8212,1.028147,0.538949,0.086720,13.149307
2056000,23.8212,1.028147,0.538949,0.086720,13.349622
2057000,23.8212,1.028147,0.538949,0.086720,12.504115
2058000,23.8212,1.028147,0.538949,0.086720,13.680632
2059000,23.8212,1.028147,0.538949,0.086720,13.524251
2060000,23.8212,1.028147,0.538949,0.086720,13.245880
2061000,23.8212,1.028147,0.538949,0.086720,13.313205
2062000,23.8212,1.028147,0.538949,0.086720,13.451745
2063000,23.8212,1.028147,0.538949,0.086720,13.605888
2064000,23.8212,1.028147,0.538949,0.086720,12.770449
2065000,23.8212,1.028147,0.538949,0.086720,13.265121
2066000,23.8212,1.028147,0.538949,0.086720,13.722564
2067000,23.8212,1.028147,0.538949,0.086720,13.535863
2068000,23.8212,1.028147,0.538949,0.086720,13.334000
2069000,23.8212,1.028147,0.538949,0.086720,13.573331
2070000,23.8212,1.028147,0.538949,0.086720,13.146240
2071000,23.8212,1.028147,0.538949,0.086720,13.047014
2072000,23.8212,1.028147,0.538949,0.086720,13.618657
2073000,23.8212,1.028147,0.538949,0.086720,13.220592
2074000,23.8212,1.028147,0.538949,0.086720,13.456338
2075000,23.8212,1.028147,0.538949,0.086720,13.674094
2076000,23.8212,1.028147,0.538949,0.086720,13.319699
2077000,23.8212,1.028147,0.538949,0.086720,13.680069
2078000,23.8212,1.028147,0.538949,0.086720,13.487376
2079000,23.8212,1.028147,0.538949,0.086720,13.398520
2080000,23.8212,1.028147,0.538949,0.086720,13.580350
2081000,23.8212,1.028147,0.538949,0.086720,13.512392
2082000,23.8212,1.028147,0.538949,0.086720,13.576253
2083000,23.8212,1.028147,0.538949,0.086720,13.838933
2084000,23.8212,1.028147,0.538949,0.086720,13.799333
2085000,23.8212,1.028147,0.538949,0.086720,13.666976
2086000,23.8212,1.028147,0.538949,0.086720,13.584883
2087000,23.8212,1.028147,0.538949,0.086720,13.190274
2088000,23.8212,1.028147,0.538949,0.086720,13.761824
2089000,23.8212,1.028147,0.538949,0.086720,14.150900
2090000,23.8212,1.028147,0.538949,0.086720,14.023794
2091000,23.8212,1.028147,0.538949,0.086720,13.920948
2092000,23.8212,1.028147,0.538949,0.086720,13.781787
2093000,23.8212,1.028147,0.538949,0.086720,13.841203
2094000,23.8212,1.028147,0.538949,0.086720,14.072675
2095000,23.8212,1.028147,0.538949,0.086720,13.533388
2096000,23.8212,1.028147,0.538949,0.086720,13.749384
2097000,23.8212,1.028147,0.538949,0.086720,13.657111
2098000,23.8212,1.028147,0.538949,0.086720,14.234274
2099000,23.8212,1.028147,0.538949,0.086720,13.978372
2100000,23.8212,1.028147,0.538949,0.086720,13.745443
2101000,23.8212,1.028147,0.538949,0.086720,13.881395
2102000,23.8212,1.028147,0.538949,0.086720,13.760854
2103000,23.8212,1.028147,0.538949,0.086720,14.456746
2104000,23.8212,1.028147,0.538949,0.086720,13.776130
2105000,23.8212,1.028147,0.538949,0.086720,13.939781
2106000,23.8212,1.028147,0.538949,0.086720,14.304778
2107000,23.8212,1.028147,0.538949,0.086720,14.049497
2108000,23.8212,1.028147,0.538949,0.086720,14.318881
2109000,23.8212,1.028147,0.538949,0.086720,14.021461
2110000,23.8212,1.028147,0.538949,0.086720,14.292008
2111000,23.8212,1.028147,0.538949,0.086720,13.833308
2112000,23.8212,1.028147,0.538949,0.086720,14.173579
2113000,23.8212,1.028147,0.538949,0.086720,13.882444
2114000,23.8212,1.028147,0.538949,0.086720,13.688909
2115000,23.8212,1.028147,0.538949,0.086720,14.016968
2116000,23.8212,1.028147,0.538949,0.086720,13.799234
2117000,23.8212,1.028147,0.538949,0.086720,13.250852
2118000,23.8212,1.028147,0.538949,0.086720,13.655462
2119000,23.8212,1.028147,0.538949,0.086720,13.477857
2120000,23.8212,1.028147,0.538949,0.086720,12.788395
2121000,23.8212,1.028147,0.538949,0.086720,13.726045
2122000,23.8212,1.028147,0.538949,0.086720,13.498701
2123000,23.8212,1.028147,0.538949,0.086720,13.097590
2124000,23.8212,1.028147,0.538949,0.086720,13.599754
2125000,23.8212,1.028147,0.538949,0.086720,13.356433
2126000,23.8212,1.028147,0.538949,0.086720,12.932003
2127000,23.8212,1.028147,0.538949,0.086720,12.758617
2128000,23.8212,1.028147,0.538949,0.086720,13.863497
2129000,23.8212,1.028147,0.538949,0.086720,12.905911
2130000,23.8212,1.028147,0.538949,0.086720,12.771032
2131000,23.8212,1.028147,0.538949,0.086720,13.550240
2132000,23.8212,1.028147,0.538949,0.086720,12.690836
2133000,23.8212,1.028147,0.538949,0.086720,12.880373
2134000,23.8212,1.028147,0.538949,0.086720,13.445282
2135000,23.8212,1.028147,0.538949,0.086720,12.775137
2136000,23.8212,1.028147,0.538949,0.086720,12.907890
2137000,23.8212,1.028147,0.538949,0.086720,13.171037
2138000,23.8212,1.028147,0.538949,0.086720,12.329654
2139000,23.8212,1.028147,0.538949,0.086720,12.721808
2140000,23.8212,1.028147,0.538949,0.086720,12.841293
2141000,23.8212,1.028147,0.538949,0.086720,12.749367
2142000,23.8212,1.028147,0.538949,0.086720,12.604987
2143000,23.8212,1.028147,0.538949,0.086720,12.930420
2144000,23.8212,1.028147,0.538949,0.086720,12.437332
2145000,23.8212,1.028147,0.538949,0.086720,12.908291
2146000,23.8212,1.028147,0.538949,0.086720,13.169760
2147000,23.8212,1.028147,0.538949,0.086720,12.526629
2148000,23.8212,1.028147,0.538949,0.086720,12.748047
2149000,23.8212,1.028147,0.538949,0.086720,12.771397
2150000,23.8212,1.028147,0.538949,0.086720,13.405350
2151000,23.8212,1.028147,0.538949,0.086720,12.239836
2152000,23.8212,1.028147,0.538949,0.086720,12.880512
2153000,23.8212,1.028147,0.538949,0.086720,12.439646
2154000,23.8212,1.028147,0.538949,0.086720,12.730994
2155000,23.8212,1.028147,0.538949,0.086720,12.605515
2156000,23.8212,1.028147,0.538949,0.086720,12.586086
2157000,23.8212,1.028147,0.538949,0.086720,12.202966
2158000,23.8212,1.028147,0.538949,0.086720,12.126571
2159000,23.8212,1.028147,0.538949,0.086720,12.592285
2160000,23.8212,1.028147,0.538949,0.086720,12.306985
2161000,23.8212,1.028147,0.538949,0.086720,12.433731
2162000,23.8212,1.028147,0.538949,0.086720,13.180189
2163000,23.8212,1.028147,0.538949,0.086720,12.760395
2164000,23.8212,1.028147,0.538949,0.086720,12.597822
2165000,23.8212,1.028147,0.538949,0.086720,13.344680
2166000,23.8212,1.028147,0.538949,0.086720,12.730230
