Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
12000000,15.7031,5.502199,0.052647,0.006391,10.677782
12001000,15.7031,5.502199,0.052647,0.006391,11.403050
12002000,15.7031,5.502199,0.052647,0.006391,11.562284
12003000,15.7031,5.502199,0.052647,0.006391,10.899484
12004000,15.7031,5.502199,0.052647,0.006391,10.729652
12005000,15.7031,5.502199,0.052647,0.006391,10.843807
12006000,15.7031,5.502199,0.052647,0.006391,10.926646
12007000,15.7031,5.502199,0.052647,0.006391,10.713111
12008000,15.7031,5.502199,0.052647,0.006391,11.049389
12009000,15.7031,5.502199,0.052647,0.006391,11.378856
12010000,15.7031,5.502199,0.052647,0.006391,11.082128
12011000,15.7031,5.502199,0.052647,0.006391,11.206207
12012000,15.7031,5.502199,0.052647,0.006391,11.218795
12013000,15.7031,5.502199,0.052647,0.006391,11.005283
12014000,15.7031,5.502199,0.052647,0.006391,11.014930
12015000,15.7031,5.502199,0.052647,0.006391,12.042088
12016000,15.7031,5.502199,0.052647,0.006391,11.943939
12017000,15.7031,5.502199,0.052647,0.006391,10.845937
12018000,15.7031,5.502199,0.052647,0.006391,10.653135
12019000,15.7031,5.502199,0.052647,0.006391,11.000752
12020000,15.7031,5.502199,0.052647,0.006391,12.260899
12021000,15.7031,5.502199,0.052647,0.006391,12.858970
12022000,15.7031,5.502199,0.052647,0.006391,10.836095
12023000,15.7031,5.502199,0.052647,0.006391,10.551188
12024000,15.7031,5.502199,0.052647,0.006391,11.092954
12025000,15.7031,5.502199,0.052647,0.006391,11.934200
12026000,15.7031,5.502199,0.052647,0.006391,11.980374
12027000,15.7031,5.502199,0.052647,0.006391,11.223265
12028000,15.7031,5.502199,0.052647,0.006391,11.089938
12029000,15.7031,5.502199,0.052647,0.006391,11.378340
12030000,15.7031,5.502199,0.052647,0.006391,11.300949
12031000,15.7031,5.502199,0.052647,0.006391,11.041498
12032000,15.7031,5.502199,0.052647,0.006391,12.222875
12033000,15.7031,5.502199,0.052647,0.006391,11.767160
12034000,15.7031,5.502199,0.052647,0.006391,11.151745
12035000,15.7031,5.502199,0.052647,0.006391,10.921484
12036000,15.7031,5.502199,0.052647,0.006391,11.236456
12037000,15.7031,5.502199,0.052647,0.006391,11.660576
12038000,15.7031,5.502199,0.052647,0.006391,12.232144
12039000,15.7031,5.502199,0.052647,0.006391,11.650633
12040000,15.7031,5.502199,0.052647,0.006391,10.761614
12041000,15.7031,5.502199,0.052647,0.006391,11.203329
12042000,15.7031,5.502199,0.052647,0.006391,11.177965
12043000,15.7031,5.502199,0.052647,0.006391,11.882682
12044000,15.7031,5.502199,0.052647,0.006391,11.261031
12045000,15.7031,5.502199,0.052647,0.006391,10.853216
12046000,15.7031,5.502199,0.052647,0.006391,11.151340
12047000,15.7031,5.502199,0.052647,0.006391,11.300655
12048000,15.7031,5.502199,0.052647,0.006391,11.574947
12049000,15.7031,5.502199,0.052647,0.006391,11.357955
12050000,15.7031,5.502199,0.052647,0.006391,11.332927
12051000,15.7031,5.502199,0.052647,0.006391,11.332479
