Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
3000000,0.2191,0.065854,0.000377,0.000034,0.041670
3001000,0.2191,0.065854,0.000377,0.000034,0.042131
3002000,0.2191,0.065854,0.000377,0.000034,0.041533
3003000,0.2191,0.065854,0.000377,0.000034,0.042283
3004000,0.2191,0.065854,0.000377,0.000034,0.041397
3005000,0.2191,0.065854,0.000377,0.000034,0.041771
3006000,0.2191,0.065854,0.000377,0.000034,0.041955
3007000,0.2191,0.065854,0.000377,0.000034,0.041708
3008000,0.2191,0.065854,0.000377,0.000034,0.041836
3009000,0.2191,0.065854,0.000377,0.000034,0.041891
3010000,0.2191,0.065854,0.000377,0.000034,0.041908
3011000,0.2191,0.065854,0.000377,0.000034,0.041835
3012000,0.2191,0.065854,0.000377,0.000034,0.041830
3013000,0.2191,0.065854,0.000377,0.000034,0.041985
3014000,0.2191,0.065854,0.000377,0.000034,0.041541
3015000,0.2191,0.065854,0.000377,0.000034,0.042258
3016000,0.2191,0.065854,0.000377,0.000034,0.041549
3017000,0.2191,0.065854,0.000377,0.000034,0.041779
3018000,0.2191,0.065854,0.000377,0.000034,0.041404
3019000,0.2191,0.065854,0.000377,0.000034,0.042059
3020000,0.2191,0.065854,0.000377,0.000034,0.041973
3021000,0.2191,0.065854,0.000377,0.000034,0.041771
3022000,0.2191,0.065854,0.000377,0.000034,0.041557
3023000,0.2191,0.065854,0.000377,0.000034,0.041547
3024000,0.2191,0.065854,0.000377,0.000034,0.041476
3025000,0.2191,0.065854,0.000377,0.000034,0.041980
3026000,0.2191,0.065854,0.000377,0.000034,0.042050
3027000,0.2191,0.065854,0.000377,0.000034,0.041534
3028000,0.2191,0.065854,0.000377,0.000034,0.042049
3029000,0.2191,0.065854,0.000377,0.000034,0.041487
3030000,0.2191,0.065854,0.000377,0.000034,0.042193
3031000,0.2191,0.065854,0.000377,0.000034,0.041196
3032000,0.2191,0.065854,0.000377,0.000034,0.041836
3033000,0.2191,0.065854,0.000377,0.000034,0.041980
3034000,0.2191,0.065854,0.000377,0.000034,0.041476
3035000,0.2191,0.065854,0.000377,0.000034,0.041450
3036000,0.2191,0.065854,0.000377,0.000034,0.041379
3037000,0.2191,0.065854,0.000377,0.000034,0.041092
3038000,0.2191,0.065854,0.000377,0.000034,0.041099
3039000,0.2191,0.065854,0.000377,0.000034,0.040811
3040000,0.2191,0.065854,0.000377,0.000034,0.041307
3041000,0.2191,0.065854,0.000377,0.000034,0.041395
3042000,0.2191,0.065854,0.000377,0.000034,0.040730
3043000,0.2191,0.065854,0.000377,0.000034,0.041107
3044000,0.2191,0.065854,0.000377,0.000034,0.041234
3045000,0.2191,0.065854,0.000377,0.000034,0.041155
