Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000000,1.0570,0.187474,0.005507,0.000525,0.000563
2001000,1.0570,0.187474,0.005507,0.000525,0.000488
2002000,1.0570,0.187474,0.005507,0.000525,0.000569
2003000,1.0570,0.187474,0.005507,0.000525,0.000388
2004000,1.0570,0.187474,0.005507,0.000525,0.000663
2005000,1.0570,0.187474,0.005507,0.000525,0.000476
2006000,1.0570,0.187474,0.005507,0.000525,0.000576
2007000,1.0570,0.187474,0.005507,0.000525,0.000476
2008000,1.0570,0.187474,0.005507,0.000525,0.000669
2009000,1.0570,0.187474,0.005507,0.000525,0.000476
2010000,1.0570,0.187474,0.005507,0.000525,0.000482
2011000,1.0570,0.187474,0.005507,0.000525,0.000288
2012000,1.0570,0.187474,0.005507,0.000525,0.000294
2013000,1.0570,0.187474,0.005507,0.000525,0.000663
2014000,1.0570,0.187474,0.005507,0.000525,0.000488
2015000,1.0570,0.187474,0.005507,0.000525,0.000563
2016000,1.0570,0.187474,0.005507,0.000525,0.000845
2017000,1.0570,0.187474,0.005507,0.000525,0.000488
2018000,1.0570,0.187474,0.005507,0.000525,0.000569
2019000,1.0570,0.187474,0.005507,0.000525,0.000576
2020000,1.0570,0.187474,0.005507,0.000525,0.000751
2021000,1.0570,0.187474,0.005507,0.000525,0.000576
2022000,1.0570,0.187474,0.005507,0.000525,0.000476
2023000,1.0570,0.187474,0.005507,0.000525,0.000569
2024000,1.0570,0.187474,0.005507,0.000525,0.000669
2025000,1.0570,0.187474,0.005507,0.000525,0.000569
2026000,1.0570,0.187474,0.005507,0.000525,0.000482
2027000,1.0570,0.187474,0.005507,0.000525,0.000563
2028000,1.0570,0.187474,0.005507,0.000525,0.000488
2029000,1.0570,0.187474,0.005507,0.000525,0.000569
2030000,1.0570,0.187474,0.005507,0.000525,0.000482
2031000,1.0570,0.187474,0.005507,0.000525,0.000569
2032000,1.0570,0.187474,0.005507,0.000525,0.000657
2033000,1.0570,0.187474,0.005507,0.000525,0.000582
2034000,1.0570,0.187474,0.005507,0.000525,0.000476
2035000,1.0570,0.187474,0.005507,0.000525,0.000569
2036000,1.0570,0.187474,0.005507,0.000525,0.000669
2037000,1.0570,0.187474,0.005507,0.000525,0.000569
2038000,1.0570,0.187474,0.005507,0.000525,0.000663
2039000,1.0570,0.187474,0.005507,0.000525,0.000482
2040000,1.0570,0.187474,0.005507,0.000525,0.000569
2041000,1.0570,0.187474,0.005507,0.000525,0.000482
2042000,1.0570,0.187474,0.005507,0.000525,0.000569
2043000,1.0570,0.187474,0.005507,0.000525,0.000482
2044000,1.0570,0.187474,0.005507,0.000525,0.000663
2045000,1.0570,0.187474,0.005507,0.000525,0.000663
2046000,1.0570,0.187474,0.005507,0.000525,0.000663
2047000,1.0570,0.187474,0.005507,0.000525,0.000482
2048000,1.0570,0.187474,0.005507,0.000525,0.000294
2049000,1.0570,0.187474,0.005507,0.000525,0.000751
2050000,1.0570,0.187474,0.005507,0.000525,0.000576
2051000,1.0570,0.187474,0.005507,0.000525,0.000476
2052000,1.0570,0.187474,0.005507,0.000525,0.000488
2053000,1.0570,0.187474,0.005507,0.000525,0.000563
2054000,1.0570,0.187474,0.005507,0.000525,0.000669
2055000,1.0570,0.187474,0.005507,0.000525,0.000757
2056000,1.0570,0.187474,0.005507,0.000525,0.000482
2057000,1.0570,0.187474,0.005507,0.000525,0.000469
2058000,1.0570,0.187474,0.005507,0.000525,0.000576
2059000,1.0570,0.187474,0.005507,0.000525,0.000663
2060000,1.0570,0.187474,0.005507,0.000525,0.000476
2061000,1.0570,0.187474,0.005507,0.000525,0.000576
2062000,1.0570,0.187474,0.005507,0.000525,0.000569
2063000,1.0570,0.187474,0.005507,0.000525,0.000488
2064000,1.0570,0.187474,0.005507,0.000525,0.000469
2065000,1.0570,0.187474,0.005507,0.000525,0.000669
2066000,1.0570,0.187474,0.005507,0.000525,0.000476
2067000,1.0570,0.187474,0.005507,0.000525,0.000576
2068000,1.0570,0.187474,0.005507,0.000525,0.000751
2069000,1.0570,0.187474,0.005507,0.000525,0.000394
2070000,1.0570,0.187474,0.005507,0.000525,0.000751
2071000,1.0570,0.187474,0.005507,0.000525,0.000576
2072000,1.0570,0.187474,0.005507,0.000525,0.000482
2073000,1.0570,0.187474,0.005507,0.000525,0.000657
2074000,1.0570,0.187474,0.005507,0.000525,0.000576
2075000,1.0570,0.187474,0.005507,0.000525,0.000569
2076000,1.0570,0.187474,0.005507,0.000525,0.000482
2077000,1.0570,0.187474,0.005507,0.000525,0.000657
2078000,1.0570,0.187474,0.005507,0.000525,0.000394
2079000,1.0570,0.187474,0.005507,0.000525,0.000657
2080000,1.0570,0.187474,0.005507,0.000525,0.000582
2081000,1.0570,0.187474,0.005507,0.000525,0.000657
2082000,1.0570,0.187474,0.005507,0.000525,0.000576
2083000,1.0570,0.187474,0.005507,0.000525,0.000476
2084000,1.0570,0.187474,0.005507,0.000525,0.000388
2085000,1.0570,0.187474,0.005507,0.000525,0.000388
2086000,1.0570,0.187474,0.005507,0.000525,0.000663
2087000,1.0570,0.187474,0.005507,0.000525,0.000663
2088000,1.0570,0.187474,0.005507,0.000525,0.000482
2089000,1.0570,0.187474,0.005507,0.000525,0.000569
2090000,1.0570,0.187474,0.005507,0.000525,0.000388
2091000,1.0570,0.187474,0.005507,0.000525,0.000569
2092000,1.0570,0.187474,0.005507,0.000525,0.000469
2093000,1.0570,0.187474,0.005507,0.000525,0.000382
2094000,1.0570,0.187474,0.005507,0.000525,0.000288
2095000,1.0570,0.187474,0.005507,0.000525,0.000476
2096000,1.0570,0.187474,0.005507,0.000525,0.000288
2097000,1.0570,0.187474,0.005507,0.000525,0.000476
2098000,1.0570,0.187474,0.005507,0.000525,0.000288
2099000,1.0570,0.187474,0.005507,0.000525,0.000469
2100000,1.0570,0.187474,0.005507,0.000525,0.000382
2101000,1.0570,0.187474,0.005507,0.000525,0.000382
