Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
3000000,1.3415,0.039994,0.023482,0.002970,0.193652
3001000,1.3415,0.039994,0.023482,0.002970,0.194170
3002000,1.3415,0.039994,0.023482,0.002970,0.194002
3003000,1.3415,0.039994,0.023482,0.002970,0.194056
3004000,1.3415,0.039994,0.023482,0.002970,0.194026
3005000,1.3415,0.039994,0.023482,0.002970,0.194140
3006000,1.3415,0.039994,0.023482,0.002970,0.193828
3007000,1.3415,0.039994,0.023482,0.002970,0.194017
3008000,1.3415,0.039994,0.023482,0.002970,0.194040
3009000,1.3415,0.039994,0.023482,0.002970,0.194132
3010000,1.3415,0.039994,0.023482,0.002970,0.194393
3011000,1.3415,0.039994,0.023482,0.002970,0.193742
3012000,1.3415,0.039994,0.023482,0.002970,0.194613
3013000,1.3415,0.039994,0.023482,0.002970,0.193766
3014000,1.3415,0.039994,0.023482,0.002970,0.194186
3015000,1.3415,0.039994,0.023482,0.002970,0.193872
3016000,1.3415,0.039994,0.023482,0.002970,0.194223
3017000,1.3415,0.039994,0.023482,0.002970,0.193812
3018000,1.3415,0.039994,0.023482,0.002970,0.194132
3019000,1.3415,0.039994,0.023482,0.002970,0.193872
3020000,1.3415,0.039994,0.023482,0.002970,0.193842
3021000,1.3415,0.039994,0.023482,0.002970,0.194353
3022000,1.3415,0.039994,0.023482,0.002970,0.194058
3023000,1.3415,0.039994,0.023482,0.002970,0.193787
3024000,1.3415,0.039994,0.023482,0.002970,0.193842
3025000,1.3415,0.039994,0.023482,0.002970,0.194109
3026000,1.3415,0.039994,0.023482,0.002970,0.194239
3027000,1.3415,0.039994,0.023482,0.002970,0.194033
3028000,1.3415,0.039994,0.023482,0.002970,0.193872
3029000,1.3415,0.039994,0.023482,0.002970,0.193742
3030000,1.3415,0.039994,0.023482,0.002970,0.193972
3031000,1.3415,0.039994,0.023482,0.002970,0.194453
3032000,1.3415,0.039994,0.023482,0.002970,0.193445
3033000,1.3415,0.039994,0.023482,0.002970,0.194216
3034000,1.3415,0.039994,0.023482,0.002970,0.193712
3035000,1.3415,0.039994,0.023482,0.002970,0.193803
3036000,1.3415,0.039994,0.023482,0.002970,0.193529
3037000,1.3415,0.039994,0.023482,0.002970,0.193559
3038000,1.3415,0.039994,0.023482,0.002970,0.193668
3039000,1.3415,0.039994,0.023482,0.002970,0.193299
3040000,1.3415,0.039994,0.023482,0.002970,0.193375
3041000,1.3415,0.039994,0.023482,0.002970,0.193468
3042000,1.3415,0.039994,0.023482,0.002970,0.193415
3043000,1.3415,0.039994,0.023482,0.002970,0.193315
3044000,1.3415,0.039994,0.023482,0.002970,0.193415
3045000,1.3415,0.039994,0.023482,0.002970,0.193529
