Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000000,0.0324,0.013523,0.002678,0.000431,0.001528
2001000,0.0324,0.013523,0.002678,0.000431,0.001998
2002000,0.0324,0.013523,0.002678,0.000431,0.001645
2003000,0.0324,0.013523,0.002678,0.000431,0.001410
2004000,0.0324,0.013523,0.002678,0.000431,0.001763
2005000,0.0324,0.013523,0.002678,0.000431,0.001528
2006000,0.0324,0.013523,0.002678,0.000431,0.001763
2007000,0.0324,0.013523,0.002678,0.000431,0.001645
2008000,0.0324,0.013523,0.002678,0.000431,0.001763
2009000,0.0324,0.013523,0.002678,0.000431,0.001410
2010000,0.0324,0.013523,0.002678,0.000431,0.001880
2011000,0.0324,0.013523,0.002678,0.000431,0.001410
2012000,0.0324,0.013523,0.002678,0.000431,0.001880
2013000,0.0324,0.013523,0.002678,0.000431,0.001645
2014000,0.0324,0.013523,0.002678,0.000431,0.001645
2015000,0.0324,0.013523,0.002678,0.000431,0.001410
2016000,0.0324,0.013523,0.002678,0.000431,0.001528
2017000,0.0324,0.013523,0.002678,0.000431,0.001880
2018000,0.0324,0.013523,0.002678,0.000431,0.001410
2019000,0.0324,0.013523,0.002678,0.000431,0.001880
2020000,0.0324,0.013523,0.002678,0.000431,0.002116
2021000,0.0324,0.013523,0.002678,0.000431,0.001645
2022000,0.0324,0.013523,0.002678,0.000431,0.001880
2023000,0.0324,0.013523,0.002678,0.000431,0.001645
2024000,0.0324,0.013523,0.002678,0.000431,0.001880
2025000,0.0324,0.013523,0.002678,0.000431,0.001998
2026000,0.0324,0.013523,0.002678,0.000431,0.001645
2027000,0.0324,0.013523,0.002678,0.000431,0.001410
2028000,0.0324,0.013523,0.002678,0.000431,0.001998
2029000,0.0324,0.013523,0.002678,0.000431,0.001998
2030000,0.0324,0.013523,0.002678,0.000431,0.001175
2031000,0.0324,0.013523,0.002678,0.000431,0.001998
2032000,0.0324,0.013523,0.002678,0.000431,0.001645
2033000,0.0324,0.013523,0.002678,0.000431,0.001645
2034000,0.0324,0.013523,0.002678,0.000431,0.001763
2035000,0.0324,0.013523,0.002678,0.000431,0.001528
2036000,0.0324,0.013523,0.002678,0.000431,0.001763
2037000,0.0324,0.013523,0.002678,0.000431,0.001763
