Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
23000000,23.8212,1.028147,0.538949,0.086720,0.498632
23001000,23.8212,1.028147,0.538949,0.086720,0.324078
23002000,23.8212,1.028147,0.538949,0.086720,0.388207
23003000,23.8212,1.028147,0.538949,0.086720,0.395981
23004000,23.8212,1.028147,0.538949,0.086720,0.589018
23005000,23.8212,1.028147,0.538949,0.086720,0.239673
23006000,23.8212,1.028147,0.538949,0.086720,0.272528
23007000,23.8212,1.028147,0.538949,0.086720,0.427575
23008000,23.8212,1.028147,0.538949,0.086720,0.519680
23009000,23.8212,1.028147,0.538949,0.086720,0.113811
23010000,23.8212,1.028147,0.538949,0.086720,0.319730
23011000,23.8212,1.028147,0.538949,0.086720,0.731822
23012000,23.8212,1.028147,0.538949,0.086720,0.468264
23013000,23.8212,1.028147,0.538949,0.086720,0.398002
23014000,23.8212,1.028147,0.538949,0.086720,0.279494
23015000,23.8212,1.028147,0.538949,0.086720,0.296073
23016000,23.8212,1.028147,0.538949,0.086720,0.113540
23017000,23.8212,1.028147,0.538949,0.086720,0.381403
23018000,23.8212,1.028147,0.538949,0.086720,0.433449
23019000,23.8212,1.028147,0.538949,0.086720,0.458442
23020000,23.8212,1.028147,0.538949,0.086720,0.347653
23021000,23.8212,1.028147,0.538949,0.086720,0.308269
23022000,23.8212,1.028147,0.538949,0.086720,0.174121
23023000,23.8212,1.028147,0.538949,0.086720,0.233177
23024000,23.8212,1.028147,0.538949,0.086720,0.371657
23025000,23.8212,1.028147,0.538949,0.086720,0.259625
23026000,23.8212,1.028147,0.538949,0.086720,0.406128
23027000,23.8212,1.028147,0.538949,0.086720,0.464224
23028000,23.8212,1.028147,0.538949,0.086720,0.433198
23029000,23.8212,1.028147,0.538949,0.086720,0.347714
23030000,23.8212,1.028147,0.538949,0.086720,0.508449
23031000,23.8212,1.028147,0.538949,0.086720,0.185202
23032000,23.8212,1.028147,0.538949,0.086720,0.398448
23033000,23.8212,1.028147,0.538949,0.086720,0.325398
23034000,23.8212,1.028147,0.538949,0.086720,0.226968
23035000,23.8212,1.028147,0.538949,0.086720,0.134452
23036000,23.8212,1.028147,0.538949,0.086720,0.221334
23037000,23.8212,1.028147,0.538949,0.086720,0.407935
23038000,23.8212,1.028147,0.538949,0.086720,0.785434
23039000,23.8212,1.028147,0.538949,0.086720,0.434351
23040000,23.8212,1.028147,0.538949,0.086720,0.245364
23041000,23.8212,1.028147,0.538949,0.086720,0.258154
23042000,23.8212,1.028147,0.538949,0.086720,0.131640
23043000,23.8212,1.028147,0.538949,0.086720,0.382347
23044000,23.8212,1.028147,0.538949,0.086720,0.465557
23045000,23.8212,1.028147,0.538949,0.086720,0.387171
23046000,23.8212,1.028147,0.538949,0.086720,0.547056
23047000,23.8212,1.028147,0.538949,0.086720,0.135166
23048000,23.8212,1.028147,0.538949,0.086720,0.223743
23049000,23.8212,1.028147,0.538949,0.086720,0.289060
23050000,23.8212,1.028147,0.538949,0.086720,0.365186
23051000,23.8212,1.028147,0.538949,0.086720,0.251465
23052000,23.8212,1.028147,0.538949,0.086720,0.771073
23053000,23.8212,1.028147,0.538949,0.086720,0.255291
23054000,23.8212,1.028147,0.538949,0.086720,0.221463
23055000,23.8212,1.028147,0.538949,0.086720,0.649429
23056000,23.8212,1.028147,0.538949,0.086720,0.397683
23057000,23.8212,1.028147,0.538949,0.086720,0.355666
23058000,23.8212,1.028147,0.538949,0.086720,0.259077
23059000,23.8212,1.028147,0.538949,0.086720,0.359210
23060000,23.8212,1.028147,0.538949,0.086720,0.430650
23061000,23.8212,1.028147,0.538949,0.086720,0.123654
23062000,23.8212,1.028147,0.538949,0.086720,0.253847
23063000,23.8212,1.028147,0.538949,0.086720,0.119528
23064000,23.8212,1.028147,0.538949,0.086720,0.138509
23065000,23.8212,1.028147,0.538949,0.086720,0.501203
23066000,23.8212,1.028147,0.538949,0.086720,0.144502
23067000,23.8212,1.028147,0.538949,0.086720,0.233352
23068000,23.8212,1.028147,0.538949,0.086720,0.164065
23069000,23.8212,1.028147,0.538949,0.086720,0.461573
23070000,23.8212,1.028147,0.538949,0.086720,0.197361
23071000,23.8212,1.028147,0.538949,0.086720,0.412072
23072000,23.8212,1.028147,0.538949,0.086720,0.552996
23073000,23.8212,1.028147,0.538949,0.086720,0.312764
23074000,23.8212,1.028147,0.538949,0.086720,0.104569
23075000,23.8212,1.028147,0.538949,0.086720,0.221575
23076000,23.8212,1.028147,0.538949,0.086720,0.183649
23077000,23.8212,1.028147,0.538949,0.086720,0.311873
23078000,23.8212,1.028147,0.538949,0.086720,0.622130
23079000,23.8212,1.028147,0.538949,0.086720,0.313956
23080000,23.8212,1.028147,0.538949,0.086720,0.073850
23081000,23.8212,1.028147,0.538949,0.086720,0.388921
23082000,23.8212,1.028147,0.538949,0.086720,0.301016
23083000,23.8212,1.028147,0.538949,0.086720,0.185260
23084000,23.8212,1.028147,0.538949,0.086720,0.243440
23085000,23.8212,1.028147,0.538949,0.086720,0.250669
23086000,23.8212,1.028147,0.538949,0.086720,0.235242
23087000,23.8212,1.028147,0.538949,0.086720,0.159576
23088000,23.8212,1.028147,0.538949,0.086720,0.627481
23089000,23.8212,1.028147,0.538949,0.086720,0.702625
23090000,23.8212,1.028147,0.538949,0.086720,0.218082
23091000,23.8212,1.028147,0.538949,0.086720,0.353924
23092000,23.8212,1.028147,0.538949,0.086720,0.416906
23093000,23.8212,1.028147,0.538949,0.086720,0.172130
23094000,23.8212,1.028147,0.538949,0.086720,0.586629
23095000,23.8212,1.028147,0.538949,0.086720,0.290974
23096000,23.8212,1.028147,0.538949,0.086720,0.129722
23097000,23.8212,1.028147,0.538949,0.086720,0.206308
23098000,23.8212,1.028147,0.538949,0.086720,0.324168
23099000,23.8212,1.028147,0.538949,0.086720,0.095339
23100000,23.8212,1.028147,0.538949,0.086720,0.116762
23101000,23.8212,1.028147,0.538949,0.086720,0.484158
23102000,23.8212,1.028147,0.538949,0.086720,0.124558
23103000,23.8212,1.028147,0.538949,0.086720,0.192596
23104000,23.8212,1.028147,0.538949,0.086720,0.344590
23105000,23.8212,1.028147,0.538949,0.086720,0.129137
23106000,23.8212,1.028147,0.538949,0.086720,0.192522
23107000,23.8212,1.028147,0.538949,0.086720,0.663876
23108000,23.8212,1.028147,0.538949,0.086720,0.288865
23109000,23.8212,1.028147,0.538949,0.086720,0.465031
23110000,23.8212,1.028147,0.538949,0.086720,0.413141
23111000,23.8212,1.028147,0.538949,0.086720,0.325928
23112000,23.8212,1.028147,0.538949,0.086720,0.101798
23113000,23.8212,1.028147,0.538949,0.086720,0.386290
23114000,23.8212,1.028147,0.538949,0.086720,0.564162
23115000,23.8212,1.028147,0.538949,0.086720,0.461165
23116000,23.8212,1.028147,0.538949,0.086720,0.208046
23117000,23.8212,1.028147,0.538949,0.086720,0.502150
23118000,23.8212,1.028147,0.538949,0.086720,0.456835
23119000,23.8212,1.028147,0.538949,0.086720,0.075763
23120000,23.8212,1.028147,0.538949,0.086720,0.356313
23121000,23.8212,1.028147,0.538949,0.086720,0.256807
23122000,23.8212,1.028147,0.538949,0.086720,0.163464
23123000,23.8212,1.028147,0.538949,0.086720,0.401926
23124000,23.8212,1.028147,0.538949,0.086720,0.404872
23125000,23.8212,1.028147,0.538949,0.086720,0.215023
23126000,23.8212,1.028147,0.538949,0.086720,0.294267
23127000,23.8212,1.028147,0.538949,0.086720,0.160733
23128000,23.8212,1.028147,0.538949,0.086720,0.314607
23129000,23.8212,1.028147,0.538949,0.086720,0.234479
23130000,23.8212,1.028147,0.538949,0.086720,0.242082
23131000,23.8212,1.028147,0.538949,0.086720,0.211322
23132000,23.8212,1.028147,0.538949,0.086720,0.265060
23133000,23.8212,1.028147,0.538949,0.086720,0.147276
23134000,23.8212,1.028147,0.538949,0.086720,0.342268
23135000,23.8212,1.028147,0.538949,0.086720,0.393266
23136000,23.8212,1.028147,0.538949,0.086720,0.374499
23137000,23.8212,1.028147,0.538949,0.086720,0.183173
23138000,23.8212,1.028147,0.538949,0.086720,0.206775
23139000,23.8212,1.028147,0.538949,0.086720,0.129247
23140000,23.8212,1.028147,0.538949,0.086720,0.184846
23141000,23.8212,1.028147,0.538949,0.086720,0.632407
23142000,23.8212,1.028147,0.538949,0.086720,0.458139
23143000,23.8212,1.028147,0.538949,0.086720,0.405353
23144000,23.8212,1.028147,0.538949,0.086720,0.070947
23145000,23.8212,1.028147,0.538949,0.086720,0.252405
23146000,23.8212,1.028147,0.538949,0.086720,0.179004
23147000,23.8212,1.028147,0.538949,0.086720,0.281297
23148000,23.8212,1.028147,0.538949,0.086720,0.322987
23149000,23.8212,1.028147,0.538949,0.086720,0.357096
23150000,23.8212,1.028147,0.538949,0.086720,0.210462
23151000,23.8212,1.028147,0.538949,0.086720,0.213289
23152000,23.8212,1.028147,0.538949,0.086720,0.296688
23153000,23.8212,1.028147,0.538949,0.086720,0.134797
23154000,23.8212,1.028147,0.538949,0.086720,0.620930
23155000,23.8212,1.028147,0.538949,0.086720,0.090385
23156000,23.8212,1.028147,0.538949,0.086720,0.326553
23157000,23.8212,1.028147,0.538949,0.086720,0.266291
23158000,23.8212,1.028147,0.538949,0.086720,0.260695
23159000,23.8212,1.028147,0.538949,0.086720,0.182258
23160000,23.8212,1.028147,0.538949,0.086720,0.300246
23161000,23.8212,1.028147,0.538949,0.086720,0.390958
23162000,23.8212,1.028147,0.538949,0.086720,0.527632
23163000,23.8212,1.028147,0.538949,0.086720,0.242132
23164000,23.8212,1.028147,0.538949,0.086720,0.111795
23165000,23.8212,1.028147,0.538949,0.086720,0.373309
23166000,23.8212,1.028147,0.538949,0.086720,0.188103
23167000,23.8212,1.028147,0.538949,0.086720,0.548782
23168000,23.8212,1.028147,0.538949,0.086720,0.232349
23169000,23.8212,1.028147,0.538949,0.086720,0.345042
23170000,23.8212,1.028147,0.538949,0.086720,0.154037
23171000,23.8212,1.028147,0.538949,0.086720,0.121196
23172000,23.8212,1.028147,0.538949,0.086720,0.402099
23173000,23.8212,1.028147,0.538949,0.086720,0.359783
23174000,23.8212,1.028147,0.538949,0.086720,0.245184
23175000,23.8212,1.028147,0.538949,0.086720,0.267816
23176000,23.8212,1.028147,0.538949,0.086720,0.412593
23177000,23.8212,1.028147,0.538949,0.086720,0.337993
23178000,23.8212,1.028147,0.538949,0.086720,0.494658
23179000,23.8212,1.028147,0.538949,0.086720,0.284723
23180000,23.8212,1.028147,0.538949,0.086720,0.178161
23181000,23.8212,1.028147,0.538949,0.086720,0.188434
23182000,23.8212,1.028147,0.538949,0.086720,0.170864
23183000,23.8212,1.028147,0.538949,0.086720,0.130008
23184000,23.8212,1.028147,0.538949,0.086720,0.334306
23185000,23.8212,1.028147,0.538949,0.086720,0.259311
23186000,23.8212,1.028147,0.538949,0.086720,0.478317
23187000,23.8212,1.028147,0.538949,0.086720,0.100407
23188000,23.8212,1.028147,0.538949,0.086720,0.347842
23189000,23.8212,1.028147,0.538949,0.086720,0.211436
23190000,23.8212,1.028147,0.538949,0.086720,0.131604
23191000,23.8212,1.028147,0.538949,0.086720,0.117828
23192000,23.8212,1.028147,0.538949,0.086720,0.420972
23193000,23.8212,1.028147,0.538949,0.086720,0.482925
23194000,23.8212,1.028147,0.538949,0.086720,0.461640
23195000,23.8212,1.028147,0.538949,0.086720,0.221308
23196000,23.8212,1.028147,0.538949,0.086720,0.101725
23197000,23.8212,1.028147,0.538949,0.086720,0.422705
23198000,23.8212,1.028147,0.538949,0.086720,0.417665
23199000,23.8212,1.028147,0.538949,0.086720,0.670651
23200000,23.8212,1.028147,0.538949,0.086720,0.702814
23201000,23.8212,1.028147,0.538949,0.086720,0.492438
23202000,23.8212,1.028147,0.538949,0.086720,0.141183
23203000,23.8212,1.028147,0.538949,0.086720,0.252387
23204000,23.8212,1.028147,0.538949,0.086720,0.164445
23205000,23.8212,1.028147,0.538949,0.086720,0.337895
23206000,23.8212,1.028147,0.538949,0.086720,0.621220
23207000,23.8212,1.028147,0.538949,0.086720,0.251322
23208000,23.8212,1.028147,0.538949,0.086720,0.216887
23209000,23.8212,1.028147,0.538949,0.086720,0.086707
23210000,23.8212,1.028147,0.538949,0.086720,0.151628
23211000,23.8212,1.028147,0.538949,0.086720,0.246445
23212000,23.8212,1.028147,0.538949,0.086720,0.287611
23213000,23.8212,1.028147,0.538949,0.086720,0.246476
23214000,23.8212,1.028147,0.538949,0.086720,0.547976
23215000,23.8212,1.028147,0.538949,0.086720,0.418589
23216000,23.8212,1.028147,0.538949,0.086720,0.137581
23217000,23.8212,1.028147,0.538949,0.086720,0.315446
23218000,23.8212,1.028147,0.538949,0.086720,0.198611
23219000,23.8212,1.028147,0.538949,0.086720,0.552728
23220000,23.8212,1.028147,0.538949,0.086720,0.272930
23221000,23.8212,1.028147,0.538949,0.086720,0.107932
23222000,23.8212,1.028147,0.538949,0.086720,0.209939
23223000,23.8212,1.028147,0.538949,0.086720,0.453119
23224000,23.8212,1.028147,0.538949,0.086720,0.233422
23225000,23.8212,1.028147,0.538949,0.086720,0.305711
23226000,23.8212,1.028147,0.538949,0.086720,0.345045
23227000,23.8212,1.028147,0.538949,0.086720,0.204128
23228000,23.8212,1.028147,0.538949,0.086720,0.411611
23229000,23.8212,1.028147,0.538949,0.086720,0.170279
23230000,23.8212,1.028147,0.538949,0.086720,0.192377
23231000,23.8212,1.028147,0.538949,0.086720,0.191010
23232000,23.8212,1.028147,0.538949,0.086720,0.415458
23233000,23.8212,1.028147,0.538949,0.086720,0.455683
23234000,23.8212,1.028147,0.538949,0.086720,0.384803
23235000,23.8212,1.028147,0.538949,0.086720,0.145735
23236000,23.8212,1.028147,0.538949,0.086720,0.450853
23237000,23.8212,1.028147,0.538949,0.086720,0.391328
23238000,23.8212,1.028147,0.538949,0.086720,0.278532
23239000,23.8212,1.028147,0.538949,0.086720,0.556852
23240000,23.8212,1.028147,0.538949,0.086720,0.192967
23241000,23.8212,1.028147,0.538949,0.086720,0.099295
23242000,23.8212,1.028147,0.538949,0.086720,0.302554
23243000,23.8212,1.028147,0.538949,0.086720,0.399787
23244000,23.8212,1.028147,0.538949,0.086720,0.522229
23245000,23.8212,1.028147,0.538949,0.086720,0.177594
23246000,23.8212,1.028147,0.538949,0.086720,0.209490
23247000,23.8212,1.028147,0.538949,0.086720,0.168237
23248000,23.8212,1.028147,0.538949,0.086720,0.197596
23249000,23.8212,1.028147,0.538949,0.086720,0.401922
23250000,23.8212,1.028147,0.538949,0.086720,0.239781
23251000,23.8212,1.028147,0.538949,0.086720,0.405108
23252000,23.8212,1.028147,0.538949,0.086720,0.383140
23253000,23.8212,1.028147,0.538949,0.086720,0.409008
23254000,23.8212,1.028147,0.538949,0.086720,0.242548
23255000,23.8212,1.028147,0.538949,0.086720,0.497321
23256000,23.8212,1.028147,0.538949,0.086720,0.256290
23257000,23.8212,1.028147,0.538949,0.086720,0.202709
23258000,23.8212,1.028147,0.538949,0.086720,0.304204
23259000,23.8212,1.028147,0.538949,0.086720,0.270645
23260000,23.8212,1.028147,0.538949,0.086720,0.110870
23261000,23.8212,1.028147,0.538949,0.086720,0.334052
23262000,23.8212,1.028147,0.538949,0.086720,0.329073
23263000,23.8212,1.028147,0.538949,0.086720,0.126505
23264000,23.8212,1.028147,0.538949,0.086720,0.397467
23265000,23.8212,1.028147,0.538949,0.086720,0.372713
23266000,23.8212,1.028147,0.538949,0.086720,0.186399
23267000,23.8212,1.028147,0.538949,0.086720,0.239040
23268000,23.8212,1.028147,0.538949,0.086720,0.603045
23269000,23.8212,1.028147,0.538949,0.086720,0.348420
23270000,23.8212,1.028147,0.538949,0.086720,0.264053
23271000,23.8212,1.028147,0.538949,0.086720,0.254472
23272000,23.8212,1.028147,0.538949,0.086720,0.590150
23273000,23.8212,1.028147,0.538949,0.086720,0.433110
23274000,23.8212,1.028147,0.538949,0.086720,0.200696
23275000,23.8212,1.028147,0.538949,0.086720,0.328574
23276000,23.8212,1.028147,0.538949,0.086720,0.123451
23277000,23.8212,1.028147,0.538949,0.086720,0.514673
23278000,23.8212,1.028147,0.538949,0.086720,0.441820
23279000,23.8212,1.028147,0.538949,0.086720,0.187526
23280000,23.8212,1.028147,0.538949,0.086720,0.235812
23281000,23.8212,1.028147,0.538949,0.086720,0.480254
23282000,23.8212,1.028147,0.538949,0.086720,0.143678
23283000,23.8212,1.028147,0.538949,0.086720,0.490390
23284000,23.8212,1.028147,0.538949,0.086720,0.506433
23285000,23.8212,1.028147,0.538949,0.086720,0.610508
23286000,23.8212,1.028147,0.538949,0.086720,0.578888
23287000,23.8212,1.028147,0.538949,0.086720,0.445145
23288000,23.8212,1.028147,0.538949,0.086720,0.482743
23289000,23.8212,1.028147,0.538949,0.086720,0.129476
23290000,23.8212,1.028147,0.538949,0.086720,0.257317
