kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
GRU_L2_100_K1.1.sm_75.ptx 221 : 128 770 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 220 : 128 1620 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 219 : 128 768 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 218 : 128 768 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 217 : 128 9409 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 216 : 128 1066 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 215 : 128 2288 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 214 : 128 8055 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 213 : 128 14436 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 212 : 128 16381 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 211 : 128 87827 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 210 : 128 33179 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 209 : 128 3506 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 208 : 128 1157 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 191 : 128 648 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 231 : 65536 129452768 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 230 : 65536 809322464 0 0 0 65536 2048 0 0 
GRU_L2_100_K1.1.sm_75.ptx 229 : 65536 10351392 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 228 : 65536 62930144 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 227 : 65536 10099328 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 226 : 65536 94544064 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 225 : 65536 1165308192 32 0 0 65536 2048 0 0 
GRU_L2_100_K1.1.sm_75.ptx 224 : 65536 2081152 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 205 : 65408 10038502 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 204 : 65408 3552982 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 203 : 65408 3128061 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 202 : 65408 15317376 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 201 : 65408 6631805 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 200 : 65408 12575351 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 199 : 65408 9125675 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 198 : 65408 13216422 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 197 : 65408 4228765 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 196 : 65408 2490678 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 195 : 65408 3165088 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 194 : 65408 6194283 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 190 : 65536 8417190 0 0 0 0 0 0 128 
GRU_L2_100_K1.1.sm_75.ptx 189 : 65536 4951552 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 188 : 65536 45186144 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 187 : 65536 52572160 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 186 : 65536 950649664 0 0 0 65536 2048 0 0 
GRU_L2_100_K1.1.sm_75.ptx 185 : 65536 60235424 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 184 : 65536 47083968 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 183 : 65536 797237728 0 0 0 65536 2048 0 0 
GRU_L2_100_K1.1.sm_75.ptx 182 : 65536 61550528 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 181 : 65536 572341888 0 0 0 2048 2048 0 0 
GRU_L2_100_K1.1.sm_75.ptx 179 : 1638400 60760224 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 178 : 1638400 71608288 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 95 : 1638400 105588480 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 94 : 1638400 83787968 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 93 : 1638400 78196928 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 92 : 1638400 149034944 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 91 : 1638400 387165984 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 90 : 1638400 3014403040 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 89 : 1638400 3283657152 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 88 : 1638400 15416089568 60704 0 0 1638400 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 87 : 1638400 2753683616 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 86 : 1638400 14151087968 0 0 0 51200 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 85 : 1638400 17308371008 101984 0 0 1638400 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 84 : 1638400 3353622816 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 83 : 1638400 15629033632 60736 0 0 1638400 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 82 : 1638400 2712962336 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 81 : 1638400 12937998816 0 0 0 51200 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 80 : 1638400 17065127136 293376 0 0 1638400 51200 0 0 
GRU_L2_100_K1.1.sm_75.ptx 79 : 1638400 3344199616 0 0 0 0 0 0 0 
GRU_L2_100_K1.1.sm_75.ptx 78 : 1638400 14164677280 60608 0 0 1638400 51200 0 0 
