Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
21000000,1.3415,0.039994,0.023482,0.002970,0.002020
21001000,1.3415,0.039994,0.023482,0.002970,0.000458
21002000,1.3415,0.039994,0.023482,0.002970,0.001044
21003000,1.3415,0.039994,0.023482,0.002970,0.000573
21004000,1.3415,0.039994,0.023482,0.002970,0.001261
21005000,1.3415,0.039994,0.023482,0.002970,0.000623
21006000,1.3415,0.039994,0.023482,0.002970,0.000700
21007000,1.3415,0.039994,0.023482,0.002970,0.000737
21008000,1.3415,0.039994,0.023482,0.002970,0.001370
21009000,1.3415,0.039994,0.023482,0.002970,0.001421
21010000,1.3415,0.039994,0.023482,0.002970,0.001957
21011000,1.3415,0.039994,0.023482,0.002970,0.000543
21012000,1.3415,0.039994,0.023482,0.002970,0.000713
21013000,1.3415,0.039994,0.023482,0.002970,0.000899
21014000,1.3415,0.039994,0.023482,0.002970,0.000848
21015000,1.3415,0.039994,0.023482,0.002970,0.002948
21016000,1.3415,0.039994,0.023482,0.002970,0.001580
21017000,1.3415,0.039994,0.023482,0.002970,0.001591
21018000,1.3415,0.039994,0.023482,0.002970,0.001982
21019000,1.3415,0.039994,0.023482,0.002970,0.000873
21020000,1.3415,0.039994,0.023482,0.002970,0.000449
21021000,1.3415,0.039994,0.023482,0.002970,0.000411
21022000,1.3415,0.039994,0.023482,0.002970,0.001049
21023000,1.3415,0.039994,0.023482,0.002970,0.000787
21024000,1.3415,0.039994,0.023482,0.002970,0.001548
21025000,1.3415,0.039994,0.023482,0.002970,0.001024
21026000,1.3415,0.039994,0.023482,0.002970,0.001550
21027000,1.3415,0.039994,0.023482,0.002970,0.000000
21028000,1.3415,0.039994,0.023482,0.002970,0.001199
21029000,1.3415,0.039994,0.023482,0.002970,0.001200
21030000,1.3415,0.039994,0.023482,0.002970,0.000684
21031000,1.3415,0.039994,0.023482,0.002970,0.001347
21032000,1.3415,0.039994,0.023482,0.002970,0.002659
21033000,1.3415,0.039994,0.023482,0.002970,0.000356
21034000,1.3415,0.039994,0.023482,0.002970,0.000880
21035000,1.3415,0.039994,0.023482,0.002970,0.002205
21036000,1.3415,0.039994,0.023482,0.002970,0.000737
21037000,1.3415,0.039994,0.023482,0.002970,0.001295
21038000,1.3415,0.039994,0.023482,0.002970,0.000695
21039000,1.3415,0.039994,0.023482,0.002970,0.000648
21040000,1.3415,0.039994,0.023482,0.002970,0.000627
21041000,1.3415,0.039994,0.023482,0.002970,0.000736
21042000,1.3415,0.039994,0.023482,0.002970,0.002041
21043000,1.3415,0.039994,0.023482,0.002970,0.000896
21044000,1.3415,0.039994,0.023482,0.002970,0.001006
21045000,1.3415,0.039994,0.023482,0.002970,0.000242
21046000,1.3415,0.039994,0.023482,0.002970,0.000053
21047000,1.3415,0.039994,0.023482,0.002970,0.000778
21048000,1.3415,0.039994,0.023482,0.002970,0.001868
21049000,1.3415,0.039994,0.023482,0.002970,0.000641
21050000,1.3415,0.039994,0.023482,0.002970,0.001902
21051000,1.3415,0.039994,0.023482,0.002970,0.001309
21052000,1.3415,0.039994,0.023482,0.002970,0.002344
21053000,1.3415,0.039994,0.023482,0.002970,0.000297
21054000,1.3415,0.039994,0.023482,0.002970,0.001599
21055000,1.3415,0.039994,0.023482,0.002970,0.001623
21056000,1.3415,0.039994,0.023482,0.002970,0.002572
21057000,1.3415,0.039994,0.023482,0.002970,0.000680
21058000,1.3415,0.039994,0.023482,0.002970,0.002185
21059000,1.3415,0.039994,0.023482,0.002970,0.000606
21060000,1.3415,0.039994,0.023482,0.002970,0.001518
21061000,1.3415,0.039994,0.023482,0.002970,0.001341
21062000,1.3415,0.039994,0.023482,0.002970,0.000285
21063000,1.3415,0.039994,0.023482,0.002970,0.001031
21064000,1.3415,0.039994,0.023482,0.002970,0.000668
21065000,1.3415,0.039994,0.023482,0.002970,0.001469
21066000,1.3415,0.039994,0.023482,0.002970,0.000045
21067000,1.3415,0.039994,0.023482,0.002970,0.001683
21068000,1.3415,0.039994,0.023482,0.002970,0.001557
21069000,1.3415,0.039994,0.023482,0.002970,0.001694
21070000,1.3415,0.039994,0.023482,0.002970,0.000997
21071000,1.3415,0.039994,0.023482,0.002970,0.000716
21072000,1.3415,0.039994,0.023482,0.002970,0.000883
21073000,1.3415,0.039994,0.023482,0.002970,0.001325
21074000,1.3415,0.039994,0.023482,0.002970,0.000570
21075000,1.3415,0.039994,0.023482,0.002970,0.000525
21076000,1.3415,0.039994,0.023482,0.002970,0.000696
21077000,1.3415,0.039994,0.023482,0.002970,0.000581
21078000,1.3415,0.039994,0.023482,0.002970,0.000091
21079000,1.3415,0.039994,0.023482,0.002970,0.000408
21080000,1.3415,0.039994,0.023482,0.002970,0.001133
21081000,1.3415,0.039994,0.023482,0.002970,0.000226
21082000,1.3415,0.039994,0.023482,0.002970,0.001945
21083000,1.3415,0.039994,0.023482,0.002970,0.001277
21084000,1.3415,0.039994,0.023482,0.002970,0.000880
21085000,1.3415,0.039994,0.023482,0.002970,0.000821
21086000,1.3415,0.039994,0.023482,0.002970,0.001279
21087000,1.3415,0.039994,0.023482,0.002970,0.000680
21088000,1.3415,0.039994,0.023482,0.002970,0.001309
21089000,1.3415,0.039994,0.023482,0.002970,0.000399
21090000,1.3415,0.039994,0.023482,0.002970,0.001074
21091000,1.3415,0.039994,0.023482,0.002970,0.000632
21092000,1.3415,0.039994,0.023482,0.002970,0.000862
21093000,1.3415,0.039994,0.023482,0.002970,0.002130
21094000,1.3415,0.039994,0.023482,0.002970,0.000158
21095000,1.3415,0.039994,0.023482,0.002970,0.001868
21096000,1.3415,0.039994,0.023482,0.002970,0.001213
21097000,1.3415,0.039994,0.023482,0.002970,0.000620
21098000,1.3415,0.039994,0.023482,0.002970,0.000499
21099000,1.3415,0.039994,0.023482,0.002970,0.001028
21100000,1.3415,0.039994,0.023482,0.002970,0.000837
21101000,1.3415,0.039994,0.023482,0.002970,0.001772
21102000,1.3415,0.039994,0.023482,0.002970,0.002447
21103000,1.3415,0.039994,0.023482,0.002970,0.001468
21104000,1.3415,0.039994,0.023482,0.002970,0.000830
21105000,1.3415,0.039994,0.023482,0.002970,0.000983
21106000,1.3415,0.039994,0.023482,0.002970,0.000550
21107000,1.3415,0.039994,0.023482,0.002970,0.000210
21108000,1.3415,0.039994,0.023482,0.002970,0.001241
21109000,1.3415,0.039994,0.023482,0.002970,0.001701
21110000,1.3415,0.039994,0.023482,0.002970,0.000780
21111000,1.3415,0.039994,0.023482,0.002970,0.001356
21112000,1.3415,0.039994,0.023482,0.002970,0.000962
21113000,1.3415,0.039994,0.023482,0.002970,0.001026
21114000,1.3415,0.039994,0.023482,0.002970,0.000682
21115000,1.3415,0.039994,0.023482,0.002970,0.000953
21116000,1.3415,0.039994,0.023482,0.002970,0.000354
21117000,1.3415,0.039994,0.023482,0.002970,0.000479
21118000,1.3415,0.039994,0.023482,0.002970,0.001610
21119000,1.3415,0.039994,0.023482,0.002970,0.001640
21120000,1.3415,0.039994,0.023482,0.002970,0.001211
21121000,1.3415,0.039994,0.023482,0.002970,0.001653
21122000,1.3415,0.039994,0.023482,0.002970,0.000940
21123000,1.3415,0.039994,0.023482,0.002970,0.000424
21124000,1.3415,0.039994,0.023482,0.002970,0.000385
21125000,1.3415,0.039994,0.023482,0.002970,0.002114
21126000,1.3415,0.039994,0.023482,0.002970,0.000442
21127000,1.3415,0.039994,0.023482,0.002970,0.000880
21128000,1.3415,0.039994,0.023482,0.002970,0.001934
21129000,1.3415,0.039994,0.023482,0.002970,0.001134
21130000,1.3415,0.039994,0.023482,0.002970,0.000187
21131000,1.3415,0.039994,0.023482,0.002970,0.001172
21132000,1.3415,0.039994,0.023482,0.002970,0.000894
21133000,1.3415,0.039994,0.023482,0.002970,0.000695
21134000,1.3415,0.039994,0.023482,0.002970,0.001897
21135000,1.3415,0.039994,0.023482,0.002970,0.001202
21136000,1.3415,0.039994,0.023482,0.002970,0.000558
21137000,1.3415,0.039994,0.023482,0.002970,0.000671
21138000,1.3415,0.039994,0.023482,0.002970,0.001122
21139000,1.3415,0.039994,0.023482,0.002970,0.000899
21140000,1.3415,0.039994,0.023482,0.002970,0.002274
21141000,1.3415,0.039994,0.023482,0.002970,0.001505
21142000,1.3415,0.039994,0.023482,0.002970,0.001078
21143000,1.3415,0.039994,0.023482,0.002970,0.000554
21144000,1.3415,0.039994,0.023482,0.002970,0.000502
21145000,1.3415,0.039994,0.023482,0.002970,0.000435
21146000,1.3415,0.039994,0.023482,0.002970,0.000225
21147000,1.3415,0.039994,0.023482,0.002970,0.001188
21148000,1.3415,0.039994,0.023482,0.002970,0.001047
21149000,1.3415,0.039994,0.023482,0.002970,0.000183
21150000,1.3415,0.039994,0.023482,0.002970,0.000411
21151000,1.3415,0.039994,0.023482,0.002970,0.001095
21152000,1.3415,0.039994,0.023482,0.002970,0.000495
21153000,1.3415,0.039994,0.023482,0.002970,0.003056
21154000,1.3415,0.039994,0.023482,0.002970,0.000949
21155000,1.3415,0.039994,0.023482,0.002970,0.000622
21156000,1.3415,0.039994,0.023482,0.002970,0.000509
21157000,1.3415,0.039994,0.023482,0.002970,0.000702
21158000,1.3415,0.039994,0.023482,0.002970,0.000381
21159000,1.3415,0.039994,0.023482,0.002970,0.002299
21160000,1.3415,0.039994,0.023482,0.002970,0.000568
21161000,1.3415,0.039994,0.023482,0.002970,0.001092
21162000,1.3415,0.039994,0.023482,0.002970,0.001005
21163000,1.3415,0.039994,0.023482,0.002970,0.000082
21164000,1.3415,0.039994,0.023482,0.002970,0.001475
21165000,1.3415,0.039994,0.023482,0.002970,0.000185
21166000,1.3415,0.039994,0.023482,0.002970,0.001395
21167000,1.3415,0.039994,0.023482,0.002970,0.001329
21168000,1.3415,0.039994,0.023482,0.002970,0.001745
21169000,1.3415,0.039994,0.023482,0.002970,0.001954
21170000,1.3415,0.039994,0.023482,0.002970,0.000882
21171000,1.3415,0.039994,0.023482,0.002970,0.000675
21172000,1.3415,0.039994,0.023482,0.002970,0.002576
21173000,1.3415,0.039994,0.023482,0.002970,0.001250
21174000,1.3415,0.039994,0.023482,0.002970,0.001804
21175000,1.3415,0.039994,0.023482,0.002970,0.001309
21176000,1.3415,0.039994,0.023482,0.002970,0.000264
21177000,1.3415,0.039994,0.023482,0.002970,0.000755
21178000,1.3415,0.039994,0.023482,0.002970,0.000634
21179000,1.3415,0.039994,0.023482,0.002970,0.000955
21180000,1.3415,0.039994,0.023482,0.002970,0.001245
21181000,1.3415,0.039994,0.023482,0.002970,0.001544
21182000,1.3415,0.039994,0.023482,0.002970,0.001913
21183000,1.3415,0.039994,0.023482,0.002970,0.000290
21184000,1.3415,0.039994,0.023482,0.002970,0.000167
21185000,1.3415,0.039994,0.023482,0.002970,0.000910
21186000,1.3415,0.039994,0.023482,0.002970,0.001338
21187000,1.3415,0.039994,0.023482,0.002970,0.000773
21188000,1.3415,0.039994,0.023482,0.002970,0.001140
21189000,1.3415,0.039994,0.023482,0.002970,0.000481
21190000,1.3415,0.039994,0.023482,0.002970,0.000965
21191000,1.3415,0.039994,0.023482,0.002970,0.000314
21192000,1.3415,0.039994,0.023482,0.002970,0.001619
21193000,1.3415,0.039994,0.023482,0.002970,0.000940
21194000,1.3415,0.039994,0.023482,0.002970,0.000948
21195000,1.3415,0.039994,0.023482,0.002970,0.000906
21196000,1.3415,0.039994,0.023482,0.002970,0.000431
21197000,1.3415,0.039994,0.023482,0.002970,0.000876
21198000,1.3415,0.039994,0.023482,0.002970,0.001072
21199000,1.3415,0.039994,0.023482,0.002970,0.001849
21200000,1.3415,0.039994,0.023482,0.002970,0.001696
21201000,1.3415,0.039994,0.023482,0.002970,0.000452
21202000,1.3415,0.039994,0.023482,0.002970,0.000196
21203000,1.3415,0.039994,0.023482,0.002970,0.000317
21204000,1.3415,0.039994,0.023482,0.002970,0.000258
21205000,1.3415,0.039994,0.023482,0.002970,0.000769
21206000,1.3415,0.039994,0.023482,0.002970,0.001970
21207000,1.3415,0.039994,0.023482,0.002970,0.000452
21208000,1.3415,0.039994,0.023482,0.002970,0.001270
21209000,1.3415,0.039994,0.023482,0.002970,0.000354
21210000,1.3415,0.039994,0.023482,0.002970,0.000645
21211000,1.3415,0.039994,0.023482,0.002970,0.003124
21212000,1.3415,0.039994,0.023482,0.002970,0.001907
21213000,1.3415,0.039994,0.023482,0.002970,0.002116
21214000,1.3415,0.039994,0.023482,0.002970,0.000981
21215000,1.3415,0.039994,0.023482,0.002970,0.000314
21216000,1.3415,0.039994,0.023482,0.002970,0.000577
21217000,1.3415,0.039994,0.023482,0.002970,0.000600
21218000,1.3415,0.039994,0.023482,0.002970,0.001236
21219000,1.3415,0.039994,0.023482,0.002970,0.001934
21220000,1.3415,0.039994,0.023482,0.002970,0.001425
21221000,1.3415,0.039994,0.023482,0.002970,0.000828
21222000,1.3415,0.039994,0.023482,0.002970,0.002162
21223000,1.3415,0.039994,0.023482,0.002970,0.000459
21224000,1.3415,0.039994,0.023482,0.002970,0.001352
21225000,1.3415,0.039994,0.023482,0.002970,0.001225
21226000,1.3415,0.039994,0.023482,0.002970,0.000547
21227000,1.3415,0.039994,0.023482,0.002970,0.000280
21228000,1.3415,0.039994,0.023482,0.002970,0.000657
21229000,1.3415,0.039994,0.023482,0.002970,0.001200
21230000,1.3415,0.039994,0.023482,0.002970,0.000481
21231000,1.3415,0.039994,0.023482,0.002970,0.001035
21232000,1.3415,0.039994,0.023482,0.002970,0.001339
21233000,1.3415,0.039994,0.023482,0.002970,0.000625
21234000,1.3415,0.039994,0.023482,0.002970,0.000780
21235000,1.3415,0.039994,0.023482,0.002970,0.000529
21236000,1.3415,0.039994,0.023482,0.002970,0.000201
21237000,1.3415,0.039994,0.023482,0.002970,0.000556
21238000,1.3415,0.039994,0.023482,0.002970,0.001435
21239000,1.3415,0.039994,0.023482,0.002970,0.000858
21240000,1.3415,0.039994,0.023482,0.002970,0.000413
21241000,1.3415,0.039994,0.023482,0.002970,0.001382
21242000,1.3415,0.039994,0.023482,0.002970,0.000679
21243000,1.3415,0.039994,0.023482,0.002970,0.000851
21244000,1.3415,0.039994,0.023482,0.002970,0.001136
21245000,1.3415,0.039994,0.023482,0.002970,0.001731
21246000,1.3415,0.039994,0.023482,0.002970,0.000499
21247000,1.3415,0.039994,0.023482,0.002970,0.000224
21248000,1.3415,0.039994,0.023482,0.002970,0.000565
21249000,1.3415,0.039994,0.023482,0.002970,0.001740
21250000,1.3415,0.039994,0.023482,0.002970,0.001070
21251000,1.3415,0.039994,0.023482,0.002970,0.000896
21252000,1.3415,0.039994,0.023482,0.002970,0.001462
