Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
2000000,1.6202,0.544831,0.005673,0.000697,0.359157
2001000,1.6202,0.544831,0.005673,0.000697,0.355218
2002000,1.6202,0.544831,0.005673,0.000697,0.352423
2003000,1.6202,0.544831,0.005673,0.000697,0.357745
2004000,1.6202,0.544831,0.005673,0.000697,0.361287
2005000,1.6202,0.544831,0.005673,0.000697,0.357211
2006000,1.6202,0.544831,0.005673,0.000697,0.353269
2007000,1.6202,0.544831,0.005673,0.000697,0.351400
2008000,1.6202,0.544831,0.005673,0.000697,0.355934
2009000,1.6202,0.544831,0.005673,0.000697,0.351527
2010000,1.6202,0.544831,0.005673,0.000697,0.352979
2011000,1.6202,0.544831,0.005673,0.000697,0.350655
2012000,1.6202,0.544831,0.005673,0.000697,0.353355
2013000,1.6202,0.544831,0.005673,0.000697,0.348183
2014000,1.6202,0.544831,0.005673,0.000697,0.349347
2015000,1.6202,0.544831,0.005673,0.000697,0.352164
2016000,1.6202,0.544831,0.005673,0.000697,0.354613
2017000,1.6202,0.544831,0.005673,0.000697,0.355393
2018000,1.6202,0.544831,0.005673,0.000697,0.351828
2019000,1.6202,0.544831,0.005673,0.000697,0.357574
2020000,1.6202,0.544831,0.005673,0.000697,0.351572
2021000,1.6202,0.544831,0.005673,0.000697,0.353908
2022000,1.6202,0.544831,0.005673,0.000697,0.355386
2023000,1.6202,0.544831,0.005673,0.000697,0.353779
2024000,1.6202,0.544831,0.005673,0.000697,0.354798
2025000,1.6202,0.544831,0.005673,0.000697,0.348896
2026000,1.6202,0.544831,0.005673,0.000697,0.350058
2027000,1.6202,0.544831,0.005673,0.000697,0.354375
2028000,1.6202,0.544831,0.005673,0.000697,0.353750
2029000,1.6202,0.544831,0.005673,0.000697,0.358250
2030000,1.6202,0.544831,0.005673,0.000697,0.361062
2031000,1.6202,0.544831,0.005673,0.000697,0.359309
2032000,1.6202,0.544831,0.005673,0.000697,0.355104
2033000,1.6202,0.544831,0.005673,0.000697,0.356409
2034000,1.6202,0.544831,0.005673,0.000697,0.360489
2035000,1.6202,0.544831,0.005673,0.000697,0.350749
2036000,1.6202,0.544831,0.005673,0.000697,0.354130
2037000,1.6202,0.544831,0.005673,0.000697,0.361963
2038000,1.6202,0.544831,0.005673,0.000697,0.350287
2039000,1.6202,0.544831,0.005673,0.000697,0.354629
2040000,1.6202,0.544831,0.005673,0.000697,0.358576
2041000,1.6202,0.544831,0.005673,0.000697,0.353107
2042000,1.6202,0.544831,0.005673,0.000697,0.355777
2043000,1.6202,0.544831,0.005673,0.000697,0.352062
2044000,1.6202,0.544831,0.005673,0.000697,0.356754
2045000,1.6202,0.544831,0.005673,0.000697,0.360185
2046000,1.6202,0.544831,0.005673,0.000697,0.356842
2047000,1.6202,0.544831,0.005673,0.000697,0.360165
2048000,1.6202,0.544831,0.005673,0.000697,0.362649
2049000,1.6202,0.544831,0.005673,0.000697,0.364337
2050000,1.6202,0.544831,0.005673,0.000697,0.360131
2051000,1.6202,0.544831,0.005673,0.000697,0.361107
2052000,1.6202,0.544831,0.005673,0.000697,0.363112
2053000,1.6202,0.544831,0.005673,0.000697,0.360716
2054000,1.6202,0.544831,0.005673,0.000697,0.361709
2055000,1.6202,0.544831,0.005673,0.000697,0.360457
2056000,1.6202,0.544831,0.005673,0.000697,0.361047
2057000,1.6202,0.544831,0.005673,0.000697,0.358936
2058000,1.6202,0.544831,0.005673,0.000697,0.358206
2059000,1.6202,0.544831,0.005673,0.000697,0.356421
2060000,1.6202,0.544831,0.005673,0.000697,0.360293
2061000,1.6202,0.544831,0.005673,0.000697,0.357958
2062000,1.6202,0.544831,0.005673,0.000697,0.358696
2063000,1.6202,0.544831,0.005673,0.000697,0.359292
2064000,1.6202,0.544831,0.005673,0.000697,0.363298
2065000,1.6202,0.544831,0.005673,0.000697,0.362417
2066000,1.6202,0.544831,0.005673,0.000697,0.361848
