Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,1.3415,0.039994,0.023482,0.002970,0.000000
2000,1.3415,0.039994,0.023482,0.002970,0.000000
3000,1.3415,0.039994,0.023482,0.002970,0.000000
4000,1.3415,0.039994,0.023482,0.002970,0.000000
5000,1.3415,0.039994,0.023482,0.002970,0.000000
6000,1.3415,0.039994,0.023482,0.002970,0.077166
7000,1.3415,0.039994,0.023482,0.002970,0.038956
8000,1.3415,0.039994,0.023482,0.002970,0.078858
9000,1.3415,0.039994,0.023482,0.002970,0.057734
10000,1.3415,0.039994,0.023482,0.002970,0.100348
11000,1.3415,0.039994,0.023482,0.002970,0.141932
12000,1.3415,0.039994,0.023482,0.002970,0.112324
13000,1.3415,0.039994,0.023482,0.002970,0.102217
14000,1.3415,0.039994,0.023482,0.002970,0.079322
15000,1.3415,0.039994,0.023482,0.002970,0.073013
16000,1.3415,0.039994,0.023482,0.002970,0.077650
17000,1.3415,0.039994,0.023482,0.002970,0.096708
18000,1.3415,0.039994,0.023482,0.002970,0.061022
19000,1.3415,0.039994,0.023482,0.002970,0.017105
20000,1.3415,0.039994,0.023482,0.002970,0.016874
21000,1.3415,0.039994,0.023482,0.002970,0.017127
22000,1.3415,0.039994,0.023482,0.002970,0.017125
23000,1.3415,0.039994,0.023482,0.002970,0.016817
24000,1.3415,0.039994,0.023482,0.002970,0.016851
25000,1.3415,0.039994,0.023482,0.002970,0.016865
26000,1.3415,0.039994,0.023482,0.002970,0.017118
27000,1.3415,0.039994,0.023482,0.002970,0.016952
28000,1.3415,0.039994,0.023482,0.002970,0.017187
29000,1.3415,0.039994,0.023482,0.002970,0.078938
30000,1.3415,0.039994,0.023482,0.002970,0.062333
31000,1.3415,0.039994,0.023482,0.002970,0.066165
32000,1.3415,0.039994,0.023482,0.002970,0.063711
33000,1.3415,0.039994,0.023482,0.002970,0.079561
34000,1.3415,0.039994,0.023482,0.002970,0.080663
35000,1.3415,0.039994,0.023482,0.002970,0.067787
36000,1.3415,0.039994,0.023482,0.002970,0.073601
37000,1.3415,0.039994,0.023482,0.002970,0.062109
38000,1.3415,0.039994,0.023482,0.002970,0.044965
39000,1.3415,0.039994,0.023482,0.002970,0.057832
40000,1.3415,0.039994,0.023482,0.002970,0.048285
41000,1.3415,0.039994,0.023482,0.002970,0.052728
42000,1.3415,0.039994,0.023482,0.002970,0.061385
43000,1.3415,0.039994,0.023482,0.002970,0.050440
44000,1.3415,0.039994,0.023482,0.002970,0.048192
45000,1.3415,0.039994,0.023482,0.002970,0.055851
46000,1.3415,0.039994,0.023482,0.002970,0.044298
47000,1.3415,0.039994,0.023482,0.002970,0.046137
48000,1.3415,0.039994,0.023482,0.002970,0.048159
49000,1.3415,0.039994,0.023482,0.002970,0.062302
50000,1.3415,0.039994,0.023482,0.002970,0.034954
51000,1.3415,0.039994,0.023482,0.002970,0.056979
52000,1.3415,0.039994,0.023482,0.002970,0.044237
53000,1.3415,0.039994,0.023482,0.002970,0.040395
54000,1.3415,0.039994,0.023482,0.002970,0.054870
55000,1.3415,0.039994,0.023482,0.002970,0.051429
56000,1.3415,0.039994,0.023482,0.002970,0.054874
57000,1.3415,0.039994,0.023482,0.002970,0.044592
58000,1.3415,0.039994,0.023482,0.002970,0.045086
59000,1.3415,0.039994,0.023482,0.002970,0.048322
60000,1.3415,0.039994,0.023482,0.002970,0.047245
61000,1.3415,0.039994,0.023482,0.002970,0.053818
62000,1.3415,0.039994,0.023482,0.002970,0.054296
63000,1.3415,0.039994,0.023482,0.002970,0.052944
64000,1.3415,0.039994,0.023482,0.002970,0.041963
65000,1.3415,0.039994,0.023482,0.002970,0.051795
66000,1.3415,0.039994,0.023482,0.002970,0.046099
67000,1.3415,0.039994,0.023482,0.002970,0.049820
68000,1.3415,0.039994,0.023482,0.002970,0.055794
69000,1.3415,0.039994,0.023482,0.002970,0.045541
70000,1.3415,0.039994,0.023482,0.002970,0.052979
71000,1.3415,0.039994,0.023482,0.002970,0.043907
72000,1.3415,0.039994,0.023482,0.002970,0.045002
73000,1.3415,0.039994,0.023482,0.002970,0.047225
74000,1.3415,0.039994,0.023482,0.002970,0.039281
75000,1.3415,0.039994,0.023482,0.002970,0.056472
76000,1.3415,0.039994,0.023482,0.002970,0.052583
77000,1.3415,0.039994,0.023482,0.002970,0.052552
78000,1.3415,0.039994,0.023482,0.002970,0.036939
79000,1.3415,0.039994,0.023482,0.002970,0.049787
80000,1.3415,0.039994,0.023482,0.002970,0.048616
81000,1.3415,0.039994,0.023482,0.002970,0.046720
82000,1.3415,0.039994,0.023482,0.002970,0.057471
83000,1.3415,0.039994,0.023482,0.002970,0.045265
84000,1.3415,0.039994,0.023482,0.002970,0.053827
85000,1.3415,0.039994,0.023482,0.002970,0.040532
86000,1.3415,0.039994,0.023482,0.002970,0.053615
87000,1.3415,0.039994,0.023482,0.002970,0.043253
88000,1.3415,0.039994,0.023482,0.002970,0.048685
89000,1.3415,0.039994,0.023482,0.002970,0.054022
90000,1.3415,0.039994,0.023482,0.002970,0.048832
91000,1.3415,0.039994,0.023482,0.002970,0.055617
92000,1.3415,0.039994,0.023482,0.002970,0.042809
93000,1.3415,0.039994,0.023482,0.002970,0.051858
94000,1.3415,0.039994,0.023482,0.002970,0.046074
95000,1.3415,0.039994,0.023482,0.002970,0.056599
96000,1.3415,0.039994,0.023482,0.002970,0.056042
97000,1.3415,0.039994,0.023482,0.002970,0.046100
98000,1.3415,0.039994,0.023482,0.002970,0.044197
99000,1.3415,0.039994,0.023482,0.002970,0.046222
100000,1.3415,0.039994,0.023482,0.002970,0.049853
101000,1.3415,0.039994,0.023482,0.002970,0.051138
102000,1.3415,0.039994,0.023482,0.002970,0.057489
103000,1.3415,0.039994,0.023482,0.002970,0.042870
104000,1.3415,0.039994,0.023482,0.002970,0.049738
105000,1.3415,0.039994,0.023482,0.002970,0.048433
106000,1.3415,0.039994,0.023482,0.002970,0.049854
107000,1.3415,0.039994,0.023482,0.002970,0.048559
108000,1.3415,0.039994,0.023482,0.002970,0.050568
109000,1.3415,0.039994,0.023482,0.002970,0.061558
110000,1.3415,0.039994,0.023482,0.002970,0.042628
111000,1.3415,0.039994,0.023482,0.002970,0.048294
112000,1.3415,0.039994,0.023482,0.002970,0.045599
113000,1.3415,0.039994,0.023482,0.002970,0.051754
114000,1.3415,0.039994,0.023482,0.002970,0.048414
115000,1.3415,0.039994,0.023482,0.002970,0.057957
116000,1.3415,0.039994,0.023482,0.002970,0.049385
117000,1.3415,0.039994,0.023482,0.002970,0.046625
118000,1.3415,0.039994,0.023482,0.002970,0.047157
119000,1.3415,0.039994,0.023482,0.002970,0.041144
120000,1.3415,0.039994,0.023482,0.002970,0.055455
121000,1.3415,0.039994,0.023482,0.002970,0.046506
122000,1.3415,0.039994,0.023482,0.002970,0.056088
123000,1.3415,0.039994,0.023482,0.002970,0.052715
124000,1.3415,0.039994,0.023482,0.002970,0.042534
125000,1.3415,0.039994,0.023482,0.002970,0.052373
126000,1.3415,0.039994,0.023482,0.002970,0.042416
127000,1.3415,0.039994,0.023482,0.002970,0.049844
128000,1.3415,0.039994,0.023482,0.002970,0.052747
129000,1.3415,0.039994,0.023482,0.002970,0.056758
130000,1.3415,0.039994,0.023482,0.002970,0.044307
131000,1.3415,0.039994,0.023482,0.002970,0.042393
132000,1.3415,0.039994,0.023482,0.002970,0.049093
133000,1.3415,0.039994,0.023482,0.002970,0.037040
134000,1.3415,0.039994,0.023482,0.002970,0.055151
135000,1.3415,0.039994,0.023482,0.002970,0.042632
136000,1.3415,0.039994,0.023482,0.002970,0.057969
137000,1.3415,0.039994,0.023482,0.002970,0.046447
138000,1.3415,0.039994,0.023482,0.002970,0.047670
139000,1.3415,0.039994,0.023482,0.002970,0.049845
140000,1.3415,0.039994,0.023482,0.002970,0.049434
141000,1.3415,0.039994,0.023482,0.002970,0.051707
142000,1.3415,0.039994,0.023482,0.002970,0.057511
143000,1.3415,0.039994,0.023482,0.002970,0.052063
144000,1.3415,0.039994,0.023482,0.002970,0.044951
145000,1.3415,0.039994,0.023482,0.002970,0.044092
146000,1.3415,0.039994,0.023482,0.002970,0.052034
147000,1.3415,0.039994,0.023482,0.002970,0.039834
148000,1.3415,0.039994,0.023482,0.002970,0.058238
149000,1.3415,0.039994,0.023482,0.002970,0.049590
150000,1.3415,0.039994,0.023482,0.002970,0.049802
151000,1.3415,0.039994,0.023482,0.002970,0.050831
152000,1.3415,0.039994,0.023482,0.002970,0.052602
153000,1.3415,0.039994,0.023482,0.002970,0.050401
154000,1.3415,0.039994,0.023482,0.002970,0.050923
155000,1.3415,0.039994,0.023482,0.002970,0.054657
156000,1.3415,0.039994,0.023482,0.002970,0.046150
157000,1.3415,0.039994,0.023482,0.002970,0.049517
158000,1.3415,0.039994,0.023482,0.002970,0.047041
159000,1.3415,0.039994,0.023482,0.002970,0.049478
160000,1.3415,0.039994,0.023482,0.002970,0.047001
161000,1.3415,0.039994,0.023482,0.002970,0.049383
162000,1.3415,0.039994,0.023482,0.002970,0.060062
163000,1.3415,0.039994,0.023482,0.002970,0.045521
164000,1.3415,0.039994,0.023482,0.002970,0.051966
165000,1.3415,0.039994,0.023482,0.002970,0.049360
166000,1.3415,0.039994,0.023482,0.002970,0.049421
167000,1.3415,0.039994,0.023482,0.002970,0.046386
168000,1.3415,0.039994,0.023482,0.002970,0.061428
169000,1.3415,0.039994,0.023482,0.002970,0.043752
170000,1.3415,0.039994,0.023482,0.002970,0.047307
171000,1.3415,0.039994,0.023482,0.002970,0.050100
172000,1.3415,0.039994,0.023482,0.002970,0.048849
173000,1.3415,0.039994,0.023482,0.002970,0.048448
174000,1.3415,0.039994,0.023482,0.002970,0.051772
175000,1.3415,0.039994,0.023482,0.002970,0.052012
176000,1.3415,0.039994,0.023482,0.002970,0.048487
