Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,8.6440,0.261844,0.058609,0.079322,0.000000
2000,8.6440,0.261844,0.058609,0.079322,0.000000
3000,8.6440,0.261844,0.058609,0.079322,0.000000
4000,8.6440,0.261844,0.058609,0.079322,0.000000
5000,8.6440,0.261844,0.058609,0.079322,0.000000
6000,8.6440,0.261844,0.058609,0.079322,2.963459
7000,8.6440,0.261844,0.058609,0.079322,0.018014
8000,8.6440,0.261844,0.058609,0.079322,0.035288
9000,8.6440,0.261844,0.058609,0.079322,0.025911
10000,8.6440,0.261844,0.058609,0.079322,2.298933
11000,8.6440,0.261844,0.058609,0.079322,3.005982
12000,8.6440,0.261844,0.058609,0.079322,2.655775
13000,8.6440,0.261844,0.058609,0.079322,0.948733
14000,8.6440,0.261844,0.058609,0.079322,0.054754
15000,8.6440,0.261844,0.058609,0.079322,0.110236
16000,8.6440,0.261844,0.058609,0.079322,0.089598
17000,8.6440,0.261844,0.058609,0.079322,0.127859
18000,8.6440,0.261844,0.058609,0.079322,0.195862
19000,8.6440,0.261844,0.058609,0.079322,0.191419
20000,8.6440,0.261844,0.058609,0.079322,0.192056
21000,8.6440,0.261844,0.058609,0.079322,0.191049
22000,8.6440,0.261844,0.058609,0.079322,0.189533
23000,8.6440,0.261844,0.058609,0.079322,0.188735
24000,8.6440,0.261844,0.058609,0.079322,0.188427
25000,8.6440,0.261844,0.058609,0.079322,0.191118
26000,8.6440,0.261844,0.058609,0.079322,0.191086
27000,8.6440,0.261844,0.058609,0.079322,0.192052
28000,8.6440,0.261844,0.058609,0.079322,0.189095
29000,8.6440,0.261844,0.058609,0.079322,1.061799
30000,8.6440,0.261844,0.058609,0.079322,4.050165
31000,8.6440,0.261844,0.058609,0.079322,7.484008
32000,8.6440,0.261844,0.058609,0.079322,8.927587
33000,8.6440,0.261844,0.058609,0.079322,7.816591
34000,8.6440,0.261844,0.058609,0.079322,7.748359
35000,8.6440,0.261844,0.058609,0.079322,7.319765
36000,8.6440,0.261844,0.058609,0.079322,5.411595
37000,8.6440,0.261844,0.058609,0.079322,4.823963
38000,8.6440,0.261844,0.058609,0.079322,3.818972
39000,8.6440,0.261844,0.058609,0.079322,4.114131
40000,8.6440,0.261844,0.058609,0.079322,3.920660
41000,8.6440,0.261844,0.058609,0.079322,3.934958
42000,8.6440,0.261844,0.058609,0.079322,3.293110
43000,8.6440,0.261844,0.058609,0.079322,4.033727
44000,8.6440,0.261844,0.058609,0.079322,3.392277
45000,8.6440,0.261844,0.058609,0.079322,3.868053
46000,8.6440,0.261844,0.058609,0.079322,3.089930
47000,8.6440,0.261844,0.058609,0.079322,2.667726
48000,8.6440,0.261844,0.058609,0.079322,3.625298
49000,8.6440,0.261844,0.058609,0.079322,2.601142
50000,8.6440,0.261844,0.058609,0.079322,2.551615
51000,8.6440,0.261844,0.058609,0.079322,3.569083
52000,8.6440,0.261844,0.058609,0.079322,2.599540
53000,8.6440,0.261844,0.058609,0.079322,2.851573
