Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.453218
1001000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.857268
1002000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,42.387539
1003000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,41.970004
1004000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,41.912606
1005000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,41.604083
1006000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.542026
1007000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,40.266072
1008000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,38.570604
1009000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.133609
1010000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.264753
1011000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,38.879916
1012000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.495392
1013000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,37.857928
1014000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,38.858440
1015000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,47.714688
1016000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,51.887279
1017000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.405874
1018000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,45.494022
1019000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,45.292760
1020000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.327517
1021000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,43.963882
1022000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,45.166640
1023000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.452032
1024000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.722189
1025000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.553893
1026000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,45.353864
1027000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.277568
1028000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.684722
1029000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.521412
1030000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,43.997198
1031000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,45.254337
1032000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.009928
1033000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.901158
1034000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,43.609727
1035000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.862171
1036000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,43.530178
1037000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,42.737342
1038000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,41.206827
1039000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,41.623714
1040000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,41.040592
1041000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,38.738401
1042000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.769788
1043000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.038153
1044000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,38.985675
1045000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.116155
1046000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.058389
1047000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,38.173145
1048000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,38.250029
1049000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,40.721903
1050000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,48.711801
1051000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,50.189772
1052000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,43.883200
1053000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,45.844364
1054000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.761653
1055000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.294084
1056000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,45.384835
1057000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.250163
1058000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.888226
1059000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.893442
1060000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.810258
1061000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,45.254709
1062000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.730917
1063000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,45.026240
1064000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,45.091535
1065000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.412749
1066000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.236066
1067000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.546188
1068000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.872332
1069000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,43.590655
1070000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.748943
1071000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,43.019496
1072000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,42.664715
1073000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,41.990689
1074000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,40.583794
1075000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,40.865695
1076000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,38.966006
1077000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,38.614065
1078000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.646736
1079000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.487535
1080000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.414295
1081000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,41.484060
1082000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,39.309641
1083000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,41.057368
1084000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,41.345251
1085000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,49.394363
1086000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,50.599787
1087000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.937490
1088000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.631103
1089000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.935002
1090000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,43.749902
1091000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,45.061948
1092000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,45.652577
1093000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,44.468888
