Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
17000000,1.3415,0.039994,0.023482,0.002970,0.001076
17001000,1.3415,0.039994,0.023482,0.002970,0.000887
17002000,1.3415,0.039994,0.023482,0.002970,0.000689
17003000,1.3415,0.039994,0.023482,0.002970,0.000924
17004000,1.3415,0.039994,0.023482,0.002970,0.000924
17005000,1.3415,0.039994,0.023482,0.002970,0.000864
17006000,1.3415,0.039994,0.023482,0.002970,0.000803
17007000,1.3415,0.039994,0.023482,0.002970,0.000971
17008000,1.3415,0.039994,0.023482,0.002970,0.000703
17009000,1.3415,0.039994,0.023482,0.002970,0.000924
17010000,1.3415,0.039994,0.023482,0.002970,0.000903
17011000,1.3415,0.039994,0.023482,0.002970,0.000992
17012000,1.3415,0.039994,0.023482,0.002970,0.000666
17013000,1.3415,0.039994,0.023482,0.002970,0.000803
17014000,1.3415,0.039994,0.023482,0.002970,0.001129
17015000,1.3415,0.039994,0.023482,0.002970,0.000712
17016000,1.3415,0.039994,0.023482,0.002970,0.000871
17017000,1.3415,0.039994,0.023482,0.002970,0.001076
17018000,1.3415,0.039994,0.023482,0.002970,0.000629
17019000,1.3415,0.039994,0.023482,0.002970,0.000773
17020000,1.3415,0.039994,0.023482,0.002970,0.001190
17021000,1.3415,0.039994,0.023482,0.002970,0.000622
17022000,1.3415,0.039994,0.023482,0.002970,0.000773
17023000,1.3415,0.039994,0.023482,0.002970,0.001106
17024000,1.3415,0.039994,0.023482,0.002970,0.000545
17025000,1.3415,0.039994,0.023482,0.002970,0.000857
17026000,1.3415,0.039994,0.023482,0.002970,0.001197
17027000,1.3415,0.039994,0.023482,0.002970,0.000766
17028000,1.3415,0.039994,0.023482,0.002970,0.000622
17029000,1.3415,0.039994,0.023482,0.002970,0.001167
17030000,1.3415,0.039994,0.023482,0.002970,0.000871
17031000,1.3415,0.039994,0.023482,0.002970,0.000659
17032000,1.3415,0.039994,0.023482,0.002970,0.001062
17033000,1.3415,0.039994,0.023482,0.002970,0.000757
17034000,1.3415,0.039994,0.023482,0.002970,0.000743
17035000,1.3415,0.039994,0.023482,0.002970,0.001062
17036000,1.3415,0.039994,0.023482,0.002970,0.000613
17037000,1.3415,0.039994,0.023482,0.002970,0.000850
17038000,1.3415,0.039994,0.023482,0.002970,0.000803
17039000,1.3415,0.039994,0.023482,0.002970,0.000931
17040000,1.3415,0.039994,0.023482,0.002970,0.000834
17041000,1.3415,0.039994,0.023482,0.002970,0.000803
17042000,1.3415,0.039994,0.023482,0.002970,0.001045
17043000,1.3415,0.039994,0.023482,0.002970,0.000850
17044000,1.3415,0.039994,0.023482,0.002970,0.000848
17045000,1.3415,0.039994,0.023482,0.002970,0.000871
17046000,1.3415,0.039994,0.023482,0.002970,0.000924
17047000,1.3415,0.039994,0.023482,0.002970,0.000834
17048000,1.3415,0.039994,0.023482,0.002970,0.000743
17049000,1.3415,0.039994,0.023482,0.002970,0.000924
17050000,1.3415,0.039994,0.023482,0.002970,0.000955
17051000,1.3415,0.039994,0.023482,0.002970,0.000743
17052000,1.3415,0.039994,0.023482,0.002970,0.000917
17053000,1.3415,0.039994,0.023482,0.002970,0.000992
17054000,1.3415,0.039994,0.023482,0.002970,0.000638
17055000,1.3415,0.039994,0.023482,0.002970,0.001120
17056000,1.3415,0.039994,0.023482,0.002970,0.000948
17057000,1.3415,0.039994,0.023482,0.002970,0.000622
17058000,1.3415,0.039994,0.023482,0.002970,0.001029
17059000,1.3415,0.039994,0.023482,0.002970,0.000933
17060000,1.3415,0.039994,0.023482,0.002970,0.000622
17061000,1.3415,0.039994,0.023482,0.002970,0.001090
17062000,1.3415,0.039994,0.023482,0.002970,0.000750
17063000,1.3415,0.039994,0.023482,0.002970,0.000736
17064000,1.3415,0.039994,0.023482,0.002970,0.000948
17065000,1.3415,0.039994,0.023482,0.002970,0.000787
17066000,1.3415,0.039994,0.023482,0.002970,0.000803
17067000,1.3415,0.039994,0.023482,0.002970,0.000810
17068000,1.3415,0.039994,0.023482,0.002970,0.001008
17069000,1.3415,0.039994,0.023482,0.002970,0.000880
17070000,1.3415,0.039994,0.023482,0.002970,0.000780
17071000,1.3415,0.039994,0.023482,0.002970,0.000939
17072000,1.3415,0.039994,0.023482,0.002970,0.000917
17073000,1.3415,0.039994,0.023482,0.002970,0.000955
17074000,1.3415,0.039994,0.023482,0.002970,0.000712
17075000,1.3415,0.039994,0.023482,0.002970,0.000948
17076000,1.3415,0.039994,0.023482,0.002970,0.000643
17077000,1.3415,0.039994,0.023482,0.002970,0.000948
17078000,1.3415,0.039994,0.023482,0.002970,0.000773
17079000,1.3415,0.039994,0.023482,0.002970,0.000985
17080000,1.3415,0.039994,0.023482,0.002970,0.000894
17081000,1.3415,0.039994,0.023482,0.002970,0.000803
17082000,1.3415,0.039994,0.023482,0.002970,0.001038
17083000,1.3415,0.039994,0.023482,0.002970,0.000698
17084000,1.3415,0.039994,0.023482,0.002970,0.000741
17085000,1.3415,0.039994,0.023482,0.002970,0.001092
17086000,1.3415,0.039994,0.023482,0.002970,0.000545
17087000,1.3415,0.039994,0.023482,0.002970,0.000917
17088000,1.3415,0.039994,0.023482,0.002970,0.001015
17089000,1.3415,0.039994,0.023482,0.002970,0.000545
17090000,1.3415,0.039994,0.023482,0.002970,0.000964
17091000,1.3415,0.039994,0.023482,0.002970,0.000948
17092000,1.3415,0.039994,0.023482,0.002970,0.000673
17093000,1.3415,0.039994,0.023482,0.002970,0.000803
17094000,1.3415,0.039994,0.023482,0.002970,0.000810
17095000,1.3415,0.039994,0.023482,0.002970,0.001001
17096000,1.3415,0.039994,0.023482,0.002970,0.000780
17097000,1.3415,0.039994,0.023482,0.002970,0.001053
17098000,1.3415,0.039994,0.023482,0.002970,0.000864
17099000,1.3415,0.039994,0.023482,0.002970,0.000629
17100000,1.3415,0.039994,0.023482,0.002970,0.001145
17101000,1.3415,0.039994,0.023482,0.002970,0.000901
17102000,1.3415,0.039994,0.023482,0.002970,0.000598
17103000,1.3415,0.039994,0.023482,0.002970,0.001038
17104000,1.3415,0.039994,0.023482,0.002970,0.000750
17105000,1.3415,0.039994,0.023482,0.002970,0.000705
17106000,1.3415,0.039994,0.023482,0.002970,0.000992
17107000,1.3415,0.039994,0.023482,0.002970,0.000727
17108000,1.3415,0.039994,0.023482,0.002970,0.000873
17109000,1.3415,0.039994,0.023482,0.002970,0.000939
17110000,1.3415,0.039994,0.023482,0.002970,0.000864
17111000,1.3415,0.039994,0.023482,0.002970,0.000948
17112000,1.3415,0.039994,0.023482,0.002970,0.000864
17113000,1.3415,0.039994,0.023482,0.002970,0.000841
17114000,1.3415,0.039994,0.023482,0.002970,0.000940
17115000,1.3415,0.039994,0.023482,0.002970,0.000727
17116000,1.3415,0.039994,0.023482,0.002970,0.000948
17117000,1.3415,0.039994,0.023482,0.002970,0.000985
17118000,1.3415,0.039994,0.023482,0.002970,0.000622
17119000,1.3415,0.039994,0.023482,0.002970,0.001015
17120000,1.3415,0.039994,0.023482,0.002970,0.001045
17121000,1.3415,0.039994,0.023482,0.002970,0.000622
17122000,1.3415,0.039994,0.023482,0.002970,0.000810
17123000,1.3415,0.039994,0.023482,0.002970,0.000985
17124000,1.3415,0.039994,0.023482,0.002970,0.000780
17125000,1.3415,0.039994,0.023482,0.002970,0.000773
17126000,1.3415,0.039994,0.023482,0.002970,0.000940
17127000,1.3415,0.039994,0.023482,0.002970,0.000908
17128000,1.3415,0.039994,0.023482,0.002970,0.000629
17129000,1.3415,0.039994,0.023482,0.002970,0.000971
17130000,1.3415,0.039994,0.023482,0.002970,0.000834
17131000,1.3415,0.039994,0.023482,0.002970,0.000652
17132000,1.3415,0.039994,0.023482,0.002970,0.000878
17133000,1.3415,0.039994,0.023482,0.002970,0.000978
17134000,1.3415,0.039994,0.023482,0.002970,0.000743
17135000,1.3415,0.039994,0.023482,0.002970,0.000787
17136000,1.3415,0.039994,0.023482,0.002970,0.000887
17137000,1.3415,0.039994,0.023482,0.002970,0.000985
17138000,1.3415,0.039994,0.023482,0.002970,0.000743
17139000,1.3415,0.039994,0.023482,0.002970,0.000917
17140000,1.3415,0.039994,0.023482,0.002970,0.000848
17141000,1.3415,0.039994,0.023482,0.002970,0.000766
17142000,1.3415,0.039994,0.023482,0.002970,0.000894
17143000,1.3415,0.039994,0.023482,0.002970,0.000750
17144000,1.3415,0.039994,0.023482,0.002970,0.000850
17145000,1.3415,0.039994,0.023482,0.002970,0.000673
17146000,1.3415,0.039994,0.023482,0.002970,0.000985
17147000,1.3415,0.039994,0.023482,0.002970,0.000796
17148000,1.3415,0.039994,0.023482,0.002970,0.000727
17149000,1.3415,0.039994,0.023482,0.002970,0.000978
17150000,1.3415,0.039994,0.023482,0.002970,0.000826
17151000,1.3415,0.039994,0.023482,0.002970,0.000878
17152000,1.3415,0.039994,0.023482,0.002970,0.000743
