Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,0.2191,0.065854,0.000377,0.000034,0.039512
2000,0.2191,0.065854,0.000377,0.000034,0.039512
3000,0.2191,0.065854,0.000377,0.000034,0.039512
4000,0.2191,0.065854,0.000377,0.000034,0.039512
5000,0.2191,0.065854,0.000377,0.000034,0.039512
6000,0.2191,0.065854,0.000377,0.000034,0.874281
7000,0.2191,0.065854,0.000377,0.000034,0.688577
8000,0.2191,0.065854,0.000377,0.000034,0.353282
9000,0.2191,0.065854,0.000377,0.000034,0.304632
10000,0.2191,0.065854,0.000377,0.000034,0.319533
11000,0.2191,0.065854,0.000377,0.000034,0.313259
12000,0.2191,0.065854,0.000377,0.000034,0.339059
13000,0.2191,0.065854,0.000377,0.000034,0.397746
14000,0.2191,0.065854,0.000377,0.000034,0.455972
15000,0.2191,0.065854,0.000377,0.000034,0.451290
16000,0.2191,0.065854,0.000377,0.000034,0.457200
17000,0.2191,0.065854,0.000377,0.000034,0.439084
18000,0.2191,0.065854,0.000377,0.000034,0.412378
19000,0.2191,0.065854,0.000377,0.000034,0.339633
20000,0.2191,0.065854,0.000377,0.000034,0.281758
21000,0.2191,0.065854,0.000377,0.000034,0.428322
22000,0.2191,0.065854,0.000377,0.000034,0.667008
23000,0.2191,0.065854,0.000377,0.000034,0.638185
24000,0.2191,0.065854,0.000377,0.000034,0.403131
25000,0.2191,0.065854,0.000377,0.000034,0.634788
26000,0.2191,0.065854,0.000377,0.000034,0.791597
27000,0.2191,0.065854,0.000377,0.000034,0.688930
28000,0.2191,0.065854,0.000377,0.000034,0.543922
29000,0.2191,0.065854,0.000377,0.000034,0.468988
30000,0.2191,0.065854,0.000377,0.000034,0.446335
31000,0.2191,0.065854,0.000377,0.000034,0.428076
32000,0.2191,0.065854,0.000377,0.000034,0.415709
33000,0.2191,0.065854,0.000377,0.000034,0.410032
34000,0.2191,0.065854,0.000377,0.000034,0.397896
35000,0.2191,0.065854,0.000377,0.000034,0.401509
36000,0.2191,0.065854,0.000377,0.000034,0.397510
37000,0.2191,0.065854,0.000377,0.000034,0.393845
38000,0.2191,0.065854,0.000377,0.000034,0.401560
39000,0.2191,0.065854,0.000377,0.000034,0.395317
40000,0.2191,0.065854,0.000377,0.000034,0.402003
41000,0.2191,0.065854,0.000377,0.000034,0.396215
42000,0.2191,0.065854,0.000377,0.000034,0.384619
43000,0.2191,0.065854,0.000377,0.000034,0.383253
44000,0.2191,0.065854,0.000377,0.000034,0.392670
45000,0.2191,0.065854,0.000377,0.000034,0.384482
46000,0.2191,0.065854,0.000377,0.000034,0.376905
47000,0.2191,0.065854,0.000377,0.000034,0.388937
48000,0.2191,0.065854,0.000377,0.000034,0.386924
49000,0.2191,0.065854,0.000377,0.000034,0.381600
50000,0.2191,0.065854,0.000377,0.000034,0.381348
51000,0.2191,0.065854,0.000377,0.000034,0.399742
52000,0.2191,0.065854,0.000377,0.000034,0.395671
53000,0.2191,0.065854,0.000377,0.000034,0.374084
54000,0.2191,0.065854,0.000377,0.000034,0.384605
55000,0.2191,0.065854,0.000377,0.000034,0.388747
56000,0.2191,0.065854,0.000377,0.000034,0.377184
57000,0.2191,0.065854,0.000377,0.000034,0.384157
58000,0.2191,0.065854,0.000377,0.000034,0.385269
59000,0.2191,0.065854,0.000377,0.000034,0.380101
60000,0.2191,0.065854,0.000377,0.000034,0.364222
61000,0.2191,0.065854,0.000377,0.000034,0.389043
62000,0.2191,0.065854,0.000377,0.000034,0.367326
63000,0.2191,0.065854,0.000377,0.000034,0.323910
64000,0.2191,0.065854,0.000377,0.000034,0.371133
65000,0.2191,0.065854,0.000377,0.000034,0.373970
66000,0.2191,0.065854,0.000377,0.000034,0.360822
67000,0.2191,0.065854,0.000377,0.000034,0.354146
68000,0.2191,0.065854,0.000377,0.000034,0.386945
69000,0.2191,0.065854,0.000377,0.000034,0.392705
70000,0.2191,0.065854,0.000377,0.000034,0.341644
71000,0.2191,0.065854,0.000377,0.000034,0.386556
72000,0.2191,0.065854,0.000377,0.000034,0.384494
73000,0.2191,0.065854,0.000377,0.000034,0.351920
74000,0.2191,0.065854,0.000377,0.000034,0.357439
75000,0.2191,0.065854,0.000377,0.000034,0.382872
76000,0.2191,0.065854,0.000377,0.000034,0.377960
77000,0.2191,0.065854,0.000377,0.000034,0.344433
78000,0.2191,0.065854,0.000377,0.000034,0.372331
79000,0.2191,0.065854,0.000377,0.000034,0.364645
80000,0.2191,0.065854,0.000377,0.000034,0.360032
81000,0.2191,0.065854,0.000377,0.000034,0.387861
82000,0.2191,0.065854,0.000377,0.000034,0.373267
83000,0.2191,0.065854,0.000377,0.000034,0.359533
84000,0.2191,0.065854,0.000377,0.000034,0.377966
85000,0.2191,0.065854,0.000377,0.000034,0.362873
