Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
4000000,15.7031,5.502199,0.052647,0.006391,3.777786
4001000,15.7031,5.502199,0.052647,0.006391,3.981227
4002000,15.7031,5.502199,0.052647,0.006391,4.567919
4003000,15.7031,5.502199,0.052647,0.006391,3.703054
4004000,15.7031,5.502199,0.052647,0.006391,4.900902
4005000,15.7031,5.502199,0.052647,0.006391,4.906902
4006000,15.7031,5.502199,0.052647,0.006391,4.712593
4007000,15.7031,5.502199,0.052647,0.006391,4.458221
4008000,15.7031,5.502199,0.052647,0.006391,3.977457
4009000,15.7031,5.502199,0.052647,0.006391,4.283937
4010000,15.7031,5.502199,0.052647,0.006391,4.052928
4011000,15.7031,5.502199,0.052647,0.006391,4.824582
4012000,15.7031,5.502199,0.052647,0.006391,5.056307
4013000,15.7031,5.502199,0.052647,0.006391,4.654788
4014000,15.7031,5.502199,0.052647,0.006391,4.147448
4015000,15.7031,5.502199,0.052647,0.006391,4.224558
4016000,15.7031,5.502199,0.052647,0.006391,3.743503
4017000,15.7031,5.502199,0.052647,0.006391,4.066794
4018000,15.7031,5.502199,0.052647,0.006391,5.555283
4019000,15.7031,5.502199,0.052647,0.006391,4.107072
4020000,15.7031,5.502199,0.052647,0.006391,4.090250
4021000,15.7031,5.502199,0.052647,0.006391,4.124805
4022000,15.7031,5.502199,0.052647,0.006391,3.927263
4023000,15.7031,5.502199,0.052647,0.006391,3.638705
4024000,15.7031,5.502199,0.052647,0.006391,3.453327
4025000,15.7031,5.502199,0.052647,0.006391,3.525599
4026000,15.7031,5.502199,0.052647,0.006391,3.312946
4027000,15.7031,5.502199,0.052647,0.006391,4.891736
4028000,15.7031,5.502199,0.052647,0.006391,4.781913
4029000,15.7031,5.502199,0.052647,0.006391,3.979513
4030000,15.7031,5.502199,0.052647,0.006391,4.283219
4031000,15.7031,5.502199,0.052647,0.006391,3.767082
4032000,15.7031,5.502199,0.052647,0.006391,3.704582
4033000,15.7031,5.502199,0.052647,0.006391,3.449008
4034000,15.7031,5.502199,0.052647,0.006391,3.363446
4035000,15.7031,5.502199,0.052647,0.006391,3.510668
4036000,15.7031,5.502199,0.052647,0.006391,3.793688
4037000,15.7031,5.502199,0.052647,0.006391,3.598013
4038000,15.7031,5.502199,0.052647,0.006391,3.424096
4039000,15.7031,5.502199,0.052647,0.006391,3.274884
4040000,15.7031,5.502199,0.052647,0.006391,2.987502
4041000,15.7031,5.502199,0.052647,0.006391,3.130627
