Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
6000000,0.0324,0.013523,0.002678,0.000431,0.043015
6001000,0.0324,0.013523,0.002678,0.000431,0.039137
6002000,0.0324,0.013523,0.002678,0.000431,0.038784
6003000,0.0324,0.013523,0.002678,0.000431,0.040077
6004000,0.0324,0.013523,0.002678,0.000431,0.039842
6005000,0.0324,0.013523,0.002678,0.000431,0.038902
6006000,0.0324,0.013523,0.002678,0.000431,0.040195
6007000,0.0324,0.013523,0.002678,0.000431,0.039019
6008000,0.0324,0.013523,0.002678,0.000431,0.039960
6009000,0.0324,0.013523,0.002678,0.000431,0.039607
6010000,0.0324,0.013523,0.002678,0.000431,0.039725
6011000,0.0324,0.013523,0.002678,0.000431,0.041252
6012000,0.0324,0.013523,0.002678,0.000431,0.041252
6013000,0.0324,0.013523,0.002678,0.000431,0.038432
6014000,0.0324,0.013523,0.002678,0.000431,0.038079
6015000,0.0324,0.013523,0.002678,0.000431,0.038197
6016000,0.0324,0.013523,0.002678,0.000431,0.044308
6017000,0.0324,0.013523,0.002678,0.000431,0.039489
6018000,0.0324,0.013523,0.002678,0.000431,0.039960
6019000,0.0324,0.013523,0.002678,0.000431,0.040782
6020000,0.0324,0.013523,0.002678,0.000431,0.041017
6021000,0.0324,0.013523,0.002678,0.000431,0.038197
6022000,0.0324,0.013523,0.002678,0.000431,0.039960
6023000,0.0324,0.013523,0.002678,0.000431,0.040900
6024000,0.0324,0.013523,0.002678,0.000431,0.038314
6025000,0.0324,0.013523,0.002678,0.000431,0.036316
6026000,0.0324,0.013523,0.002678,0.000431,0.039725
6027000,0.0324,0.013523,0.002678,0.000431,0.041135
6028000,0.0324,0.013523,0.002678,0.000431,0.040547
6029000,0.0324,0.013523,0.002678,0.000431,0.039019
6030000,0.0324,0.013523,0.002678,0.000431,0.039254
6031000,0.0324,0.013523,0.002678,0.000431,0.039137
6032000,0.0324,0.013523,0.002678,0.000431,0.041840
6033000,0.0324,0.013523,0.002678,0.000431,0.039137
6034000,0.0324,0.013523,0.002678,0.000431,0.038314
6035000,0.0324,0.013523,0.002678,0.000431,0.039137
6036000,0.0324,0.013523,0.002678,0.000431,0.040077
6037000,0.0324,0.013523,0.002678,0.000431,0.040430
6038000,0.0324,0.013523,0.002678,0.000431,0.038784
6039000,0.0324,0.013523,0.002678,0.000431,0.040900
6040000,0.0324,0.013523,0.002678,0.000431,0.040547
6041000,0.0324,0.013523,0.002678,0.000431,0.036904
6042000,0.0324,0.013523,0.002678,0.000431,0.041135
6043000,0.0324,0.013523,0.002678,0.000431,0.038784
6044000,0.0324,0.013523,0.002678,0.000431,0.040665
6045000,0.0324,0.013523,0.002678,0.000431,0.037374
6046000,0.0324,0.013523,0.002678,0.000431,0.039607
6047000,0.0324,0.013523,0.002678,0.000431,0.039372
6048000,0.0324,0.013523,0.002678,0.000431,0.038432
6049000,0.0324,0.013523,0.002678,0.000431,0.039489
6050000,0.0324,0.013523,0.002678,0.000431,0.037727
6051000,0.0324,0.013523,0.002678,0.000431,0.039372
6052000,0.0324,0.013523,0.002678,0.000431,0.038902
6053000,0.0324,0.013523,0.002678,0.000431,0.040665
6054000,0.0324,0.013523,0.002678,0.000431,0.037021
6055000,0.0324,0.013523,0.002678,0.000431,0.039019
6056000,0.0324,0.013523,0.002678,0.000431,0.039960
6057000,0.0324,0.013523,0.002678,0.000431,0.041017
6058000,0.0324,0.013523,0.002678,0.000431,0.039489
6059000,0.0324,0.013523,0.002678,0.000431,0.038079
6060000,0.0324,0.013523,0.002678,0.000431,0.037962
6061000,0.0324,0.013523,0.002678,0.000431,0.042075
6062000,0.0324,0.013523,0.002678,0.000431,0.037021
6063000,0.0324,0.013523,0.002678,0.000431,0.038079
6064000,0.0324,0.013523,0.002678,0.000431,0.040195
6065000,0.0324,0.013523,0.002678,0.000431,0.038784
6066000,0.0324,0.013523,0.002678,0.000431,0.037844
6067000,0.0324,0.013523,0.002678,0.000431,0.038432
6068000,0.0324,0.013523,0.002678,0.000431,0.039960
6069000,0.0324,0.013523,0.002678,0.000431,0.040195
6070000,0.0324,0.013523,0.002678,0.000431,0.037374
6071000,0.0324,0.013523,0.002678,0.000431,0.037491
6072000,0.0324,0.013523,0.002678,0.000431,0.040547
6073000,0.0324,0.013523,0.002678,0.000431,0.039489
6074000,0.0324,0.013523,0.002678,0.000431,0.039137
