Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
24000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.033240
24002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021223
24003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.033622
24004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024580
24007000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.033240
24009000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020282
24010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.034564
24011000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021130
24013000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.024681
24014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24015000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.032551
24016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019686
24017000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.035849
24018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038731
24019000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020156
24020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025662
24021000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.031733
24023000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.018682
24024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
24025000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
24026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24027000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025662
24028000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24029000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029184
24030000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24031000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
24032000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
24033000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24034000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025662
24035000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24036000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029184
24037000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24038000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
24039000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
24040000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24041000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025662
24042000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24043000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029184
24044000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.020805
24045000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038089
24046000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
24047000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019864
24048000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.027029
24049000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24050000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029184
24051000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019754
24052000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037924
24053000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037664
24054000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019175
24055000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.028934
24056000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24057000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.027967
24058000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019058
24059000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038205
24060000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038825
24061000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019481
24062000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029098
24063000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24064000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.027498
24065000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.019481
24066000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037571
24067000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037757
24068000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24069000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029098
24070000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.038738
24071000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.025748
24072000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021231
24073000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037571
24074000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.037757
24075000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.021130
24076000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.029198
