Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
11000000,8.6440,0.261844,0.058609,0.079322,0.006537
11001000,8.6440,0.261844,0.058609,0.079322,0.013757
11002000,8.6440,0.261844,0.058609,0.079322,0.012519
11003000,8.6440,0.261844,0.058609,0.079322,0.007163
11004000,8.6440,0.261844,0.058609,0.079322,0.010950
11005000,8.6440,0.261844,0.058609,0.079322,0.013772
11006000,8.6440,0.261844,0.058609,0.079322,0.008682
11007000,8.6440,0.261844,0.058609,0.079322,0.007163
11008000,8.6440,0.261844,0.058609,0.079322,0.013757
11009000,8.6440,0.261844,0.058609,0.079322,0.012519
11010000,8.6440,0.261844,0.058609,0.079322,0.007156
11011000,8.6440,0.261844,0.058609,0.079322,0.010957
11012000,8.6440,0.261844,0.058609,0.079322,0.013772
11013000,8.6440,0.261844,0.058609,0.079322,0.008682
11014000,8.6440,0.261844,0.058609,0.079322,0.007156
11015000,8.6440,0.261844,0.058609,0.079322,0.013765
11016000,8.6440,0.261844,0.058609,0.079322,0.012519
11017000,8.6440,0.261844,0.058609,0.079322,0.005903
11018000,8.6440,0.261844,0.058609,0.079322,0.012210
11019000,8.6440,0.261844,0.058609,0.079322,0.013772
11020000,8.6440,0.261844,0.058609,0.079322,0.008682
11021000,8.6440,0.261844,0.058609,0.079322,0.007149
11022000,8.6440,0.261844,0.058609,0.079322,0.013772
11023000,8.6440,0.261844,0.058609,0.079322,0.012512
11024000,8.6440,0.261844,0.058609,0.079322,0.005910
11025000,8.6440,0.261844,0.058609,0.079322,0.012210
11026000,8.6440,0.261844,0.058609,0.079322,0.013772
11027000,8.6440,0.261844,0.058609,0.079322,0.008668
11028000,8.6440,0.261844,0.058609,0.079322,0.007163
11029000,8.6440,0.261844,0.058609,0.079322,0.013772
11030000,8.6440,0.261844,0.058609,0.079322,0.011259
11031000,8.6440,0.261844,0.058609,0.079322,0.007163
11032000,8.6440,0.261844,0.058609,0.079322,0.012210
11033000,8.6440,0.261844,0.058609,0.079322,0.013772
11034000,8.6440,0.261844,0.058609,0.079322,0.007422
11035000,8.6440,0.261844,0.058609,0.079322,0.008409
11036000,8.6440,0.261844,0.058609,0.079322,0.013772
11037000,8.6440,0.261844,0.058609,0.079322,0.011259
11038000,8.6440,0.261844,0.058609,0.079322,0.007163
11039000,8.6440,0.261844,0.058609,0.079322,0.012210
11040000,8.6440,0.261844,0.058609,0.079322,0.013772
11041000,8.6440,0.261844,0.058609,0.079322,0.007422
11042000,8.6440,0.261844,0.058609,0.079322,0.008409
11043000,8.6440,0.261844,0.058609,0.079322,0.013772
11044000,8.6440,0.261844,0.058609,0.079322,0.011259
11045000,8.6440,0.261844,0.058609,0.079322,0.007156
11046000,8.6440,0.261844,0.058609,0.079322,0.012217
11047000,8.6440,0.261844,0.058609,0.079322,0.013772
11048000,8.6440,0.261844,0.058609,0.079322,0.007422
11049000,8.6440,0.261844,0.058609,0.079322,0.008409
11050000,8.6440,0.261844,0.058609,0.079322,0.013772
11051000,8.6440,0.261844,0.058609,0.079322,0.011252
11052000,8.6440,0.261844,0.058609,0.079322,0.007156
11053000,8.6440,0.261844,0.058609,0.079322,0.012224
11054000,8.6440,0.261844,0.058609,0.079322,0.013772
11055000,8.6440,0.261844,0.058609,0.079322,0.007415
11056000,8.6440,0.261844,0.058609,0.079322,0.008416
11057000,8.6440,0.261844,0.058609,0.079322,0.013772
11058000,8.6440,0.261844,0.058609,0.079322,0.011245
11059000,8.6440,0.261844,0.058609,0.079322,0.006537
11060000,8.6440,0.261844,0.058609,0.079322,0.012851
11061000,8.6440,0.261844,0.058609,0.079322,0.013772
11062000,8.6440,0.261844,0.058609,0.079322,0.007408
11063000,8.6440,0.261844,0.058609,0.079322,0.008423
11064000,8.6440,0.261844,0.058609,0.079322,0.013772
11065000,8.6440,0.261844,0.058609,0.079322,0.010618
11066000,8.6440,0.261844,0.058609,0.079322,0.007163
11067000,8.6440,0.261844,0.058609,0.079322,0.012851
11068000,8.6440,0.261844,0.058609,0.079322,0.013772
11069000,8.6440,0.261844,0.058609,0.079322,0.006781
11070000,8.6440,0.261844,0.058609,0.079322,0.009050
11071000,8.6440,0.261844,0.058609,0.079322,0.013772
11072000,8.6440,0.261844,0.058609,0.079322,0.010618
11073000,8.6440,0.261844,0.058609,0.079322,0.007163
11074000,8.6440,0.261844,0.058609,0.079322,0.012851
11075000,8.6440,0.261844,0.058609,0.079322,0.013390
11076000,8.6440,0.261844,0.058609,0.079322,0.007163
11077000,8.6440,0.261844,0.058609,0.079322,0.009050
11078000,8.6440,0.261844,0.058609,0.079322,0.013772
11079000,8.6440,0.261844,0.058609,0.079322,0.010618
11080000,8.6440,0.261844,0.058609,0.079322,0.007156
11081000,8.6440,0.261844,0.058609,0.079322,0.012858
11082000,8.6440,0.261844,0.058609,0.079322,0.013390
11083000,8.6440,0.261844,0.058609,0.079322,0.007163
11084000,8.6440,0.261844,0.058609,0.079322,0.009050
11085000,8.6440,0.261844,0.058609,0.079322,0.013772
11086000,8.6440,0.261844,0.058609,0.079322,0.010611
11087000,8.6440,0.261844,0.058609,0.079322,0.007142
11088000,8.6440,0.261844,0.058609,0.079322,0.012879
11089000,8.6440,0.261844,0.058609,0.079322,0.013390
11090000,8.6440,0.261844,0.058609,0.079322,0.007156
11091000,8.6440,0.261844,0.058609,0.079322,0.009057
11092000,8.6440,0.261844,0.058609,0.079322,0.013772
11093000,8.6440,0.261844,0.058609,0.079322,0.010597
11094000,8.6440,0.261844,0.058609,0.079322,0.007142
11095000,8.6440,0.261844,0.058609,0.079322,0.012894
11096000,8.6440,0.261844,0.058609,0.079322,0.013383
11097000,8.6440,0.261844,0.058609,0.079322,0.005910
11098000,8.6440,0.261844,0.058609,0.079322,0.010310
11099000,8.6440,0.261844,0.058609,0.079322,0.013772
11100000,8.6440,0.261844,0.058609,0.079322,0.010575
11101000,8.6440,0.261844,0.058609,0.079322,0.005910
11102000,8.6440,0.261844,0.058609,0.079322,0.013138
11103000,8.6440,0.261844,0.058609,0.079322,0.013138
11104000,8.6440,0.261844,0.058609,0.079322,0.007163
11105000,8.6440,0.261844,0.058609,0.079322,0.010310
11106000,8.6440,0.261844,0.058609,0.079322,0.013772
11107000,8.6440,0.261844,0.058609,0.079322,0.009323
11108000,8.6440,0.261844,0.058609,0.079322,0.007163
11109000,8.6440,0.261844,0.058609,0.079322,0.013138
11110000,8.6440,0.261844,0.058609,0.079322,0.013138
11111000,8.6440,0.261844,0.058609,0.079322,0.007163
11112000,8.6440,0.261844,0.058609,0.079322,0.010310
11113000,8.6440,0.261844,0.058609,0.079322,0.013772
11114000,8.6440,0.261844,0.058609,0.079322,0.009323
11115000,8.6440,0.261844,0.058609,0.079322,0.007163
11116000,8.6440,0.261844,0.058609,0.079322,0.013138
11117000,8.6440,0.261844,0.058609,0.079322,0.013138
11118000,8.6440,0.261844,0.058609,0.079322,0.007156
11119000,8.6440,0.261844,0.058609,0.079322,0.010317
11120000,8.6440,0.261844,0.058609,0.079322,0.013772
11121000,8.6440,0.261844,0.058609,0.079322,0.009323
11122000,8.6440,0.261844,0.058609,0.079322,0.007156
11123000,8.6440,0.261844,0.058609,0.079322,0.013138
11124000,8.6440,0.261844,0.058609,0.079322,0.013145
11125000,8.6440,0.261844,0.058609,0.079322,0.007149
11126000,8.6440,0.261844,0.058609,0.079322,0.010324
11127000,8.6440,0.261844,0.058609,0.079322,0.013772
11128000,8.6440,0.261844,0.058609,0.079322,0.009323
11129000,8.6440,0.261844,0.058609,0.079322,0.007149
11130000,8.6440,0.261844,0.058609,0.079322,0.013138
11131000,8.6440,0.261844,0.058609,0.079322,0.013145
11132000,8.6440,0.261844,0.058609,0.079322,0.006530
11133000,8.6440,0.261844,0.058609,0.079322,0.010950
11134000,8.6440,0.261844,0.058609,0.079322,0.013772
11135000,8.6440,0.261844,0.058609,0.079322,0.009308
