Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
21000000,1.6202,0.544831,0.005673,0.000697,0.326993
21001000,1.6202,0.544831,0.005673,0.000697,0.326946
21002000,1.6202,0.544831,0.005673,0.000697,0.326946
21003000,1.6202,0.544831,0.005673,0.000697,0.326993
21004000,1.6202,0.544831,0.005673,0.000697,0.326993
21005000,1.6202,0.544831,0.005673,0.000697,0.326899
21006000,1.6202,0.544831,0.005673,0.000697,0.326993
21007000,1.6202,0.544831,0.005673,0.000697,0.326993
21008000,1.6202,0.544831,0.005673,0.000697,0.326946
21009000,1.6202,0.544831,0.005673,0.000697,0.326946
21010000,1.6202,0.544831,0.005673,0.000697,0.326993
21011000,1.6202,0.544831,0.005673,0.000697,0.326946
21012000,1.6202,0.544831,0.005673,0.000697,0.326946
21013000,1.6202,0.544831,0.005673,0.000697,0.326993
21014000,1.6202,0.544831,0.005673,0.000697,0.326993
21015000,1.6202,0.544831,0.005673,0.000697,0.326946
21016000,1.6202,0.544831,0.005673,0.000697,0.326946
21017000,1.6202,0.544831,0.005673,0.000697,0.326993
21018000,1.6202,0.544831,0.005673,0.000697,0.326946
21019000,1.6202,0.544831,0.005673,0.000697,0.326946
21020000,1.6202,0.544831,0.005673,0.000697,0.326993
21021000,1.6202,0.544831,0.005673,0.000697,0.326993
21022000,1.6202,0.544831,0.005673,0.000697,0.326946
21023000,1.6202,0.544831,0.005673,0.000697,0.326946
21024000,1.6202,0.544831,0.005673,0.000697,0.326993
21025000,1.6202,0.544831,0.005673,0.000697,0.326946
21026000,1.6202,0.544831,0.005673,0.000697,0.326946
21027000,1.6202,0.544831,0.005673,0.000697,0.326993
21028000,1.6202,0.544831,0.005673,0.000697,0.326993
21029000,1.6202,0.544831,0.005673,0.000697,0.326946
21030000,1.6202,0.544831,0.005673,0.000697,0.326946
21031000,1.6202,0.544831,0.005673,0.000697,0.326993
21032000,1.6202,0.544831,0.005673,0.000697,0.326946
21033000,1.6202,0.544831,0.005673,0.000697,0.326946
21034000,1.6202,0.544831,0.005673,0.000697,0.326993
21035000,1.6202,0.544831,0.005673,0.000697,0.326993
21036000,1.6202,0.544831,0.005673,0.000697,0.326946
21037000,1.6202,0.544831,0.005673,0.000697,0.326946
21038000,1.6202,0.544831,0.005673,0.000697,0.326993
21039000,1.6202,0.544831,0.005673,0.000697,0.326946
21040000,1.6202,0.544831,0.005673,0.000697,0.326946
21041000,1.6202,0.544831,0.005673,0.000697,0.326993
21042000,1.6202,0.544831,0.005673,0.000697,0.326993
21043000,1.6202,0.544831,0.005673,0.000697,0.326946
21044000,1.6202,0.544831,0.005673,0.000697,0.326946
21045000,1.6202,0.544831,0.005673,0.000697,0.326993
21046000,1.6202,0.544831,0.005673,0.000697,0.326946
21047000,1.6202,0.544831,0.005673,0.000697,0.326946
21048000,1.6202,0.544831,0.005673,0.000697,0.326993
21049000,1.6202,0.544831,0.005673,0.000697,0.326993
21050000,1.6202,0.544831,0.005673,0.000697,0.326946
21051000,1.6202,0.544831,0.005673,0.000697,0.326946
21052000,1.6202,0.544831,0.005673,0.000697,0.326993
21053000,1.6202,0.544831,0.005673,0.000697,0.326946
21054000,1.6202,0.544831,0.005673,0.000697,0.326946
21055000,1.6202,0.544831,0.005673,0.000697,0.326993
21056000,1.6202,0.544831,0.005673,0.000697,0.326993
21057000,1.6202,0.544831,0.005673,0.000697,0.326946
21058000,1.6202,0.544831,0.005673,0.000697,0.326946
21059000,1.6202,0.544831,0.005673,0.000697,0.326993
21060000,1.6202,0.544831,0.005673,0.000697,0.326946
21061000,1.6202,0.544831,0.005673,0.000697,0.326946
21062000,1.6202,0.544831,0.005673,0.000697,0.326993
21063000,1.6202,0.544831,0.005673,0.000697,0.326993
21064000,1.6202,0.544831,0.005673,0.000697,0.326946
21065000,1.6202,0.544831,0.005673,0.000697,0.327174
21066000,1.6202,0.544831,0.005673,0.000697,0.326993
21067000,1.6202,0.544831,0.005673,0.000697,0.326946
21068000,1.6202,0.544831,0.005673,0.000697,0.326946
21069000,1.6202,0.544831,0.005673,0.000697,0.326993
21070000,1.6202,0.544831,0.005673,0.000697,0.326993
21071000,1.6202,0.544831,0.005673,0.000697,0.326946
21072000,1.6202,0.544831,0.005673,0.000697,0.326946
21073000,1.6202,0.544831,0.005673,0.000697,0.326993
21074000,1.6202,0.544831,0.005673,0.000697,0.326946
21075000,1.6202,0.544831,0.005673,0.000697,0.326946
21076000,1.6202,0.544831,0.005673,0.000697,0.326993
21077000,1.6202,0.544831,0.005673,0.000697,0.326993
21078000,1.6202,0.544831,0.005673,0.000697,0.326946
21079000,1.6202,0.544831,0.005673,0.000697,0.326946
21080000,1.6202,0.544831,0.005673,0.000697,0.326993
21081000,1.6202,0.544831,0.005673,0.000697,0.326946
21082000,1.6202,0.544831,0.005673,0.000697,0.326946
21083000,1.6202,0.544831,0.005673,0.000697,0.326993
21084000,1.6202,0.544831,0.005673,0.000697,0.326993
21085000,1.6202,0.544831,0.005673,0.000697,0.326946
21086000,1.6202,0.544831,0.005673,0.000697,0.326946
21087000,1.6202,0.544831,0.005673,0.000697,0.327221
21088000,1.6202,0.544831,0.005673,0.000697,0.326946
21089000,1.6202,0.544831,0.005673,0.000697,0.326946
21090000,1.6202,0.544831,0.005673,0.000697,0.326993
21091000,1.6202,0.544831,0.005673,0.000697,0.326993
