Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
14000000,15.7031,5.502199,0.052647,0.006391,0.556730
14001000,15.7031,5.502199,0.052647,0.006391,0.551811
14002000,15.7031,5.502199,0.052647,0.006391,0.557225
14003000,15.7031,5.502199,0.052647,0.006391,0.556658
14004000,15.7031,5.502199,0.052647,0.006391,0.554490
14005000,15.7031,5.502199,0.052647,0.006391,0.554626
14006000,15.7031,5.502199,0.052647,0.006391,0.556721
14007000,15.7031,5.502199,0.052647,0.006391,0.556874
14008000,15.7031,5.502199,0.052647,0.006391,0.551811
14009000,15.7031,5.502199,0.052647,0.006391,0.557153
14010000,15.7031,5.502199,0.052647,0.006391,0.556730
14011000,15.7031,5.502199,0.052647,0.006391,0.554490
14012000,15.7031,5.502199,0.052647,0.006391,0.561063
14013000,15.7031,5.502199,0.052647,0.006391,0.556721
14014000,15.7031,5.502199,0.052647,0.006391,0.554059
14015000,15.7031,5.502199,0.052647,0.006391,0.554626
14016000,15.7031,5.502199,0.052647,0.006391,0.557153
14017000,15.7031,5.502199,0.052647,0.006391,0.563166
14018000,15.7031,5.502199,0.052647,0.006391,0.554490
14019000,15.7031,5.502199,0.052647,0.006391,0.554626
14020000,15.7031,5.502199,0.052647,0.006391,0.556721
14021000,15.7031,5.502199,0.052647,0.006391,0.554059
14022000,15.7031,5.502199,0.052647,0.006391,0.554626
14023000,15.7031,5.502199,0.052647,0.006391,0.563590
14024000,15.7031,5.502199,0.052647,0.006391,0.556730
14025000,15.7031,5.502199,0.052647,0.006391,0.554490
14026000,15.7031,5.502199,0.052647,0.006391,0.554626
14027000,15.7031,5.502199,0.052647,0.006391,0.556721
14028000,15.7031,5.502199,0.052647,0.006391,0.554059
14029000,15.7031,5.502199,0.052647,0.006391,0.561517
14030000,15.7031,5.502199,0.052647,0.006391,0.557153
14031000,15.7031,5.502199,0.052647,0.006391,0.556730
14032000,15.7031,5.502199,0.052647,0.006391,0.554490
14033000,15.7031,5.502199,0.052647,0.006391,0.554626
14034000,15.7031,5.502199,0.052647,0.006391,0.556721
14035000,15.7031,5.502199,0.052647,0.006391,0.554059
14036000,15.7031,5.502199,0.052647,0.006391,0.554626
14037000,15.7031,5.502199,0.052647,0.006391,0.557153
14038000,15.7031,5.502199,0.052647,0.006391,0.556658
14039000,15.7031,5.502199,0.052647,0.006391,0.554562
14040000,15.7031,5.502199,0.052647,0.006391,0.554626
14041000,15.7031,5.502199,0.052647,0.006391,0.556721
14042000,15.7031,5.502199,0.052647,0.006391,0.554059
14043000,15.7031,5.502199,0.052647,0.006391,0.554626
14044000,15.7031,5.502199,0.052647,0.006391,0.557081
14045000,15.7031,5.502199,0.052647,0.006391,0.556730
14046000,15.7031,5.502199,0.052647,0.006391,0.554562
14047000,15.7031,5.502199,0.052647,0.006391,0.554626
14048000,15.7031,5.502199,0.052647,0.006391,0.556649
14049000,15.7031,5.502199,0.052647,0.006391,0.554131
14050000,15.7031,5.502199,0.052647,0.006391,0.554626
14051000,15.7031,5.502199,0.052647,0.006391,0.563518
