Cycle,Area(mm^2),PeakPower(W),TotalLeakage(W),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
36000000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36001000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807171
36002000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785280
36003000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.800563
36004000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36005000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796645
36006000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785814
36007000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36008000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.805773
36009000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784206
36010000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809471
36011000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36012000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789127
36013000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786896
36014000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36015000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803854
36016000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792562
36017000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803034
36018000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36019000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787186
36020000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.788836
36021000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36022000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809405
36023000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36024000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803034
36025000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36026000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786431
36027000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796028
36028000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36029000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802969
36030000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36031000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803034
36032000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808589
36033000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793448
36034000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789591
36035000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
36036000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802975
36037000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786127
36038000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.810355
36039000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808589
36040000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786896
36041000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.789706
36042000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
36043000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.802241
36044000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792406
36045000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.804810
36046000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808589
36047000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784488
36048000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792114
36049000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809163
36050000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807880
36051000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.782926
36052000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
36053000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808826
36054000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785544
36055000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.798544
36056000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36057000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.798049
36058000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786320
36059000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
36060000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
36061000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793448
36062000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792108
36063000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36064000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797358
36065000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36066000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.813795
36067000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
36068000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36069000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792108
36070000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36071000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.797358
36072000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793448
36073000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
36074000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
36075000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785764
36076000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793354
36077000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36078000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.803795
36079000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785614
36080000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807509
36081000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
36082000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785366
36083000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.801436
36084000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36085000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796111
36086000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784941
36087000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.808945
36088000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.807359
36089000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.790976
36090000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796310
36091000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36092000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.795628
36093000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.784539
36094000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809448
36095000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.811706
36096000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.787011
36097000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796310
36098000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36099000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793156
36100000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793448
36101000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.805024
36102000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809693
36103000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786990
36104000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.796331
36105000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36106000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793156
36107000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786896
36108000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.805139
36109000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809693
36110000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785179
36111000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.804578
36112000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36113000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.793156
36114000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.785799
36115000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806236
36116000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809096
36117000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.791522
36118000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.798832
36119000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.809169
36120000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.792340
36121000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.786497
36122000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.806354
36123000,40.6137,7.425191,0.693847,6.731343,0.599781,0.094066,8.813607
