Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
6000000,8.6440,0.261844,0.058609,0.079322,4.656057
6001000,8.6440,0.261844,0.058609,0.079322,4.660256
6002000,8.6440,0.261844,0.058609,0.079322,4.563739
6003000,8.6440,0.261844,0.058609,0.079322,4.277568
6004000,8.6440,0.261844,0.058609,0.079322,4.410089
6005000,8.6440,0.261844,0.058609,0.079322,4.611888
6006000,8.6440,0.261844,0.058609,0.079322,4.485814
6007000,8.6440,0.261844,0.058609,0.079322,4.582177
6008000,8.6440,0.261844,0.058609,0.079322,4.085965
6009000,8.6440,0.261844,0.058609,0.079322,4.455041
6010000,8.6440,0.261844,0.058609,0.079322,4.605996
6011000,8.6440,0.261844,0.058609,0.079322,4.008333
6012000,8.6440,0.261844,0.058609,0.079322,4.323033
6013000,8.6440,0.261844,0.058609,0.079322,4.082727
6014000,8.6440,0.261844,0.058609,0.079322,4.359730
6015000,8.6440,0.261844,0.058609,0.079322,4.326896
6016000,8.6440,0.261844,0.058609,0.079322,4.175651
6017000,8.6440,0.261844,0.058609,0.079322,4.291007
6018000,8.6440,0.261844,0.058609,0.079322,4.556764
6019000,8.6440,0.261844,0.058609,0.079322,4.557211
6020000,8.6440,0.261844,0.058609,0.079322,4.295793
6021000,8.6440,0.261844,0.058609,0.079322,4.413762
6022000,8.6440,0.261844,0.058609,0.079322,4.299021
6023000,8.6440,0.261844,0.058609,0.079322,4.113769
6024000,8.6440,0.261844,0.058609,0.079322,4.885437
6025000,8.6440,0.261844,0.058609,0.079322,3.882530
6026000,8.6440,0.261844,0.058609,0.079322,4.360144
6027000,8.6440,0.261844,0.058609,0.079322,4.094262
6028000,8.6440,0.261844,0.058609,0.079322,4.219234
6029000,8.6440,0.261844,0.058609,0.079322,4.169996
6030000,8.6440,0.261844,0.058609,0.079322,4.526312
6031000,8.6440,0.261844,0.058609,0.079322,4.012563
6032000,8.6440,0.261844,0.058609,0.079322,4.465854
6033000,8.6440,0.261844,0.058609,0.079322,4.226459
6034000,8.6440,0.261844,0.058609,0.079322,4.288499
6035000,8.6440,0.261844,0.058609,0.079322,4.496236
6036000,8.6440,0.261844,0.058609,0.079322,4.343115
6037000,8.6440,0.261844,0.058609,0.079322,4.311127
6038000,8.6440,0.261844,0.058609,0.079322,4.345762
6039000,8.6440,0.261844,0.058609,0.079322,4.878645
6040000,8.6440,0.261844,0.058609,0.079322,3.859473
6041000,8.6440,0.261844,0.058609,0.079322,4.058455
6042000,8.6440,0.261844,0.058609,0.079322,4.218119
6043000,8.6440,0.261844,0.058609,0.079322,4.197979
6044000,8.6440,0.261844,0.058609,0.079322,4.527193
6045000,8.6440,0.261844,0.058609,0.079322,4.179833
6046000,8.6440,0.261844,0.058609,0.079322,4.260796
6047000,8.6440,0.261844,0.058609,0.079322,4.188172
6048000,8.6440,0.261844,0.058609,0.079322,4.502223
6049000,8.6440,0.261844,0.058609,0.079322,4.399161
6050000,8.6440,0.261844,0.058609,0.079322,4.321962
6051000,8.6440,0.261844,0.058609,0.079322,4.618818
6052000,8.6440,0.261844,0.058609,0.079322,3.959402
6053000,8.6440,0.261844,0.058609,0.079322,4.303068
6054000,8.6440,0.261844,0.058609,0.079322,4.454869
6055000,8.6440,0.261844,0.058609,0.079322,4.206598
6056000,8.6440,0.261844,0.058609,0.079322,4.398501
6057000,8.6440,0.261844,0.058609,0.079322,4.554168
6058000,8.6440,0.261844,0.058609,0.079322,4.208185
6059000,8.6440,0.261844,0.058609,0.079322,4.502692
6060000,8.6440,0.261844,0.058609,0.079322,4.350531
6061000,8.6440,0.261844,0.058609,0.079322,4.332738
6062000,8.6440,0.261844,0.058609,0.079322,4.173935
6063000,8.6440,0.261844,0.058609,0.079322,3.973278
