Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
16000000,0.2191,0.065854,0.000377,0.000034,1.044060
16001000,0.2191,0.065854,0.000377,0.000034,1.029945
16002000,0.2191,0.065854,0.000377,0.000034,1.035502
16003000,0.2191,0.065854,0.000377,0.000034,1.027781
16004000,0.2191,0.065854,0.000377,0.000034,0.958358
16005000,0.2191,0.065854,0.000377,0.000034,1.088566
16006000,0.2191,0.065854,0.000377,0.000034,0.997427
16007000,0.2191,0.065854,0.000377,0.000034,0.961788
16008000,0.2191,0.065854,0.000377,0.000034,1.063268
16009000,0.2191,0.065854,0.000377,0.000034,1.021307
16010000,0.2191,0.065854,0.000377,0.000034,1.003188
16011000,0.2191,0.065854,0.000377,0.000034,1.078537
16012000,0.2191,0.065854,0.000377,0.000034,1.009704
16013000,0.2191,0.065854,0.000377,0.000034,1.139151
16014000,0.2191,0.065854,0.000377,0.000034,1.040330
16015000,0.2191,0.065854,0.000377,0.000034,1.067103
16016000,0.2191,0.065854,0.000377,0.000034,1.033068
16017000,0.2191,0.065854,0.000377,0.000034,1.041114
16018000,0.2191,0.065854,0.000377,0.000034,0.973793
16019000,0.2191,0.065854,0.000377,0.000034,1.060524
16020000,0.2191,0.065854,0.000377,0.000034,0.973732
16021000,0.2191,0.065854,0.000377,0.000034,0.982705
16022000,0.2191,0.065854,0.000377,0.000034,0.963363
16023000,0.2191,0.065854,0.000377,0.000034,1.013740
16024000,0.2191,0.065854,0.000377,0.000034,0.961290
16025000,0.2191,0.065854,0.000377,0.000034,0.959172
16026000,0.2191,0.065854,0.000377,0.000034,0.989385
16027000,0.2191,0.065854,0.000377,0.000034,0.968221
16028000,0.2191,0.065854,0.000377,0.000034,1.009811
16029000,0.2191,0.065854,0.000377,0.000034,1.002850
16030000,0.2191,0.065854,0.000377,0.000034,0.986246
16031000,0.2191,0.065854,0.000377,0.000034,0.960839
16032000,0.2191,0.065854,0.000377,0.000034,0.942194
16033000,0.2191,0.065854,0.000377,0.000034,0.905114
16034000,0.2191,0.065854,0.000377,0.000034,1.005822
16035000,0.2191,0.065854,0.000377,0.000034,0.985356
16036000,0.2191,0.065854,0.000377,0.000034,0.946400
16037000,0.2191,0.065854,0.000377,0.000034,0.931672
16038000,0.2191,0.065854,0.000377,0.000034,1.000275
16039000,0.2191,0.065854,0.000377,0.000034,0.990667
16040000,0.2191,0.065854,0.000377,0.000034,1.066088
16041000,0.2191,0.065854,0.000377,0.000034,0.997397
16042000,0.2191,0.065854,0.000377,0.000034,0.953285
16043000,0.2191,0.065854,0.000377,0.000034,1.032114
16044000,0.2191,0.065854,0.000377,0.000034,1.033018
16045000,0.2191,0.065854,0.000377,0.000034,1.024626
16046000,0.2191,0.065854,0.000377,0.000034,0.943067
16047000,0.2191,0.065854,0.000377,0.000034,1.034116
16048000,0.2191,0.065854,0.000377,0.000034,1.003270
16049000,0.2191,0.065854,0.000377,0.000034,1.002931
16050000,0.2191,0.065854,0.000377,0.000034,1.052209
16051000,0.2191,0.065854,0.000377,0.000034,0.919072
16052000,0.2191,0.065854,0.000377,0.000034,1.107298
16053000,0.2191,0.065854,0.000377,0.000034,0.913502
16054000,0.2191,0.065854,0.000377,0.000034,1.000784
16055000,0.2191,0.065854,0.000377,0.000034,1.034872
16056000,0.2191,0.065854,0.000377,0.000034,0.980635
16057000,0.2191,0.065854,0.000377,0.000034,1.000617
16058000,0.2191,0.065854,0.000377,0.000034,1.003657
16059000,0.2191,0.065854,0.000377,0.000034,1.044844
16060000,0.2191,0.065854,0.000377,0.000034,0.932407
16061000,0.2191,0.065854,0.000377,0.000034,1.013077
16062000,0.2191,0.065854,0.000377,0.000034,1.003998
16063000,0.2191,0.065854,0.000377,0.000034,1.029334
16064000,0.2191,0.065854,0.000377,0.000034,1.011718
16065000,0.2191,0.065854,0.000377,0.000034,0.941850
16066000,0.2191,0.065854,0.000377,0.000034,0.940417
16067000,0.2191,0.065854,0.000377,0.000034,0.950777
16068000,0.2191,0.065854,0.000377,0.000034,0.965031
16069000,0.2191,0.065854,0.000377,0.000034,0.969309
