Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
5000000,1.6202,0.544831,0.005673,0.000697,0.460168
5001000,1.6202,0.544831,0.005673,0.000697,0.457631
5002000,1.6202,0.544831,0.005673,0.000697,0.459435
5003000,1.6202,0.544831,0.005673,0.000697,0.470449
5004000,1.6202,0.544831,0.005673,0.000697,0.475013
5005000,1.6202,0.544831,0.005673,0.000697,0.465972
5006000,1.6202,0.544831,0.005673,0.000697,0.460428
5007000,1.6202,0.544831,0.005673,0.000697,0.461964
5008000,1.6202,0.544831,0.005673,0.000697,0.462127
5009000,1.6202,0.544831,0.005673,0.000697,0.465755
5010000,1.6202,0.544831,0.005673,0.000697,0.466965
5011000,1.6202,0.544831,0.005673,0.000697,0.462261
5012000,1.6202,0.544831,0.005673,0.000697,0.466019
5013000,1.6202,0.544831,0.005673,0.000697,0.469051
5014000,1.6202,0.544831,0.005673,0.000697,0.471494
5015000,1.6202,0.544831,0.005673,0.000697,0.467562
5016000,1.6202,0.544831,0.005673,0.000697,0.467703
5017000,1.6202,0.544831,0.005673,0.000697,0.463623
5018000,1.6202,0.544831,0.005673,0.000697,0.456442
5019000,1.6202,0.544831,0.005673,0.000697,0.456186
5020000,1.6202,0.544831,0.005673,0.000697,0.458925
5021000,1.6202,0.544831,0.005673,0.000697,0.462087
5022000,1.6202,0.544831,0.005673,0.000697,0.462394
5023000,1.6202,0.544831,0.005673,0.000697,0.468180
5024000,1.6202,0.544831,0.005673,0.000697,0.481951
5025000,1.6202,0.544831,0.005673,0.000697,0.477127
5026000,1.6202,0.544831,0.005673,0.000697,0.476657
5027000,1.6202,0.544831,0.005673,0.000697,0.469159
5028000,1.6202,0.544831,0.005673,0.000697,0.464555
5029000,1.6202,0.544831,0.005673,0.000697,0.462326
5030000,1.6202,0.544831,0.005673,0.000697,0.466107
5031000,1.6202,0.544831,0.005673,0.000697,0.480616
5032000,1.6202,0.544831,0.005673,0.000697,0.468588
5033000,1.6202,0.544831,0.005673,0.000697,0.467287
5034000,1.6202,0.544831,0.005673,0.000697,0.480314
5035000,1.6202,0.544831,0.005673,0.000697,0.473105
5036000,1.6202,0.544831,0.005673,0.000697,0.467428
5037000,1.6202,0.544831,0.005673,0.000697,0.462159
5038000,1.6202,0.544831,0.005673,0.000697,0.463663
5039000,1.6202,0.544831,0.005673,0.000697,0.463193
5040000,1.6202,0.544831,0.005673,0.000697,0.464382
5041000,1.6202,0.544831,0.005673,0.000697,0.467576
5042000,1.6202,0.544831,0.005673,0.000697,0.461610
5043000,1.6202,0.544831,0.005673,0.000697,0.459670
5044000,1.6202,0.544831,0.005673,0.000697,0.463135
5045000,1.6202,0.544831,0.005673,0.000697,0.467301
5046000,1.6202,0.544831,0.005673,0.000697,0.467771
5047000,1.6202,0.544831,0.005673,0.000697,0.460356
5048000,1.6202,0.544831,0.005673,0.000697,0.461220
5049000,1.6202,0.544831,0.005673,0.000697,0.462148
5050000,1.6202,0.544831,0.005673,0.000697,0.461375
5051000,1.6202,0.544831,0.005673,0.000697,0.463026
5052000,1.6202,0.544831,0.005673,0.000697,0.466153
5053000,1.6202,0.544831,0.005673,0.000697,0.470080
5054000,1.6202,0.544831,0.005673,0.000697,0.471302
5055000,1.6202,0.544831,0.005673,0.000697,0.476408
5056000,1.6202,0.544831,0.005673,0.000697,0.467818
5057000,1.6202,0.544831,0.005673,0.000697,0.469857
5058000,1.6202,0.544831,0.005673,0.000697,0.469798
5059000,1.6202,0.544831,0.005673,0.000697,0.468483
5060000,1.6202,0.544831,0.005673,0.000697,0.469704
5061000,1.6202,0.544831,0.005673,0.000697,0.468314
5062000,1.6202,0.544831,0.005673,0.000697,0.470655
5063000,1.6202,0.544831,0.005673,0.000697,0.467973
5064000,1.6202,0.544831,0.005673,0.000697,0.471595
5065000,1.6202,0.544831,0.005673,0.000697,0.471898
5066000,1.6202,0.544831,0.005673,0.000697,0.472039
5067000,1.6202,0.544831,0.005673,0.000697,0.476032
5068000,1.6202,0.544831,0.005673,0.000697,0.463454
5069000,1.6202,0.544831,0.005673,0.000697,0.459745
5070000,1.6202,0.544831,0.005673,0.000697,0.461671
5071000,1.6202,0.544831,0.005673,0.000697,0.464816
5072000,1.6202,0.544831,0.005673,0.000697,0.460999
5073000,1.6202,0.544831,0.005673,0.000697,0.467193
5074000,1.6202,0.544831,0.005673,0.000697,0.466651
5075000,1.6202,0.544831,0.005673,0.000697,0.468248
5076000,1.6202,0.544831,0.005673,0.000697,0.466033
5077000,1.6202,0.544831,0.005673,0.000697,0.464255
5078000,1.6202,0.544831,0.005673,0.000697,0.466481
5079000,1.6202,0.544831,0.005673,0.000697,0.470167
5080000,1.6202,0.544831,0.005673,0.000697,0.471978
5081000,1.6202,0.544831,0.005673,0.000697,0.470221
5082000,1.6202,0.544831,0.005673,0.000697,0.471428
5083000,1.6202,0.544831,0.005673,0.000697,0.470153
5084000,1.6202,0.544831,0.005673,0.000697,0.476697
5085000,1.6202,0.544831,0.005673,0.000697,0.472993
5086000,1.6202,0.544831,0.005673,0.000697,0.461675
5087000,1.6202,0.544831,0.005673,0.000697,0.461643
5088000,1.6202,0.544831,0.005673,0.000697,0.464342
5089000,1.6202,0.544831,0.005673,0.000697,0.466557
5090000,1.6202,0.544831,0.005673,0.000697,0.468650
5091000,1.6202,0.544831,0.005673,0.000697,0.470879
5092000,1.6202,0.544831,0.005673,0.000697,0.472180
5093000,1.6202,0.544831,0.005673,0.000697,0.470261
5094000,1.6202,0.544831,0.005673,0.000697,0.475281
5095000,1.6202,0.544831,0.005673,0.000697,0.478891
5096000,1.6202,0.544831,0.005673,0.000697,0.469918
5097000,1.6202,0.544831,0.005673,0.000697,0.465086
5098000,1.6202,0.544831,0.005673,0.000697,0.472039
5099000,1.6202,0.544831,0.005673,0.000697,0.483386
5100000,1.6202,0.544831,0.005673,0.000697,0.487621
5101000,1.6202,0.544831,0.005673,0.000697,0.468133
5102000,1.6202,0.544831,0.005673,0.000697,0.468321
5103000,1.6202,0.544831,0.005673,0.000697,0.468039
5104000,1.6202,0.544831,0.005673,0.000697,0.467731
