Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000000,1.6202,0.544831,0.005673,0.000697,0.407662
1001000,1.6202,0.544831,0.005673,0.000697,0.407622
1002000,1.6202,0.544831,0.005673,0.000697,0.392181
1003000,1.6202,0.544831,0.005673,0.000697,0.391546
1004000,1.6202,0.544831,0.005673,0.000697,0.399480
1005000,1.6202,0.544831,0.005673,0.000697,0.393905
1006000,1.6202,0.544831,0.005673,0.000697,0.385214
1007000,1.6202,0.544831,0.005673,0.000697,0.405692
1008000,1.6202,0.544831,0.005673,0.000697,0.402227
1009000,1.6202,0.544831,0.005673,0.000697,0.393644
1010000,1.6202,0.544831,0.005673,0.000697,0.389644
1011000,1.6202,0.544831,0.005673,0.000697,0.384885
1012000,1.6202,0.544831,0.005673,0.000697,0.379135
1013000,1.6202,0.544831,0.005673,0.000697,0.381839
1014000,1.6202,0.544831,0.005673,0.000697,0.368518
1015000,1.6202,0.544831,0.005673,0.000697,0.368131
1016000,1.6202,0.544831,0.005673,0.000697,0.394284
1017000,1.6202,0.544831,0.005673,0.000697,0.398241
1018000,1.6202,0.544831,0.005673,0.000697,0.383901
1019000,1.6202,0.544831,0.005673,0.000697,0.407496
1020000,1.6202,0.544831,0.005673,0.000697,0.407160
1021000,1.6202,0.544831,0.005673,0.000697,0.408905
1022000,1.6202,0.544831,0.005673,0.000697,0.409783
1023000,1.6202,0.544831,0.005673,0.000697,0.416830
1024000,1.6202,0.544831,0.005673,0.000697,0.412888
1025000,1.6202,0.544831,0.005673,0.000697,0.415045
1026000,1.6202,0.544831,0.005673,0.000697,0.421337
1027000,1.6202,0.544831,0.005673,0.000697,0.413051
1028000,1.6202,0.544831,0.005673,0.000697,0.399011
1029000,1.6202,0.544831,0.005673,0.000697,0.389586
1030000,1.6202,0.544831,0.005673,0.000697,0.402126
1031000,1.6202,0.544831,0.005673,0.000697,0.388918
1032000,1.6202,0.544831,0.005673,0.000697,0.382225
1033000,1.6202,0.544831,0.005673,0.000697,0.382299
1034000,1.6202,0.544831,0.005673,0.000697,0.372833
1035000,1.6202,0.544831,0.005673,0.000697,0.380545
1036000,1.6202,0.544831,0.005673,0.000697,0.373672
1037000,1.6202,0.544831,0.005673,0.000697,0.377238
1038000,1.6202,0.544831,0.005673,0.000697,0.390003
1039000,1.6202,0.544831,0.005673,0.000697,0.388437
1040000,1.6202,0.544831,0.005673,0.000697,0.385766
1041000,1.6202,0.544831,0.005673,0.000697,0.391436
1042000,1.6202,0.544831,0.005673,0.000697,0.391990
1043000,1.6202,0.544831,0.005673,0.000697,0.371652
1044000,1.6202,0.544831,0.005673,0.000697,0.386165
1045000,1.6202,0.544831,0.005673,0.000697,0.425426
1046000,1.6202,0.544831,0.005673,0.000697,0.453409
1047000,1.6202,0.544831,0.005673,0.000697,0.413852
1048000,1.6202,0.544831,0.005673,0.000697,0.400572
1049000,1.6202,0.544831,0.005673,0.000697,0.411395
1050000,1.6202,0.544831,0.005673,0.000697,0.402815
1051000,1.6202,0.544831,0.005673,0.000697,0.402008
1052000,1.6202,0.544831,0.005673,0.000697,0.388021
1053000,1.6202,0.544831,0.005673,0.000697,0.386164
1054000,1.6202,0.544831,0.005673,0.000697,0.410004
1055000,1.6202,0.544831,0.005673,0.000697,0.398924
1056000,1.6202,0.544831,0.005673,0.000697,0.379215
1057000,1.6202,0.544831,0.005673,0.000697,0.382001
1058000,1.6202,0.544831,0.005673,0.000697,0.393508
1059000,1.6202,0.544831,0.005673,0.000697,0.405426
1060000,1.6202,0.544831,0.005673,0.000697,0.383946
1061000,1.6202,0.544831,0.005673,0.000697,0.378409
1062000,1.6202,0.544831,0.005673,0.000697,0.391451
1063000,1.6202,0.544831,0.005673,0.000697,0.377513
1064000,1.6202,0.544831,0.005673,0.000697,0.377068
1065000,1.6202,0.544831,0.005673,0.000697,0.397247
1066000,1.6202,0.544831,0.005673,0.000697,0.401739
1067000,1.6202,0.544831,0.005673,0.000697,0.385388
1068000,1.6202,0.544831,0.005673,0.000697,0.388296
1069000,1.6202,0.544831,0.005673,0.000697,0.371062
1070000,1.6202,0.544831,0.005673,0.000697,0.365782
1071000,1.6202,0.544831,0.005673,0.000697,0.371804
1072000,1.6202,0.544831,0.005673,0.000697,0.377380
1073000,1.6202,0.544831,0.005673,0.000697,0.399222
1074000,1.6202,0.544831,0.005673,0.000697,0.445101
1075000,1.6202,0.544831,0.005673,0.000697,0.418044
1076000,1.6202,0.544831,0.005673,0.000697,0.399678
1077000,1.6202,0.544831,0.005673,0.000697,0.403433
1078000,1.6202,0.544831,0.005673,0.000697,0.412500
1079000,1.6202,0.544831,0.005673,0.000697,0.396160
1080000,1.6202,0.544831,0.005673,0.000697,0.404710
1081000,1.6202,0.544831,0.005673,0.000697,0.407745
1082000,1.6202,0.544831,0.005673,0.000697,0.400547
1083000,1.6202,0.544831,0.005673,0.000697,0.418388
1084000,1.6202,0.544831,0.005673,0.000697,0.408844
1085000,1.6202,0.544831,0.005673,0.000697,0.393985
1086000,1.6202,0.544831,0.005673,0.000697,0.394039
1087000,1.6202,0.544831,0.005673,0.000697,0.386396
1088000,1.6202,0.544831,0.005673,0.000697,0.383635
1089000,1.6202,0.544831,0.005673,0.000697,0.381369
1090000,1.6202,0.544831,0.005673,0.000697,0.385358
1091000,1.6202,0.544831,0.005673,0.000697,0.392185
1092000,1.6202,0.544831,0.005673,0.000697,0.389133
1093000,1.6202,0.544831,0.005673,0.000697,0.406965
1094000,1.6202,0.544831,0.005673,0.000697,0.395798
1095000,1.6202,0.544831,0.005673,0.000697,0.390110
