Cycle,Area(mm^2),PeakDynamic(W),PeakDynamicEnergy(W),clockRate(MHz),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
3000000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.052863
3001000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.034063
3002000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.133918
3003000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.056330
3004000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.074471
3005000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.133426
3006000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.074375
3007000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.072010
3008000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.084113
3009000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.033485
3010000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.085564
3011000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.122577
3012000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.160247
3013000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.069445
3014000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.062078
3015000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.178523
3016000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.082914
3017000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.075835
3018000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.085463
3019000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.075883
3020000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.051293
3021000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.093121
3022000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.128892
3023000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.065852
3024000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.095372
3025000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.130522
3026000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.126583
3027000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.079025
3028000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.070901
3029000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.104393
3030000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.014893
3031000,13.0892,0.726309,0.000000,700000000.000000,0.432316,0.001509,0.048157
