Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
18000000,15.7031,5.502199,0.052647,0.006391,0.602279
18001000,15.7031,5.502199,0.052647,0.006391,0.641954
18002000,15.7031,5.502199,0.052647,0.006391,0.579347
18003000,15.7031,5.502199,0.052647,0.006391,0.585759
18004000,15.7031,5.502199,0.052647,0.006391,0.572887
18005000,15.7031,5.502199,0.052647,0.006391,0.608075
18006000,15.7031,5.502199,0.052647,0.006391,0.583018
18007000,15.7031,5.502199,0.052647,0.006391,0.598479
18008000,15.7031,5.502199,0.052647,0.006391,0.608899
18009000,15.7031,5.502199,0.052647,0.006391,0.572823
18010000,15.7031,5.502199,0.052647,0.006391,0.586113
18011000,15.7031,5.502199,0.052647,0.006391,0.597454
18012000,15.7031,5.502199,0.052647,0.006391,0.617739
18013000,15.7031,5.502199,0.052647,0.006391,0.639574
18014000,15.7031,5.502199,0.052647,0.006391,0.576998
18015000,15.7031,5.502199,0.052647,0.006391,0.582970
18016000,15.7031,5.502199,0.052647,0.006391,0.598703
18017000,15.7031,5.502199,0.052647,0.006391,0.593261
18018000,15.7031,5.502199,0.052647,0.006391,0.582177
18019000,15.7031,5.502199,0.052647,0.006391,0.591522
18020000,15.7031,5.502199,0.052647,0.006391,0.595690
18021000,15.7031,5.502199,0.052647,0.006391,0.608299
18022000,15.7031,5.502199,0.052647,0.006391,0.575468
18023000,15.7031,5.502199,0.052647,0.006391,0.576959
18024000,15.7031,5.502199,0.052647,0.006391,0.567357
18025000,15.7031,5.502199,0.052647,0.006391,0.576774
18026000,15.7031,5.502199,0.052647,0.006391,0.633264
18027000,15.7031,5.502199,0.052647,0.006391,0.590529
18028000,15.7031,5.502199,0.052647,0.006391,0.578200
18029000,15.7031,5.502199,0.052647,0.006391,0.562315
18030000,15.7031,5.502199,0.052647,0.006391,0.582929
18031000,15.7031,5.502199,0.052647,0.006391,0.570154
18032000,15.7031,5.502199,0.052647,0.006391,0.623559
18033000,15.7031,5.502199,0.052647,0.006391,0.609565
18034000,15.7031,5.502199,0.052647,0.006391,0.640454
18035000,15.7031,5.502199,0.052647,0.006391,0.574546
18036000,15.7031,5.502199,0.052647,0.006391,0.586544
18037000,15.7031,5.502199,0.052647,0.006391,0.584037
18038000,15.7031,5.502199,0.052647,0.006391,0.581567
18039000,15.7031,5.502199,0.052647,0.006391,0.577039
18040000,15.7031,5.502199,0.052647,0.006391,0.583338
18041000,15.7031,5.502199,0.052647,0.006391,0.562083
18042000,15.7031,5.502199,0.052647,0.006391,0.575356
18043000,15.7031,5.502199,0.052647,0.006391,0.569858
18044000,15.7031,5.502199,0.052647,0.006391,0.583034
18045000,15.7031,5.502199,0.052647,0.006391,0.595641
18046000,15.7031,5.502199,0.052647,0.006391,0.630611
18047000,15.7031,5.502199,0.052647,0.006391,0.595250
18048000,15.7031,5.502199,0.052647,0.006391,0.575068
18049000,15.7031,5.502199,0.052647,0.006391,0.577624
18050000,15.7031,5.502199,0.052647,0.006391,0.570082
18051000,15.7031,5.502199,0.052647,0.006391,0.619015
18052000,15.7031,5.502199,0.052647,0.006391,0.588020
18053000,15.7031,5.502199,0.052647,0.006391,0.604002
18054000,15.7031,5.502199,0.052647,0.006391,0.595458
18055000,15.7031,5.502199,0.052647,0.006391,0.577600
18056000,15.7031,5.502199,0.052647,0.006391,0.573078
18057000,15.7031,5.502199,0.052647,0.006391,0.603490
18058000,15.7031,5.502199,0.052647,0.006391,0.598518
18059000,15.7031,5.502199,0.052647,0.006391,0.634621
18060000,15.7031,5.502199,0.052647,0.006391,0.603490
18061000,15.7031,5.502199,0.052647,0.006391,0.575123
18062000,15.7031,5.502199,0.052647,0.006391,0.580253
18063000,15.7031,5.502199,0.052647,0.006391,0.574979
18064000,15.7031,5.502199,0.052647,0.006391,0.601468
18065000,15.7031,5.502199,0.052647,0.006391,0.624151
18066000,15.7031,5.502199,0.052647,0.006391,0.604347
18067000,15.7031,5.502199,0.052647,0.006391,0.615400
18068000,15.7031,5.502199,0.052647,0.006391,0.572791
18069000,15.7031,5.502199,0.052647,0.006391,0.611376
18070000,15.7031,5.502199,0.052647,0.006391,0.575419
18071000,15.7031,5.502199,0.052647,0.006391,0.632136
18072000,15.7031,5.502199,0.052647,0.006391,0.585975
18073000,15.7031,5.502199,0.052647,0.006391,0.612971
18074000,15.7031,5.502199,0.052647,0.006391,0.563445
18075000,15.7031,5.502199,0.052647,0.006391,0.565096
18076000,15.7031,5.502199,0.052647,0.006391,0.593109
18077000,15.7031,5.502199,0.052647,0.006391,0.596781
18078000,15.7031,5.502199,0.052647,0.006391,0.600018
18079000,15.7031,5.502199,0.052647,0.006391,0.607118
18080000,15.7031,5.502199,0.052647,0.006391,0.590673
18081000,15.7031,5.502199,0.052647,0.006391,0.587025
18082000,15.7031,5.502199,0.052647,0.006391,0.576406
18083000,15.7031,5.502199,0.052647,0.006391,0.580640
18084000,15.7031,5.502199,0.052647,0.006391,0.603064
18085000,15.7031,5.502199,0.052647,0.006391,0.610967
18086000,15.7031,5.502199,0.052647,0.006391,0.573520
18087000,15.7031,5.502199,0.052647,0.006391,0.575203
18088000,15.7031,5.502199,0.052647,0.006391,0.576942
18089000,15.7031,5.502199,0.052647,0.006391,0.563581
18090000,15.7031,5.502199,0.052647,0.006391,0.603761
18091000,15.7031,5.502199,0.052647,0.006391,0.595859
18092000,15.7031,5.502199,0.052647,0.006391,0.577760
18093000,15.7031,5.502199,0.052647,0.006391,0.580405
18094000,15.7031,5.502199,0.052647,0.006391,0.569769
18095000,15.7031,5.502199,0.052647,0.006391,0.598280
18096000,15.7031,5.502199,0.052647,0.006391,0.564800
18097000,15.7031,5.502199,0.052647,0.006391,0.639765
18098000,15.7031,5.502199,0.052647,0.006391,0.627205
18099000,15.7031,5.502199,0.052647,0.006391,0.601149
18100000,15.7031,5.502199,0.052647,0.006391,0.562243
18101000,15.7031,5.502199,0.052647,0.006391,0.580253
18102000,15.7031,5.502199,0.052647,0.006391,0.574137
18103000,15.7031,5.502199,0.052647,0.006391,0.598944
18104000,15.7031,5.502199,0.052647,0.006391,0.629883
18105000,15.7031,5.502199,0.052647,0.006391,0.596420
18106000,15.7031,5.502199,0.052647,0.006391,0.588067
18107000,15.7031,5.502199,0.052647,0.006391,0.587326
18108000,15.7031,5.502199,0.052647,0.006391,0.575444
18109000,15.7031,5.502199,0.052647,0.006391,0.562315
18110000,15.7031,5.502199,0.052647,0.006391,0.627173
18111000,15.7031,5.502199,0.052647,0.006391,0.596340
18112000,15.7031,5.502199,0.052647,0.006391,0.576663
18113000,15.7031,5.502199,0.052647,0.006391,0.563197
18114000,15.7031,5.502199,0.052647,0.006391,0.574554
18115000,15.7031,5.502199,0.052647,0.006391,0.586890
18116000,15.7031,5.502199,0.052647,0.006391,0.588067
18117000,15.7031,5.502199,0.052647,0.006391,0.624752
18118000,15.7031,5.502199,0.052647,0.006391,0.570082
18119000,15.7031,5.502199,0.052647,0.006391,0.606262
18120000,15.7031,5.502199,0.052647,0.006391,0.572575
18121000,15.7031,5.502199,0.052647,0.006391,0.580477
18122000,15.7031,5.502199,0.052647,0.006391,0.575051
18123000,15.7031,5.502199,0.052647,0.006391,0.585831
18124000,15.7031,5.502199,0.052647,0.006391,0.619295
18125000,15.7031,5.502199,0.052647,0.006391,0.601244
18126000,15.7031,5.502199,0.052647,0.006391,0.564808
18127000,15.7031,5.502199,0.052647,0.006391,0.569521
18128000,15.7031,5.502199,0.052647,0.006391,0.609869
18129000,15.7031,5.502199,0.052647,0.006391,0.575010
18130000,15.7031,5.502199,0.052647,0.006391,0.627838
18131000,15.7031,5.502199,0.052647,0.006391,0.595602
18132000,15.7031,5.502199,0.052647,0.006391,0.575419
18133000,15.7031,5.502199,0.052647,0.006391,0.572575
18134000,15.7031,5.502199,0.052647,0.006391,0.592091
18135000,15.7031,5.502199,0.052647,0.006391,0.594496
18136000,15.7031,5.502199,0.052647,0.006391,0.590953
18137000,15.7031,5.502199,0.052647,0.006391,0.609187
18138000,15.7031,5.502199,0.052647,0.006391,0.580325
18139000,15.7031,5.502199,0.052647,0.006391,0.564800
