Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
8000000,1.0570,0.187474,0.005507,0.000525,1.458843
8001000,1.0570,0.187474,0.005507,0.000525,1.532835
8002000,1.0570,0.187474,0.005507,0.000525,1.403921
8003000,1.0570,0.187474,0.005507,0.000525,1.433255
8004000,1.0570,0.187474,0.005507,0.000525,1.506455
8005000,1.0570,0.187474,0.005507,0.000525,1.480684
8006000,1.0570,0.187474,0.005507,0.000525,1.512330
8007000,1.0570,0.187474,0.005507,0.000525,1.494604
8008000,1.0570,0.187474,0.005507,0.000525,1.425322
8009000,1.0570,0.187474,0.005507,0.000525,1.508599
8010000,1.0570,0.187474,0.005507,0.000525,1.443196
8011000,1.0570,0.187474,0.005507,0.000525,1.413768
8012000,1.0570,0.187474,0.005507,0.000525,1.476789
8013000,1.0570,0.187474,0.005507,0.000525,1.493812
8014000,1.0570,0.187474,0.005507,0.000525,1.509319
8015000,1.0570,0.187474,0.005507,0.000525,1.493731
8016000,1.0570,0.187474,0.005507,0.000525,1.486459
8017000,1.0570,0.187474,0.005507,0.000525,1.495288
8018000,1.0570,0.187474,0.005507,0.000525,1.500077
8019000,1.0570,0.187474,0.005507,0.000525,1.469783
8020000,1.0570,0.187474,0.005507,0.000525,1.529045
8021000,1.0570,0.187474,0.005507,0.000525,1.418477
8022000,1.0570,0.187474,0.005507,0.000525,1.465289
8023000,1.0570,0.187474,0.005507,0.000525,1.517062
8024000,1.0570,0.187474,0.005507,0.000525,1.495572
8025000,1.0570,0.187474,0.005507,0.000525,1.493082
8026000,1.0570,0.187474,0.005507,0.000525,1.426690
8027000,1.0570,0.187474,0.005507,0.000525,1.528971
8028000,1.0570,0.187474,0.005507,0.000525,1.477080
8029000,1.0570,0.187474,0.005507,0.000525,1.514644
8030000,1.0570,0.187474,0.005507,0.000525,1.486515
8031000,1.0570,0.187474,0.005507,0.000525,1.499211
8032000,1.0570,0.187474,0.005507,0.000525,1.493180
8033000,1.0570,0.187474,0.005507,0.000525,1.490908
8034000,1.0570,0.187474,0.005507,0.000525,1.473263
8035000,1.0570,0.187474,0.005507,0.000525,1.488049
8036000,1.0570,0.187474,0.005507,0.000525,1.517030
8037000,1.0570,0.187474,0.005507,0.000525,1.472325
8038000,1.0570,0.187474,0.005507,0.000525,1.399264
8039000,1.0570,0.187474,0.005507,0.000525,1.531110
8040000,1.0570,0.187474,0.005507,0.000525,1.477238
8041000,1.0570,0.187474,0.005507,0.000525,1.477006
8042000,1.0570,0.187474,0.005507,0.000525,1.508093
8043000,1.0570,0.187474,0.005507,0.000525,1.515882
8044000,1.0570,0.187474,0.005507,0.000525,1.423768
8045000,1.0570,0.187474,0.005507,0.000525,1.470093
8046000,1.0570,0.187474,0.005507,0.000525,1.363170
8047000,1.0570,0.187474,0.005507,0.000525,1.476314
8048000,1.0570,0.187474,0.005507,0.000525,1.531320
8049000,1.0570,0.187474,0.005507,0.000525,1.450395
8050000,1.0570,0.187474,0.005507,0.000525,1.477401
8051000,1.0570,0.187474,0.005507,0.000525,1.500029
8052000,1.0570,0.187474,0.005507,0.000525,1.457784
8053000,1.0570,0.187474,0.005507,0.000525,1.472372
8054000,1.0570,0.187474,0.005507,0.000525,1.516470
8055000,1.0570,0.187474,0.005507,0.000525,1.460632
8056000,1.0570,0.187474,0.005507,0.000525,1.516008
8057000,1.0570,0.187474,0.005507,0.000525,1.471563
8058000,1.0570,0.187474,0.005507,0.000525,1.508384
8059000,1.0570,0.187474,0.005507,0.000525,1.479083
8060000,1.0570,0.187474,0.005507,0.000525,1.483363
8061000,1.0570,0.187474,0.005507,0.000525,1.511014
8062000,1.0570,0.187474,0.005507,0.000525,1.487259
8063000,1.0570,0.187474,0.005507,0.000525,1.458321
8064000,1.0570,0.187474,0.005507,0.000525,1.493438
8065000,1.0570,0.187474,0.005507,0.000525,1.427438
8066000,1.0570,0.187474,0.005507,0.000525,1.490536
8067000,1.0570,0.187474,0.005507,0.000525,1.495071
8068000,1.0570,0.187474,0.005507,0.000525,1.494696
8069000,1.0570,0.187474,0.005507,0.000525,1.496424
8070000,1.0570,0.187474,0.005507,0.000525,1.497730
8071000,1.0570,0.187474,0.005507,0.000525,1.476369
8072000,1.0570,0.187474,0.005507,0.000525,1.470065
8073000,1.0570,0.187474,0.005507,0.000525,1.458463
8074000,1.0570,0.187474,0.005507,0.000525,1.450491
8075000,1.0570,0.187474,0.005507,0.000525,1.463414
8076000,1.0570,0.187474,0.005507,0.000525,1.477488
8077000,1.0570,0.187474,0.005507,0.000525,1.475161
8078000,1.0570,0.187474,0.005507,0.000525,1.514081
8079000,1.0570,0.187474,0.005507,0.000525,1.449722
8080000,1.0570,0.187474,0.005507,0.000525,1.517867
8081000,1.0570,0.187474,0.005507,0.000525,1.490036
8082000,1.0570,0.187474,0.005507,0.000525,1.468873
8083000,1.0570,0.187474,0.005507,0.000525,1.518004
8084000,1.0570,0.187474,0.005507,0.000525,1.500472
8085000,1.0570,0.187474,0.005507,0.000525,1.451797
8086000,1.0570,0.187474,0.005507,0.000525,1.526661
8087000,1.0570,0.187474,0.005507,0.000525,1.488863
8088000,1.0570,0.187474,0.005507,0.000525,1.433493
8089000,1.0570,0.187474,0.005507,0.000525,1.484632
8090000,1.0570,0.187474,0.005507,0.000525,1.444812
8091000,1.0570,0.187474,0.005507,0.000525,1.530789
8092000,1.0570,0.187474,0.005507,0.000525,1.518481
8093000,1.0570,0.187474,0.005507,0.000525,1.491368
8094000,1.0570,0.187474,0.005507,0.000525,1.480462
8095000,1.0570,0.187474,0.005507,0.000525,1.459741
8096000,1.0570,0.187474,0.005507,0.000525,1.464718
8097000,1.0570,0.187474,0.005507,0.000525,1.526907
8098000,1.0570,0.187474,0.005507,0.000525,1.481979
