Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
13000000,8.6440,0.261844,0.058609,0.079322,0.056859
13001000,8.6440,0.261844,0.058609,0.079322,0.067607
13002000,8.6440,0.261844,0.058609,0.079322,0.055197
13003000,8.6440,0.261844,0.058609,0.079322,0.076952
13004000,8.6440,0.261844,0.058609,0.079322,0.050876
13005000,8.6440,0.261844,0.058609,0.079322,0.066080
13006000,8.6440,0.261844,0.058609,0.079322,0.065218
13007000,8.6440,0.261844,0.058609,0.079322,0.068552
13008000,8.6440,0.261844,0.058609,0.079322,0.055815
13009000,8.6440,0.261844,0.058609,0.079322,0.063742
13010000,8.6440,0.261844,0.058609,0.079322,0.062036
13011000,8.6440,0.261844,0.058609,0.079322,0.067838
13012000,8.6440,0.261844,0.058609,0.079322,0.055959
13013000,8.6440,0.261844,0.058609,0.079322,0.075094
13014000,8.6440,0.261844,0.058609,0.079322,0.052661
13015000,8.6440,0.261844,0.058609,0.079322,0.067040
13016000,8.6440,0.261844,0.058609,0.079322,0.057860
13017000,8.6440,0.261844,0.058609,0.079322,0.070113
13018000,8.6440,0.261844,0.058609,0.079322,0.052834
13019000,8.6440,0.261844,0.058609,0.079322,0.057803
13020000,8.6440,0.261844,0.058609,0.079322,0.066801
13021000,8.6440,0.261844,0.058609,0.079322,0.065526
13022000,8.6440,0.261844,0.058609,0.079322,0.049581
13023000,8.6440,0.261844,0.058609,0.079322,0.066483
13024000,8.6440,0.261844,0.058609,0.079322,0.060265
13025000,8.6440,0.261844,0.058609,0.079322,0.061957
13026000,8.6440,0.261844,0.058609,0.079322,0.058341
13027000,8.6440,0.261844,0.058609,0.079322,0.065182
13028000,8.6440,0.261844,0.058609,0.079322,0.064390
13029000,8.6440,0.261844,0.058609,0.079322,0.062410
13030000,8.6440,0.261844,0.058609,0.079322,0.062532
13031000,8.6440,0.261844,0.058609,0.079322,0.061091
13032000,8.6440,0.261844,0.058609,0.079322,0.065471
13033000,8.6440,0.261844,0.058609,0.079322,0.058075
13034000,8.6440,0.261844,0.058609,0.079322,0.067565
13035000,8.6440,0.261844,0.058609,0.079322,0.056585
13036000,8.6440,0.261844,0.058609,0.079322,0.066371
13037000,8.6440,0.261844,0.058609,0.079322,0.064677
13038000,8.6440,0.261844,0.058609,0.079322,0.061561
13039000,8.6440,0.261844,0.058609,0.079322,0.063936
13040000,8.6440,0.261844,0.058609,0.079322,0.062157
13041000,8.6440,0.261844,0.058609,0.079322,0.059199
13042000,8.6440,0.261844,0.058609,0.079322,0.060551
13043000,8.6440,0.261844,0.058609,0.079322,0.063888
13044000,8.6440,0.261844,0.058609,0.079322,0.075419
13045000,8.6440,0.261844,0.058609,0.079322,0.048686
13046000,8.6440,0.261844,0.058609,0.079322,0.067365
13047000,8.6440,0.261844,0.058609,0.079322,0.055923
13048000,8.6440,0.261844,0.058609,0.079322,0.074347
13049000,8.6440,0.261844,0.058609,0.079322,0.042847
13050000,8.6440,0.261844,0.058609,0.079322,0.082650
13051000,8.6440,0.261844,0.058609,0.079322,0.048010
13052000,8.6440,0.261844,0.058609,0.079322,0.073095
13053000,8.6440,0.261844,0.058609,0.079322,0.053534
13054000,8.6440,0.261844,0.058609,0.079322,0.086204
13055000,8.6440,0.261844,0.058609,0.079322,0.055606
13056000,8.6440,0.261844,0.058609,0.079322,0.067256
13057000,8.6440,0.261844,0.058609,0.079322,0.051042
13058000,8.6440,0.261844,0.058609,0.079322,0.077709
13059000,8.6440,0.261844,0.058609,0.079322,0.053324
13060000,8.6440,0.261844,0.058609,0.079322,0.070590
13061000,8.6440,0.261844,0.058609,0.079322,0.063158
13062000,8.6440,0.261844,0.058609,0.079322,0.064110
13063000,8.6440,0.261844,0.058609,0.079322,0.053512
13064000,8.6440,0.261844,0.058609,0.079322,0.073663
13065000,8.6440,0.261844,0.058609,0.079322,0.059473
13066000,8.6440,0.261844,0.058609,0.079322,0.069185
13067000,8.6440,0.261844,0.058609,0.079322,0.050839
13068000,8.6440,0.261844,0.058609,0.079322,0.070891
13069000,8.6440,0.261844,0.058609,0.079322,0.064390
13070000,8.6440,0.261844,0.058609,0.079322,0.061338
13071000,8.6440,0.261844,0.058609,0.079322,0.062337
13072000,8.6440,0.261844,0.058609,0.079322,0.063697
13073000,8.6440,0.261844,0.058609,0.079322,0.062694
13074000,8.6440,0.261844,0.058609,0.079322,0.063524
13075000,8.6440,0.261844,0.058609,0.079322,0.060235
13076000,8.6440,0.261844,0.058609,0.079322,0.068466
13077000,8.6440,0.261844,0.058609,0.079322,0.059055
13078000,8.6440,0.261844,0.058609,0.079322,0.059962
13079000,8.6440,0.261844,0.058609,0.079322,0.071453
13080000,8.6440,0.261844,0.058609,0.079322,0.053750
13081000,8.6440,0.261844,0.058609,0.079322,0.069645
13082000,8.6440,0.261844,0.058609,0.079322,0.056657
13083000,8.6440,0.261844,0.058609,0.079322,0.068034
13084000,8.6440,0.261844,0.058609,0.079322,0.058731
13085000,8.6440,0.261844,0.058609,0.079322,0.073252
13086000,8.6440,0.261844,0.058609,0.079322,0.051870
13087000,8.6440,0.261844,0.058609,0.079322,0.073492
13088000,8.6440,0.261844,0.058609,0.079322,0.054704
13089000,8.6440,0.261844,0.058609,0.079322,0.076097
13090000,8.6440,0.261844,0.058609,0.079322,0.048674
13091000,8.6440,0.261844,0.058609,0.079322,0.080978
13092000,8.6440,0.261844,0.058609,0.079322,0.057024
13093000,8.6440,0.261844,0.058609,0.079322,0.069417
13094000,8.6440,0.261844,0.058609,0.079322,0.047779
13095000,8.6440,0.261844,0.058609,0.079322,0.082772
13096000,8.6440,0.261844,0.058609,0.079322,0.056389
13097000,8.6440,0.261844,0.058609,0.079322,0.066205
13098000,8.6440,0.261844,0.058609,0.079322,0.062813
13099000,8.6440,0.261844,0.058609,0.079322,0.071525
13100000,8.6440,0.261844,0.058609,0.079322,0.049934
13101000,8.6440,0.261844,0.058609,0.079322,0.078171
13102000,8.6440,0.261844,0.058609,0.079322,0.057290
13103000,8.6440,0.261844,0.058609,0.079322,0.070883
13104000,8.6440,0.261844,0.058609,0.079322,0.049047
13105000,8.6440,0.261844,0.058609,0.079322,0.077768
13106000,8.6440,0.261844,0.058609,0.079322,0.061957
13107000,8.6440,0.261844,0.058609,0.079322,0.068616
13108000,8.6440,0.261844,0.058609,0.079322,0.057283
13109000,8.6440,0.261844,0.058609,0.079322,0.075420
13110000,8.6440,0.261844,0.058609,0.079322,0.052734
13111000,8.6440,0.261844,0.058609,0.079322,0.069660
13112000,8.6440,0.261844,0.058609,0.079322,0.056066
13113000,8.6440,0.261844,0.058609,0.079322,0.071510
13114000,8.6440,0.261844,0.058609,0.079322,0.054521
13115000,8.6440,0.261844,0.058609,0.079322,0.062575
13116000,8.6440,0.261844,0.058609,0.079322,0.065751
13117000,8.6440,0.261844,0.058609,0.079322,0.066480
13118000,8.6440,0.261844,0.058609,0.079322,0.059644
13119000,8.6440,0.261844,0.058609,0.079322,0.065484
13120000,8.6440,0.261844,0.058609,0.079322,0.063663
