Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
14000000,0.7779,0.306348,0.002724,0.000334,0.183950
14001000,0.7779,0.306348,0.002724,0.000334,0.184067
14002000,0.7779,0.306348,0.002724,0.000334,0.184044
14003000,0.7779,0.306348,0.002724,0.000334,0.184020
14004000,0.7779,0.306348,0.002724,0.000334,0.183997
14005000,0.7779,0.306348,0.002724,0.000334,0.184044
14006000,0.7779,0.306348,0.002724,0.000334,0.184090
14007000,0.7779,0.306348,0.002724,0.000334,0.183973
14008000,0.7779,0.306348,0.002724,0.000334,0.184020
14009000,0.7779,0.306348,0.002724,0.000334,0.184090
14010000,0.7779,0.306348,0.002724,0.000334,0.183973
14011000,0.7779,0.306348,0.002724,0.000334,0.184044
14012000,0.7779,0.306348,0.002724,0.000334,0.184067
14013000,0.7779,0.306348,0.002724,0.000334,0.184020
14014000,0.7779,0.306348,0.002724,0.000334,0.184044
14015000,0.7779,0.306348,0.002724,0.000334,0.183997
14016000,0.7779,0.306348,0.002724,0.000334,0.184044
14017000,0.7779,0.306348,0.002724,0.000334,0.184044
14018000,0.7779,0.306348,0.002724,0.000334,0.183997
14019000,0.7779,0.306348,0.002724,0.000334,0.184067
14020000,0.7779,0.306348,0.002724,0.000334,0.183973
14021000,0.7779,0.306348,0.002724,0.000334,0.184090
14022000,0.7779,0.306348,0.002724,0.000334,0.183973
14023000,0.7779,0.306348,0.002724,0.000334,0.184044
14024000,0.7779,0.306348,0.002724,0.000334,0.184044
14025000,0.7779,0.306348,0.002724,0.000334,0.184020
14026000,0.7779,0.306348,0.002724,0.000334,0.184020
14027000,0.7779,0.306348,0.002724,0.000334,0.183997
14028000,0.7779,0.306348,0.002724,0.000334,0.184044
14029000,0.7779,0.306348,0.002724,0.000334,0.184044
14030000,0.7779,0.306348,0.002724,0.000334,0.184020
14031000,0.7779,0.306348,0.002724,0.000334,0.184020
14032000,0.7779,0.306348,0.002724,0.000334,0.184020
14033000,0.7779,0.306348,0.002724,0.000334,0.184044
14034000,0.7779,0.306348,0.002724,0.000334,0.184020
14035000,0.7779,0.306348,0.002724,0.000334,0.184020
14036000,0.7779,0.306348,0.002724,0.000334,0.184044
14037000,0.7779,0.306348,0.002724,0.000334,0.184020
14038000,0.7779,0.306348,0.002724,0.000334,0.183973
14039000,0.7779,0.306348,0.002724,0.000334,0.184090
14040000,0.7779,0.306348,0.002724,0.000334,0.184067
14041000,0.7779,0.306348,0.002724,0.000334,0.183950
14042000,0.7779,0.306348,0.002724,0.000334,0.184044
14043000,0.7779,0.306348,0.002724,0.000334,0.184067
14044000,0.7779,0.306348,0.002724,0.000334,0.183997
14045000,0.7779,0.306348,0.002724,0.000334,0.183997
14046000,0.7779,0.306348,0.002724,0.000334,0.184067
14047000,0.7779,0.306348,0.002724,0.000334,0.184067
14048000,0.7779,0.306348,0.002724,0.000334,0.183950
14049000,0.7779,0.306348,0.002724,0.000334,0.184090
14050000,0.7779,0.306348,0.002724,0.000334,0.184020
14051000,0.7779,0.306348,0.002724,0.000334,0.184020
14052000,0.7779,0.306348,0.002724,0.000334,0.183973
14053000,0.7779,0.306348,0.002724,0.000334,0.184067
14054000,0.7779,0.306348,0.002724,0.000334,0.184044
14055000,0.7779,0.306348,0.002724,0.000334,0.183997
14056000,0.7779,0.306348,0.002724,0.000334,0.184090
14057000,0.7779,0.306348,0.002724,0.000334,0.183997
14058000,0.7779,0.306348,0.002724,0.000334,0.184044
14059000,0.7779,0.306348,0.002724,0.000334,0.184020
14060000,0.7779,0.306348,0.002724,0.000334,0.184044
14061000,0.7779,0.306348,0.002724,0.000334,0.184044
14062000,0.7779,0.306348,0.002724,0.000334,0.184020
14063000,0.7779,0.306348,0.002724,0.000334,0.183950
14064000,0.7779,0.306348,0.002724,0.000334,0.184114
14065000,0.7779,0.306348,0.002724,0.000334,0.183973
14066000,0.7779,0.306348,0.002724,0.000334,0.184044
14067000,0.7779,0.306348,0.002724,0.000334,0.184020
14068000,0.7779,0.306348,0.002724,0.000334,0.183997
14069000,0.7779,0.306348,0.002724,0.000334,0.184067
14070000,0.7779,0.306348,0.002724,0.000334,0.184020
14071000,0.7779,0.306348,0.002724,0.000334,0.184067
14072000,0.7779,0.306348,0.002724,0.000334,0.184020
14073000,0.7779,0.306348,0.002724,0.000334,0.183997
14074000,0.7779,0.306348,0.002724,0.000334,0.184044
14075000,0.7779,0.306348,0.002724,0.000334,0.183997
14076000,0.7779,0.306348,0.002724,0.000334,0.184067
14077000,0.7779,0.306348,0.002724,0.000334,0.184020
14078000,0.7779,0.306348,0.002724,0.000334,0.184090
14079000,0.7779,0.306348,0.002724,0.000334,0.183950
14080000,0.7779,0.306348,0.002724,0.000334,0.184044
14081000,0.7779,0.306348,0.002724,0.000334,0.184067
14082000,0.7779,0.306348,0.002724,0.000334,0.183997
14083000,0.7779,0.306348,0.002724,0.000334,0.184044
14084000,0.7779,0.306348,0.002724,0.000334,0.184020
14085000,0.7779,0.306348,0.002724,0.000334,0.184020
14086000,0.7779,0.306348,0.002724,0.000334,0.183997
14087000,0.7779,0.306348,0.002724,0.000334,0.184044
14088000,0.7779,0.306348,0.002724,0.000334,0.184114
14089000,0.7779,0.306348,0.002724,0.000334,0.183926
14090000,0.7779,0.306348,0.002724,0.000334,0.184067
14091000,0.7779,0.306348,0.002724,0.000334,0.184067
14092000,0.7779,0.306348,0.002724,0.000334,0.183950
14093000,0.7779,0.306348,0.002724,0.000334,0.184020
14094000,0.7779,0.306348,0.002724,0.000334,0.184067
14095000,0.7779,0.306348,0.002724,0.000334,0.183997
14096000,0.7779,0.306348,0.002724,0.000334,0.183997
14097000,0.7779,0.306348,0.002724,0.000334,0.184044
14098000,0.7779,0.306348,0.002724,0.000334,0.184067
14099000,0.7779,0.306348,0.002724,0.000334,0.184020
14100000,0.7779,0.306348,0.002724,0.000334,0.183903
14101000,0.7779,0.306348,0.002724,0.000334,0.184161
14102000,0.7779,0.306348,0.002724,0.000334,0.183997
14103000,0.7779,0.306348,0.002724,0.000334,0.184020
14104000,0.7779,0.306348,0.002724,0.000334,0.184067
14105000,0.7779,0.306348,0.002724,0.000334,0.184020
14106000,0.7779,0.306348,0.002724,0.000334,0.184020
14107000,0.7779,0.306348,0.002724,0.000334,0.184020
14108000,0.7779,0.306348,0.002724,0.000334,0.184020
14109000,0.7779,0.306348,0.002724,0.000334,0.184044
14110000,0.7779,0.306348,0.002724,0.000334,0.183973
14111000,0.7779,0.306348,0.002724,0.000334,0.184044
14112000,0.7779,0.306348,0.002724,0.000334,0.184044
14113000,0.7779,0.306348,0.002724,0.000334,0.184020
14114000,0.7779,0.306348,0.002724,0.000334,0.184044
14115000,0.7779,0.306348,0.002724,0.000334,0.183997
14116000,0.7779,0.306348,0.002724,0.000334,0.184067
14117000,0.7779,0.306348,0.002724,0.000334,0.183973
14118000,0.7779,0.306348,0.002724,0.000334,0.184044
14119000,0.7779,0.306348,0.002724,0.000334,0.184067
14120000,0.7779,0.306348,0.002724,0.000334,0.183950
14121000,0.7779,0.306348,0.002724,0.000334,0.184090
14122000,0.7779,0.306348,0.002724,0.000334,0.184044
14123000,0.7779,0.306348,0.002724,0.000334,0.183950
14124000,0.7779,0.306348,0.002724,0.000334,0.184090
14125000,0.7779,0.306348,0.002724,0.000334,0.184020
14126000,0.7779,0.306348,0.002724,0.000334,0.184020
14127000,0.7779,0.306348,0.002724,0.000334,0.183997
14128000,0.7779,0.306348,0.002724,0.000334,0.184044
14129000,0.7779,0.306348,0.002724,0.000334,0.184090
14130000,0.7779,0.306348,0.002724,0.000334,0.183926
14131000,0.7779,0.306348,0.002724,0.000334,0.184044
14132000,0.7779,0.306348,0.002724,0.000334,0.184090
14133000,0.7779,0.306348,0.002724,0.000334,0.183950
14134000,0.7779,0.306348,0.002724,0.000334,0.184044
14135000,0.7779,0.306348,0.002724,0.000334,0.184044
14136000,0.7779,0.306348,0.002724,0.000334,0.184067
14137000,0.7779,0.306348,0.002724,0.000334,0.183950
14138000,0.7779,0.306348,0.002724,0.000334,0.184114
14139000,0.7779,0.306348,0.002724,0.000334,0.183997
14140000,0.7779,0.306348,0.002724,0.000334,0.184020
14141000,0.7779,0.306348,0.002724,0.000334,0.184020
14142000,0.7779,0.306348,0.002724,0.000334,0.184067
14143000,0.7779,0.306348,0.002724,0.000334,0.184090
14144000,0.7779,0.306348,0.002724,0.000334,0.183950
14145000,0.7779,0.306348,0.002724,0.000334,0.184020
14146000,0.7779,0.306348,0.002724,0.000334,0.184044
14147000,0.7779,0.306348,0.002724,0.000334,0.183950
14148000,0.7779,0.306348,0.002724,0.000334,0.184137
14149000,0.7779,0.306348,0.002724,0.000334,0.183950
14150000,0.7779,0.306348,0.002724,0.000334,0.184020
14151000,0.7779,0.306348,0.002724,0.000334,0.184090
14152000,0.7779,0.306348,0.002724,0.000334,0.183973
14153000,0.7779,0.306348,0.002724,0.000334,0.184090
14154000,0.7779,0.306348,0.002724,0.000334,0.184020
14155000,0.7779,0.306348,0.002724,0.000334,0.183997
14156000,0.7779,0.306348,0.002724,0.000334,0.184044
14157000,0.7779,0.306348,0.002724,0.000334,0.183973
14158000,0.7779,0.306348,0.002724,0.000334,0.184067
14159000,0.7779,0.306348,0.002724,0.000334,0.184044
14160000,0.7779,0.306348,0.002724,0.000334,0.184020
14161000,0.7779,0.306348,0.002724,0.000334,0.184020
14162000,0.7779,0.306348,0.002724,0.000334,0.184020
14163000,0.7779,0.306348,0.002724,0.000334,0.184020
14164000,0.7779,0.306348,0.002724,0.000334,0.184020
14165000,0.7779,0.306348,0.002724,0.000334,0.183997
14166000,0.7779,0.306348,0.002724,0.000334,0.184090
14167000,0.7779,0.306348,0.002724,0.000334,0.183997
14168000,0.7779,0.306348,0.002724,0.000334,0.183950
14169000,0.7779,0.306348,0.002724,0.000334,0.184114
14170000,0.7779,0.306348,0.002724,0.000334,0.184044
14171000,0.7779,0.306348,0.002724,0.000334,0.183950
14172000,0.7779,0.306348,0.002724,0.000334,0.184067
14173000,0.7779,0.306348,0.002724,0.000334,0.184067
14174000,0.7779,0.306348,0.002724,0.000334,0.183926
14175000,0.7779,0.306348,0.002724,0.000334,0.184067
14176000,0.7779,0.306348,0.002724,0.000334,0.184067
14177000,0.7779,0.306348,0.002724,0.000334,0.184044
14178000,0.7779,0.306348,0.002724,0.000334,0.183950
14179000,0.7779,0.306348,0.002724,0.000334,0.184067
14180000,0.7779,0.306348,0.002724,0.000334,0.184044
14181000,0.7779,0.306348,0.002724,0.000334,0.184044
14182000,0.7779,0.306348,0.002724,0.000334,0.183997
14183000,0.7779,0.306348,0.002724,0.000334,0.184067
14184000,0.7779,0.306348,0.002724,0.000334,0.183997
14185000,0.7779,0.306348,0.002724,0.000334,0.184020
14186000,0.7779,0.306348,0.002724,0.000334,0.184020
14187000,0.7779,0.306348,0.002724,0.000334,0.184044
14188000,0.7779,0.306348,0.002724,0.000334,0.184020
14189000,0.7779,0.306348,0.002724,0.000334,0.184020
