Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
12000000,23.8212,1.028147,0.538949,0.086720,7.392023
12001000,23.8212,1.028147,0.538949,0.086720,7.342251
12002000,23.8212,1.028147,0.538949,0.086720,7.359126
12003000,23.8212,1.028147,0.538949,0.086720,7.367613
12004000,23.8212,1.028147,0.538949,0.086720,7.363127
12005000,23.8212,1.028147,0.538949,0.086720,7.342131
12006000,23.8212,1.028147,0.538949,0.086720,7.361691
12007000,23.8212,1.028147,0.538949,0.086720,7.382984
12008000,23.8212,1.028147,0.538949,0.086720,7.363019
12009000,23.8212,1.028147,0.538949,0.086720,7.336030
12010000,23.8212,1.028147,0.538949,0.086720,7.358358
12011000,23.8212,1.028147,0.538949,0.086720,7.386615
12012000,23.8212,1.028147,0.538949,0.086720,7.316975
12013000,23.8212,1.028147,0.538949,0.086720,7.397064
12014000,23.8212,1.028147,0.538949,0.086720,7.380627
12015000,23.8212,1.028147,0.538949,0.086720,7.329024
12016000,23.8212,1.028147,0.538949,0.086720,7.362813
12017000,23.8212,1.028147,0.538949,0.086720,7.373052
12018000,23.8212,1.028147,0.538949,0.086720,7.350287
12019000,23.8212,1.028147,0.538949,0.086720,7.361230
12020000,23.8212,1.028147,0.538949,0.086720,7.351129
12021000,23.8212,1.028147,0.538949,0.086720,7.378464
12022000,23.8212,1.028147,0.538949,0.086720,7.353932
12023000,23.8212,1.028147,0.538949,0.086720,7.360831
12024000,23.8212,1.028147,0.538949,0.086720,7.387179
12025000,23.8212,1.028147,0.538949,0.086720,7.371867
12026000,23.8212,1.028147,0.538949,0.086720,7.322520
12027000,23.8212,1.028147,0.538949,0.086720,7.376561
12028000,23.8212,1.028147,0.538949,0.086720,7.406752
12029000,23.8212,1.028147,0.538949,0.086720,7.309370
12030000,23.8212,1.028147,0.538949,0.086720,7.374150
12031000,23.8212,1.028147,0.538949,0.086720,7.383885
12032000,23.8212,1.028147,0.538949,0.086720,7.371690
12033000,23.8212,1.028147,0.538949,0.086720,7.331743
12034000,23.8212,1.028147,0.538949,0.086720,7.378887
12035000,23.8212,1.028147,0.538949,0.086720,7.390162
12036000,23.8212,1.028147,0.538949,0.086720,7.289301
12037000,23.8212,1.028147,0.538949,0.086720,7.383565
12038000,23.8212,1.028147,0.538949,0.086720,7.390975
12039000,23.8212,1.028147,0.538949,0.086720,7.338495
12040000,23.8212,1.028147,0.538949,0.086720,7.346436
12041000,23.8212,1.028147,0.538949,0.086720,7.409977
12042000,23.8212,1.028147,0.538949,0.086720,7.350854
12043000,23.8212,1.028147,0.538949,0.086720,7.332011
12044000,23.8212,1.028147,0.538949,0.086720,7.403469
12045000,23.8212,1.028147,0.538949,0.086720,7.390186
12046000,23.8212,1.028147,0.538949,0.086720,7.353464
12047000,23.8212,1.028147,0.538949,0.086720,7.414517
12048000,23.8212,1.028147,0.538949,0.086720,7.359035
12049000,23.8212,1.028147,0.538949,0.086720,7.396245
12050000,23.8212,1.028147,0.538949,0.086720,7.332002
12051000,23.8212,1.028147,0.538949,0.086720,7.408650
12052000,23.8212,1.028147,0.538949,0.086720,7.370695
12053000,23.8212,1.028147,0.538949,0.086720,7.352755
12054000,23.8212,1.028147,0.538949,0.086720,7.361528
12055000,23.8212,1.028147,0.538949,0.086720,7.428540
12056000,23.8212,1.028147,0.538949,0.086720,7.336092
12057000,23.8212,1.028147,0.538949,0.086720,7.404620
12058000,23.8212,1.028147,0.538949,0.086720,7.359294
12059000,23.8212,1.028147,0.538949,0.086720,7.404416
12060000,23.8212,1.028147,0.538949,0.086720,7.344594
12061000,23.8212,1.028147,0.538949,0.086720,7.383490
12062000,23.8212,1.028147,0.538949,0.086720,7.390001
12063000,23.8212,1.028147,0.538949,0.086720,7.359882
12064000,23.8212,1.028147,0.538949,0.086720,7.344873
12065000,23.8212,1.028147,0.538949,0.086720,7.380638
12066000,23.8212,1.028147,0.538949,0.086720,7.381485
12067000,23.8212,1.028147,0.538949,0.086720,7.332994
12068000,23.8212,1.028147,0.538949,0.086720,7.412543
12069000,23.8212,1.028147,0.538949,0.086720,7.393313
12070000,23.8212,1.028147,0.538949,0.086720,7.341026
12071000,23.8212,1.028147,0.538949,0.086720,7.347129
12072000,23.8212,1.028147,0.538949,0.086720,7.433387
12073000,23.8212,1.028147,0.538949,0.086720,7.345300
12074000,23.8212,1.028147,0.538949,0.086720,7.380412
12075000,23.8212,1.028147,0.538949,0.086720,7.369191
12076000,23.8212,1.028147,0.538949,0.086720,7.389652
12077000,23.8212,1.028147,0.538949,0.086720,7.331389
12078000,23.8212,1.028147,0.538949,0.086720,7.386031
12079000,23.8212,1.028147,0.538949,0.086720,7.380998
