Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
11000000,1.0570,0.187474,0.005507,0.000525,0.002006
11001000,1.0570,0.187474,0.005507,0.000525,0.002821
11002000,1.0570,0.187474,0.005507,0.000525,0.002533
11003000,1.0570,0.187474,0.005507,0.000525,0.002482
11004000,1.0570,0.187474,0.005507,0.000525,0.002000
11005000,1.0570,0.187474,0.005507,0.000525,0.002802
11006000,1.0570,0.187474,0.005507,0.000525,0.001555
11007000,1.0570,0.187474,0.005507,0.000525,0.002351
11008000,1.0570,0.187474,0.005507,0.000525,0.001925
11009000,1.0570,0.187474,0.005507,0.000525,0.002621
11010000,1.0570,0.187474,0.005507,0.000525,0.002282
11011000,1.0570,0.187474,0.005507,0.000525,0.002270
11012000,1.0570,0.187474,0.005507,0.000525,0.002633
11013000,1.0570,0.187474,0.005507,0.000525,0.001855
11014000,1.0570,0.187474,0.005507,0.000525,0.002890
11015000,1.0570,0.187474,0.005507,0.000525,0.002364
11016000,1.0570,0.187474,0.005507,0.000525,0.001925
11017000,1.0570,0.187474,0.005507,0.000525,0.002621
11018000,1.0570,0.187474,0.005507,0.000525,0.002206
11019000,1.0570,0.187474,0.005507,0.000525,0.002376
11020000,1.0570,0.187474,0.005507,0.000525,0.002909
11021000,1.0570,0.187474,0.005507,0.000525,0.002176
11022000,1.0570,0.187474,0.005507,0.000525,0.002739
11023000,1.0570,0.187474,0.005507,0.000525,0.002025
11024000,1.0570,0.187474,0.005507,0.000525,0.002327
11025000,1.0570,0.187474,0.005507,0.000525,0.001943
11026000,1.0570,0.187474,0.005507,0.000525,0.002370
11027000,1.0570,0.187474,0.005507,0.000525,0.002427
11028000,1.0570,0.187474,0.005507,0.000525,0.001925
11029000,1.0570,0.187474,0.005507,0.000525,0.002376
11030000,1.0570,0.187474,0.005507,0.000525,0.002445
11031000,1.0570,0.187474,0.005507,0.000525,0.002288
11032000,1.0570,0.187474,0.005507,0.000525,0.002082
11033000,1.0570,0.187474,0.005507,0.000525,0.002364
11034000,1.0570,0.187474,0.005507,0.000525,0.002251
11035000,1.0570,0.187474,0.005507,0.000525,0.002570
11036000,1.0570,0.187474,0.005507,0.000525,0.002557
11037000,1.0570,0.187474,0.005507,0.000525,0.002351
11038000,1.0570,0.187474,0.005507,0.000525,0.002388
11039000,1.0570,0.187474,0.005507,0.000525,0.002921
11040000,1.0570,0.187474,0.005507,0.000525,0.002345
11041000,1.0570,0.187474,0.005507,0.000525,0.002006
11042000,1.0570,0.187474,0.005507,0.000525,0.002194
11043000,1.0570,0.187474,0.005507,0.000525,0.002896
11044000,1.0570,0.187474,0.005507,0.000525,0.001931
11045000,1.0570,0.187474,0.005507,0.000525,0.002457
11046000,1.0570,0.187474,0.005507,0.000525,0.002076
11047000,1.0570,0.187474,0.005507,0.000525,0.002188
11048000,1.0570,0.187474,0.005507,0.000525,0.002545
11049000,1.0570,0.187474,0.005507,0.000525,0.001725
11050000,1.0570,0.187474,0.005507,0.000525,0.002094
11051000,1.0570,0.187474,0.005507,0.000525,0.002564
11052000,1.0570,0.187474,0.005507,0.000525,0.002000
11053000,1.0570,0.187474,0.005507,0.000525,0.002064
11054000,1.0570,0.187474,0.005507,0.000525,0.002506
11055000,1.0570,0.187474,0.005507,0.000525,0.002821
11056000,1.0570,0.187474,0.005507,0.000525,0.001988
11057000,1.0570,0.187474,0.005507,0.000525,0.002200
11058000,1.0570,0.187474,0.005507,0.000525,0.001982
11059000,1.0570,0.187474,0.005507,0.000525,0.002545
11060000,1.0570,0.187474,0.005507,0.000525,0.001900
11061000,1.0570,0.187474,0.005507,0.000525,0.002106
11062000,1.0570,0.187474,0.005507,0.000525,0.002351
11063000,1.0570,0.187474,0.005507,0.000525,0.002582
11064000,1.0570,0.187474,0.005507,0.000525,0.002345
11065000,1.0570,0.187474,0.005507,0.000525,0.002270
11066000,1.0570,0.187474,0.005507,0.000525,0.002557
11067000,1.0570,0.187474,0.005507,0.000525,0.002276
11068000,1.0570,0.187474,0.005507,0.000525,0.002557
11069000,1.0570,0.187474,0.005507,0.000525,0.002270
11070000,1.0570,0.187474,0.005507,0.000525,0.002704
11071000,1.0570,0.187474,0.005507,0.000525,0.002433
11072000,1.0570,0.187474,0.005507,0.000525,0.002357
11073000,1.0570,0.187474,0.005507,0.000525,0.002470
11074000,1.0570,0.187474,0.005507,0.000525,0.002421
11075000,1.0570,0.187474,0.005507,0.000525,0.002206
11076000,1.0570,0.187474,0.005507,0.000525,0.002539
11077000,1.0570,0.187474,0.005507,0.000525,0.002878
11078000,1.0570,0.187474,0.005507,0.000525,0.001731
11079000,1.0570,0.187474,0.005507,0.000525,0.002170
11080000,1.0570,0.187474,0.005507,0.000525,0.002351
11081000,1.0570,0.187474,0.005507,0.000525,0.002470
11082000,1.0570,0.187474,0.005507,0.000525,0.002439
11083000,1.0570,0.187474,0.005507,0.000525,0.002112
11084000,1.0570,0.187474,0.005507,0.000525,0.002445
11085000,1.0570,0.187474,0.005507,0.000525,0.001625
11086000,1.0570,0.187474,0.005507,0.000525,0.002715
11087000,1.0570,0.187474,0.005507,0.000525,0.002439
11088000,1.0570,0.187474,0.005507,0.000525,0.002488
11089000,1.0570,0.187474,0.005507,0.000525,0.002702
11090000,1.0570,0.187474,0.005507,0.000525,0.003160
11091000,1.0570,0.187474,0.005507,0.000525,0.001931
11092000,1.0570,0.187474,0.005507,0.000525,0.002357
11093000,1.0570,0.187474,0.005507,0.000525,0.001988
11094000,1.0570,0.187474,0.005507,0.000525,0.002557
11095000,1.0570,0.187474,0.005507,0.000525,0.001788
11096000,1.0570,0.187474,0.005507,0.000525,0.002094
11097000,1.0570,0.187474,0.005507,0.000525,0.002451
11098000,1.0570,0.187474,0.005507,0.000525,0.002182
11099000,1.0570,0.187474,0.005507,0.000525,0.002784
11100000,1.0570,0.187474,0.005507,0.000525,0.001837
11101000,1.0570,0.187474,0.005507,0.000525,0.002645
11102000,1.0570,0.187474,0.005507,0.000525,0.002315
11103000,1.0570,0.187474,0.005507,0.000525,0.002125
11104000,1.0570,0.187474,0.005507,0.000525,0.002164
11105000,1.0570,0.187474,0.005507,0.000525,0.002176
11106000,1.0570,0.187474,0.005507,0.000525,0.002370
11107000,1.0570,0.187474,0.005507,0.000525,0.002902
11108000,1.0570,0.187474,0.005507,0.000525,0.002176
11109000,1.0570,0.187474,0.005507,0.000525,0.002182
11110000,1.0570,0.187474,0.005507,0.000525,0.002370
11111000,1.0570,0.187474,0.005507,0.000525,0.002345
11112000,1.0570,0.187474,0.005507,0.000525,0.002182
11113000,1.0570,0.187474,0.005507,0.000525,0.002257
11114000,1.0570,0.187474,0.005507,0.000525,0.002357
11115000,1.0570,0.187474,0.005507,0.000525,0.002376
11116000,1.0570,0.187474,0.005507,0.000525,0.002521
11117000,1.0570,0.187474,0.005507,0.000525,0.001906
