Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,1.3415,0.039994,0.023482,0.002970,0.000000
2000,1.3415,0.039994,0.023482,0.002970,0.000000
3000,1.3415,0.039994,0.023482,0.002970,0.000000
4000,1.3415,0.039994,0.023482,0.002970,0.000000
5000,1.3415,0.039994,0.023482,0.002970,0.000000
6000,1.3415,0.039994,0.023482,0.002970,0.348586
7000,1.3415,0.039994,0.023482,0.002970,0.142666
8000,1.3415,0.039994,0.023482,0.002970,0.135674
9000,1.3415,0.039994,0.023482,0.002970,0.247195
10000,1.3415,0.039994,0.023482,0.002970,0.323178
11000,1.3415,0.039994,0.023482,0.002970,0.184301
12000,1.3415,0.039994,0.023482,0.002970,0.211941
13000,1.3415,0.039994,0.023482,0.002970,0.218179
14000,1.3415,0.039994,0.023482,0.002970,0.228178
15000,1.3415,0.039994,0.023482,0.002970,0.235953
16000,1.3415,0.039994,0.023482,0.002970,0.239156
17000,1.3415,0.039994,0.023482,0.002970,0.220897
18000,1.3415,0.039994,0.023482,0.002970,0.225372
19000,1.3415,0.039994,0.023482,0.002970,0.213040
20000,1.3415,0.039994,0.023482,0.002970,0.204886
21000,1.3415,0.039994,0.023482,0.002970,0.209722
22000,1.3415,0.039994,0.023482,0.002970,0.208541
23000,1.3415,0.039994,0.023482,0.002970,0.191300
24000,1.3415,0.039994,0.023482,0.002970,0.194460
25000,1.3415,0.039994,0.023482,0.002970,0.173199
26000,1.3415,0.039994,0.023482,0.002970,0.175194
27000,1.3415,0.039994,0.023482,0.002970,0.161682
28000,1.3415,0.039994,0.023482,0.002970,0.153425
29000,1.3415,0.039994,0.023482,0.002970,0.157657
30000,1.3415,0.039994,0.023482,0.002970,0.150380
31000,1.3415,0.039994,0.023482,0.002970,0.136701
32000,1.3415,0.039994,0.023482,0.002970,0.146303
33000,1.3415,0.039994,0.023482,0.002970,0.148754
34000,1.3415,0.039994,0.023482,0.002970,0.145177
35000,1.3415,0.039994,0.023482,0.002970,0.150317
36000,1.3415,0.039994,0.023482,0.002970,0.140317
37000,1.3415,0.039994,0.023482,0.002970,0.126662
38000,1.3415,0.039994,0.023482,0.002970,0.129557
39000,1.3415,0.039994,0.023482,0.002970,0.127808
40000,1.3415,0.039994,0.023482,0.002970,0.122418
41000,1.3415,0.039994,0.023482,0.002970,0.124493
42000,1.3415,0.039994,0.023482,0.002970,0.119548
43000,1.3415,0.039994,0.023482,0.002970,0.111104
44000,1.3415,0.039994,0.023482,0.002970,0.110423
45000,1.3415,0.039994,0.023482,0.002970,0.110742
46000,1.3415,0.039994,0.023482,0.002970,0.120097
47000,1.3415,0.039994,0.023482,0.002970,0.113209
48000,1.3415,0.039994,0.023482,0.002970,0.114343
49000,1.3415,0.039994,0.023482,0.002970,0.111795
50000,1.3415,0.039994,0.023482,0.002970,0.106852
51000,1.3415,0.039994,0.023482,0.002970,0.104457
52000,1.3415,0.039994,0.023482,0.002970,0.102633
53000,1.3415,0.039994,0.023482,0.002970,0.101879
54000,1.3415,0.039994,0.023482,0.002970,0.106492
55000,1.3415,0.039994,0.023482,0.002970,0.111146
56000,1.3415,0.039994,0.023482,0.002970,0.110359
57000,1.3415,0.039994,0.023482,0.002970,0.114858
58000,1.3415,0.039994,0.023482,0.002970,0.104648
59000,1.3415,0.039994,0.023482,0.002970,0.101185
60000,1.3415,0.039994,0.023482,0.002970,0.103689
61000,1.3415,0.039994,0.023482,0.002970,0.111328
62000,1.3415,0.039994,0.023482,0.002970,0.109015
63000,1.3415,0.039994,0.023482,0.002970,0.116342
64000,1.3415,0.039994,0.023482,0.002970,0.106312
65000,1.3415,0.039994,0.023482,0.002970,0.118224
66000,1.3415,0.039994,0.023482,0.002970,0.114572
67000,1.3415,0.039994,0.023482,0.002970,0.125510
68000,1.3415,0.039994,0.023482,0.002970,0.115712
69000,1.3415,0.039994,0.023482,0.002970,0.111714
70000,1.3415,0.039994,0.023482,0.002970,0.101706
71000,1.3415,0.039994,0.023482,0.002970,0.111462
72000,1.3415,0.039994,0.023482,0.002970,0.104310
73000,1.3415,0.039994,0.023482,0.002970,0.101870
74000,1.3415,0.039994,0.023482,0.002970,0.109415
75000,1.3415,0.039994,0.023482,0.002970,0.105605
76000,1.3415,0.039994,0.023482,0.002970,0.107380
77000,1.3415,0.039994,0.023482,0.002970,0.107878
78000,1.3415,0.039994,0.023482,0.002970,0.093646
79000,1.3415,0.039994,0.023482,0.002970,0.098757
80000,1.3415,0.039994,0.023482,0.002970,0.090704
81000,1.3415,0.039994,0.023482,0.002970,0.088752
82000,1.3415,0.039994,0.023482,0.002970,0.088483
83000,1.3415,0.039994,0.023482,0.002970,0.089085
84000,1.3415,0.039994,0.023482,0.002970,0.091076
85000,1.3415,0.039994,0.023482,0.002970,0.090135
86000,1.3415,0.039994,0.023482,0.002970,0.092577
87000,1.3415,0.039994,0.023482,0.002970,0.107236
88000,1.3415,0.039994,0.023482,0.002970,0.098348
89000,1.3415,0.039994,0.023482,0.002970,0.108308
90000,1.3415,0.039994,0.023482,0.002970,0.100630
91000,1.3415,0.039994,0.023482,0.002970,0.094210
92000,1.3415,0.039994,0.023482,0.002970,0.090292
93000,1.3415,0.039994,0.023482,0.002970,0.089856
94000,1.3415,0.039994,0.023482,0.002970,0.084495
95000,1.3415,0.039994,0.023482,0.002970,0.084816
96000,1.3415,0.039994,0.023482,0.002970,0.081708
97000,1.3415,0.039994,0.023482,0.002970,0.084894
98000,1.3415,0.039994,0.023482,0.002970,0.084530
99000,1.3415,0.039994,0.023482,0.002970,0.084499
100000,1.3415,0.039994,0.023482,0.002970,0.088367
101000,1.3415,0.039994,0.023482,0.002970,0.092339
102000,1.3415,0.039994,0.023482,0.002970,0.099930
103000,1.3415,0.039994,0.023482,0.002970,0.107947
104000,1.3415,0.039994,0.023482,0.002970,0.105897
105000,1.3415,0.039994,0.023482,0.002970,0.100456
106000,1.3415,0.039994,0.023482,0.002970,0.087676
107000,1.3415,0.039994,0.023482,0.002970,0.095689
108000,1.3415,0.039994,0.023482,0.002970,0.098260
109000,1.3415,0.039994,0.023482,0.002970,0.103787
110000,1.3415,0.039994,0.023482,0.002970,0.108097
111000,1.3415,0.039994,0.023482,0.002970,0.092695
112000,1.3415,0.039994,0.023482,0.002970,0.093458
113000,1.3415,0.039994,0.023482,0.002970,0.089002
114000,1.3415,0.039994,0.023482,0.002970,0.106996
115000,1.3415,0.039994,0.023482,0.002970,0.093418
116000,1.3415,0.039994,0.023482,0.002970,0.103348
117000,1.3415,0.039994,0.023482,0.002970,0.085888
118000,1.3415,0.039994,0.023482,0.002970,0.103245
119000,1.3415,0.039994,0.023482,0.002970,0.109359
120000,1.3415,0.039994,0.023482,0.002970,0.116213
121000,1.3415,0.039994,0.023482,0.002970,0.104572
122000,1.3415,0.039994,0.023482,0.002970,0.093319
123000,1.3415,0.039994,0.023482,0.002970,0.094780
124000,1.3415,0.039994,0.023482,0.002970,0.099495
125000,1.3415,0.039994,0.023482,0.002970,0.108870
126000,1.3415,0.039994,0.023482,0.002970,0.101188
127000,1.3415,0.039994,0.023482,0.002970,0.102948
128000,1.3415,0.039994,0.023482,0.002970,0.096291
129000,1.3415,0.039994,0.023482,0.002970,0.102937
130000,1.3415,0.039994,0.023482,0.002970,0.098066
131000,1.3415,0.039994,0.023482,0.002970,0.093757
132000,1.3415,0.039994,0.023482,0.002970,0.096000
133000,1.3415,0.039994,0.023482,0.002970,0.117185
134000,1.3415,0.039994,0.023482,0.002970,0.121331
135000,1.3415,0.039994,0.023482,0.002970,0.098976
136000,1.3415,0.039994,0.023482,0.002970,0.102850
137000,1.3415,0.039994,0.023482,0.002970,0.094554
138000,1.3415,0.039994,0.023482,0.002970,0.095447
139000,1.3415,0.039994,0.023482,0.002970,0.101174
140000,1.3415,0.039994,0.023482,0.002970,0.101390
141000,1.3415,0.039994,0.023482,0.002970,0.108693
142000,1.3415,0.039994,0.023482,0.002970,0.107388
143000,1.3415,0.039994,0.023482,0.002970,0.115665
144000,1.3415,0.039994,0.023482,0.002970,0.102465
145000,1.3415,0.039994,0.023482,0.002970,0.090361
146000,1.3415,0.039994,0.023482,0.002970,0.096996
147000,1.3415,0.039994,0.023482,0.002970,0.092857
148000,1.3415,0.039994,0.023482,0.002970,0.105843
149000,1.3415,0.039994,0.023482,0.002970,0.086605
150000,1.3415,0.039994,0.023482,0.002970,0.111043
151000,1.3415,0.039994,0.023482,0.002970,0.110676
152000,1.3415,0.039994,0.023482,0.002970,0.113121
153000,1.3415,0.039994,0.023482,0.002970,0.094022
154000,1.3415,0.039994,0.023482,0.002970,0.096743
155000,1.3415,0.039994,0.023482,0.002970,0.106547
156000,1.3415,0.039994,0.023482,0.002970,0.117520
157000,1.3415,0.039994,0.023482,0.002970,0.121846
158000,1.3415,0.039994,0.023482,0.002970,0.116045
159000,1.3415,0.039994,0.023482,0.002970,0.123818
160000,1.3415,0.039994,0.023482,0.002970,0.118111
161000,1.3415,0.039994,0.023482,0.002970,0.110759
162000,1.3415,0.039994,0.023482,0.002970,0.111286
163000,1.3415,0.039994,0.023482,0.002970,0.093240
164000,1.3415,0.039994,0.023482,0.002970,0.112022
165000,1.3415,0.039994,0.023482,0.002970,0.113412
166000,1.3415,0.039994,0.023482,0.002970,0.109750
167000,1.3415,0.039994,0.023482,0.002970,0.114997
168000,1.3415,0.039994,0.023482,0.002970,0.114764
169000,1.3415,0.039994,0.023482,0.002970,0.112351
170000,1.3415,0.039994,0.023482,0.002970,0.132465
171000,1.3415,0.039994,0.023482,0.002970,0.128406
172000,1.3415,0.039994,0.023482,0.002970,0.120027
173000,1.3415,0.039994,0.023482,0.002970,0.113324
174000,1.3415,0.039994,0.023482,0.002970,0.115013
175000,1.3415,0.039994,0.023482,0.002970,0.127731
176000,1.3415,0.039994,0.023482,0.002970,0.127822
