Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
10000000,23.8212,1.028147,0.538949,0.086720,8.254301
10001000,23.8212,1.028147,0.538949,0.086720,8.240056
10002000,23.8212,1.028147,0.538949,0.086720,8.228839
10003000,23.8212,1.028147,0.538949,0.086720,8.253523
10004000,23.8212,1.028147,0.538949,0.086720,8.252563
10005000,23.8212,1.028147,0.538949,0.086720,8.228292
10006000,23.8212,1.028147,0.538949,0.086720,8.238981
10007000,23.8212,1.028147,0.538949,0.086720,8.254301
10008000,23.8212,1.028147,0.538949,0.086720,8.240056
10009000,23.8212,1.028147,0.538949,0.086720,8.228162
10010000,23.8212,1.028147,0.538949,0.086720,8.252803
10011000,23.8212,1.028147,0.538949,0.086720,8.252714
10012000,23.8212,1.028147,0.538949,0.086720,8.227598
10013000,23.8212,1.028147,0.538949,0.086720,8.240922
10014000,23.8212,1.028147,0.538949,0.086720,8.254301
10015000,23.8212,1.028147,0.538949,0.086720,8.238809
10016000,23.8212,1.028147,0.538949,0.086720,8.226915
10017000,23.8212,1.028147,0.538949,0.086720,8.253377
10018000,23.8212,1.028147,0.538949,0.086720,8.254150
10019000,23.8212,1.028147,0.538949,0.086720,8.227399
10020000,23.8212,1.028147,0.538949,0.086720,8.241604
10021000,23.8212,1.028147,0.538949,0.086720,8.254301
10022000,23.8212,1.028147,0.538949,0.086720,8.237164
10023000,23.8212,1.028147,0.538949,0.086720,8.228561
10024000,23.8212,1.028147,0.538949,0.086720,8.253089
10025000,23.8212,1.028147,0.538949,0.086720,8.252037
10026000,23.8212,1.028147,0.538949,0.086720,8.229799
10027000,23.8212,1.028147,0.538949,0.086720,8.241604
10028000,23.8212,1.028147,0.538949,0.086720,8.254301
10029000,23.8212,1.028147,0.538949,0.086720,8.235926
10030000,23.8212,1.028147,0.538949,0.086720,8.229799
10031000,23.8212,1.028147,0.538949,0.086720,8.253089
10032000,23.8212,1.028147,0.538949,0.086720,8.252037
10033000,23.8212,1.028147,0.538949,0.086720,8.229684
10034000,23.8212,1.028147,0.538949,0.086720,8.241719
10035000,23.8212,1.028147,0.538949,0.086720,8.254301
10036000,23.8212,1.028147,0.538949,0.086720,8.235926
10037000,23.8212,1.028147,0.538949,0.086720,8.229684
10038000,23.8212,1.028147,0.538949,0.086720,8.253204
10039000,23.8212,1.028147,0.538949,0.086720,8.252037
10040000,23.8212,1.028147,0.538949,0.086720,8.227420
10041000,23.8212,1.028147,0.538949,0.086720,8.243983
10042000,23.8212,1.028147,0.538949,0.086720,8.254301
10043000,23.8212,1.028147,0.538949,0.086720,8.235905
10044000,23.8212,1.028147,0.538949,0.086720,8.228608
10045000,23.8212,1.028147,0.538949,0.086720,8.254301
10046000,23.8212,1.028147,0.538949,0.086720,8.250982
10047000,23.8212,1.028147,0.538949,0.086720,8.228476
10048000,23.8212,1.028147,0.538949,0.086720,8.243983
10049000,23.8212,1.028147,0.538949,0.086720,8.254301
10050000,23.8212,1.028147,0.538949,0.086720,8.234166
10051000,23.8212,1.028147,0.538949,0.086720,8.230346
10052000,23.8212,1.028147,0.538949,0.086720,8.254301
10053000,23.8212,1.028147,0.538949,0.086720,8.249659
10054000,23.8212,1.028147,0.538949,0.086720,8.229799
10055000,23.8212,1.028147,0.538949,0.086720,8.243983
