Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
4000000,8.6440,0.261844,0.058609,0.079322,0.033893
4001000,8.6440,0.261844,0.058609,0.079322,0.039224
4002000,8.6440,0.261844,0.058609,0.079322,0.037869
4003000,8.6440,0.261844,0.058609,0.079322,0.034887
4004000,8.6440,0.261844,0.058609,0.079322,0.041836
4005000,8.6440,0.261844,0.058609,0.079322,0.032319
4006000,8.6440,0.261844,0.058609,0.079322,0.037919
4007000,8.6440,0.261844,0.058609,0.079322,0.039028
4008000,8.6440,0.261844,0.058609,0.079322,0.039511
4009000,8.6440,0.261844,0.058609,0.079322,0.036970
4010000,8.6440,0.261844,0.058609,0.079322,0.042828
4011000,8.6440,0.261844,0.058609,0.079322,0.033463
4012000,8.6440,0.261844,0.058609,0.079322,0.034299
4013000,8.6440,0.261844,0.058609,0.079322,0.042138
4014000,8.6440,0.261844,0.058609,0.079322,0.033781
4015000,8.6440,0.261844,0.058609,0.079322,0.036263
4016000,8.6440,0.261844,0.058609,0.079322,0.033651
4017000,8.6440,0.261844,0.058609,0.079322,0.039215
4018000,8.6440,0.261844,0.058609,0.079322,0.037077
4019000,8.6440,0.261844,0.058609,0.079322,0.041799
4020000,8.6440,0.261844,0.058609,0.079322,0.036553
4021000,8.6440,0.261844,0.058609,0.079322,0.037776
4022000,8.6440,0.261844,0.058609,0.079322,0.040850
4023000,8.6440,0.261844,0.058609,0.079322,0.040000
4024000,8.6440,0.261844,0.058609,0.079322,0.035710
4025000,8.6440,0.261844,0.058609,0.079322,0.043094
4026000,8.6440,0.261844,0.058609,0.079322,0.033420
4027000,8.6440,0.261844,0.058609,0.079322,0.034630
4028000,8.6440,0.261844,0.058609,0.079322,0.044032
4029000,8.6440,0.261844,0.058609,0.079322,0.036875
4030000,8.6440,0.261844,0.058609,0.079322,0.036848
4031000,8.6440,0.261844,0.058609,0.079322,0.042043
4032000,8.6440,0.261844,0.058609,0.079322,0.036113
4033000,8.6440,0.261844,0.058609,0.079322,0.033866
4034000,8.6440,0.261844,0.058609,0.079322,0.041930
4035000,8.6440,0.261844,0.058609,0.079322,0.036637
4036000,8.6440,0.261844,0.058609,0.079322,0.032507
4037000,8.6440,0.261844,0.058609,0.079322,0.041699
4038000,8.6440,0.261844,0.058609,0.079322,0.038365
4039000,8.6440,0.261844,0.058609,0.079322,0.031989
4040000,8.6440,0.261844,0.058609,0.079322,0.036449
4041000,8.6440,0.261844,0.058609,0.079322,0.044191
4042000,8.6440,0.261844,0.058609,0.079322,0.032190
