Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
1000,23.8212,1.028147,0.538949,0.086720,8.912066
2000,23.8212,1.028147,0.538949,0.086720,8.782560
3000,23.8212,1.028147,0.538949,0.086720,8.782560
4000,23.8212,1.028147,0.538949,0.086720,8.782560
5000,23.8212,1.028147,0.538949,0.086720,8.782560
6000,23.8212,1.028147,0.538949,0.086720,8.739918
7000,23.8212,1.028147,0.538949,0.086720,8.666854
8000,23.8212,1.028147,0.538949,0.086720,8.687228
9000,23.8212,1.028147,0.538949,0.086720,8.720977
10000,23.8212,1.028147,0.538949,0.086720,8.776466
11000,23.8212,1.028147,0.538949,0.086720,8.729524
12000,23.8212,1.028147,0.538949,0.086720,8.766894
13000,23.8212,1.028147,0.538949,0.086720,8.771739
14000,23.8212,1.028147,0.538949,0.086720,8.758028
15000,23.8212,1.028147,0.538949,0.086720,8.771411
16000,23.8212,1.028147,0.538949,0.086720,8.738266
17000,23.8212,1.028147,0.538949,0.086720,8.747379
18000,23.8212,1.028147,0.538949,0.086720,8.760286
19000,23.8212,1.028147,0.538949,0.086720,8.720410
20000,23.8212,1.028147,0.538949,0.086720,8.714872
21000,23.8212,1.028147,0.538949,0.086720,8.714925
22000,23.8212,1.028147,0.538949,0.086720,8.691523
23000,23.8212,1.028147,0.538949,0.086720,8.724190
24000,23.8212,1.028147,0.538949,0.086720,8.670360
25000,23.8212,1.028147,0.538949,0.086720,8.757020
26000,23.8212,1.028147,0.538949,0.086720,8.677140
27000,23.8212,1.028147,0.538949,0.086720,8.662347
28000,23.8212,1.028147,0.538949,0.086720,8.693328
29000,23.8212,1.028147,0.538949,0.086720,8.637531
30000,23.8212,1.028147,0.538949,0.086720,8.640047
31000,23.8212,1.028147,0.538949,0.086720,8.645005
32000,23.8212,1.028147,0.538949,0.086720,8.609516
33000,23.8212,1.028147,0.538949,0.086720,8.626441
34000,23.8212,1.028147,0.538949,0.086720,8.601322
35000,23.8212,1.028147,0.538949,0.086720,8.582689
36000,23.8212,1.028147,0.538949,0.086720,8.603911
37000,23.8212,1.028147,0.538949,0.086720,8.564086
38000,23.8212,1.028147,0.538949,0.086720,8.547594
