Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
100,1.6202,0.544831,0.005673,0.000697,0.326899
200,1.6202,0.544831,0.005673,0.000697,0.326899
300,1.6202,0.544831,0.005673,0.000697,0.326899
400,1.6202,0.544831,0.005673,0.000697,0.326899
500,1.6202,0.544831,0.005673,0.000697,0.326899
600,1.6202,0.544831,0.005673,0.000697,0.326899
700,1.6202,0.544831,0.005673,0.000697,0.326899
800,1.6202,0.544831,0.005673,0.000697,0.326899
900,1.6202,0.544831,0.005673,0.000697,0.326899
1000,1.6202,0.544831,0.005673,0.000697,0.326899
1100,1.6202,0.544831,0.005673,0.000697,0.326899
1200,1.6202,0.544831,0.005673,0.000697,0.326899
1300,1.6202,0.544831,0.005673,0.000697,0.326899
1400,1.6202,0.544831,0.005673,0.000697,0.326899
1500,1.6202,0.544831,0.005673,0.000697,0.326899
1600,1.6202,0.544831,0.005673,0.000697,0.326899
1700,1.6202,0.544831,0.005673,0.000697,0.326899
1800,1.6202,0.544831,0.005673,0.000697,0.326899
1900,1.6202,0.544831,0.005673,0.000697,0.326899
2000,1.6202,0.544831,0.005673,0.000697,0.326899
2100,1.6202,0.544831,0.005673,0.000697,0.326899
2200,1.6202,0.544831,0.005673,0.000697,0.326899
2300,1.6202,0.544831,0.005673,0.000697,0.326899
2400,1.6202,0.544831,0.005673,0.000697,0.326899
2500,1.6202,0.544831,0.005673,0.000697,0.326899
2600,1.6202,0.544831,0.005673,0.000697,0.326899
2700,1.6202,0.544831,0.005673,0.000697,0.326899
2800,1.6202,0.544831,0.005673,0.000697,0.326899
2900,1.6202,0.544831,0.005673,0.000697,0.326899
3000,1.6202,0.544831,0.005673,0.000697,0.326899
3100,1.6202,0.544831,0.005673,0.000697,0.326899
3200,1.6202,0.544831,0.005673,0.000697,0.326899
3300,1.6202,0.544831,0.005673,0.000697,0.326899
3400,1.6202,0.544831,0.005673,0.000697,0.326899
3500,1.6202,0.544831,0.005673,0.000697,0.326899
3600,1.6202,0.544831,0.005673,0.000697,0.326899
3700,1.6202,0.544831,0.005673,0.000697,0.326899
3800,1.6202,0.544831,0.005673,0.000697,0.326899
3900,1.6202,0.544831,0.005673,0.000697,0.326899
4000,1.6202,0.544831,0.005673,0.000697,0.326899
4100,1.6202,0.544831,0.005673,0.000697,0.326899
4200,1.6202,0.544831,0.005673,0.000697,0.326899
4300,1.6202,0.544831,0.005673,0.000697,0.326899
4400,1.6202,0.544831,0.005673,0.000697,0.326899
4500,1.6202,0.544831,0.005673,0.000697,0.326899
4600,1.6202,0.544831,0.005673,0.000697,0.326899
4700,1.6202,0.544831,0.005673,0.000697,0.326899
4800,1.6202,0.544831,0.005673,0.000697,0.326899
4900,1.6202,0.544831,0.005673,0.000697,0.326899
5000,1.6202,0.544831,0.005673,0.000697,0.326899
5100,1.6202,0.544831,0.005673,0.000697,0.326899
5200,1.6202,0.544831,0.005673,0.000697,0.326899
5300,1.6202,0.544831,0.005673,0.000697,0.326899
5400,1.6202,0.544831,0.005673,0.000697,0.326899
5500,1.6202,0.544831,0.005673,0.000697,0.326899
5600,1.6202,0.544831,0.005673,0.000697,0.326899
5700,1.6202,0.544831,0.005673,0.000697,0.326899
5800,1.6202,0.544831,0.005673,0.000697,0.382333
5900,1.6202,0.544831,0.005673,0.000697,0.682991
6000,1.6202,0.544831,0.005673,0.000697,0.689098
6100,1.6202,0.544831,0.005673,0.000697,0.679119
6200,1.6202,0.544831,0.005673,0.000697,0.612296
6300,1.6202,0.544831,0.005673,0.000697,0.612866
6400,1.6202,0.544831,0.005673,0.000697,0.563710
6500,1.6202,0.544831,0.005673,0.000697,0.505927
6600,1.6202,0.544831,0.005673,0.000697,0.375870
6700,1.6202,0.544831,0.005673,0.000697,0.551126
6800,1.6202,0.544831,0.005673,0.000697,0.611286
6900,1.6202,0.544831,0.005673,0.000697,0.508433
7000,1.6202,0.544831,0.005673,0.000697,0.515052
7100,1.6202,0.544831,0.005673,0.000697,0.563069
7200,1.6202,0.544831,0.005673,0.000697,0.630248
7300,1.6202,0.544831,0.005673,0.000697,0.663146
7400,1.6202,0.544831,0.005673,0.000697,0.618019
7500,1.6202,0.544831,0.005673,0.000697,0.533630
7600,1.6202,0.544831,0.005673,0.000697,0.601121
7700,1.6202,0.544831,0.005673,0.000697,0.611186
7800,1.6202,0.544831,0.005673,0.000697,0.584124
7900,1.6202,0.544831,0.005673,0.000697,0.546613
8000,1.6202,0.544831,0.005673,0.000697,0.568721
8100,1.6202,0.544831,0.005673,0.000697,0.529615
8200,1.6202,0.544831,0.005673,0.000697,0.609933
8300,1.6202,0.544831,0.005673,0.000697,0.659246
8400,1.6202,0.544831,0.005673,0.000697,0.641836
8500,1.6202,0.544831,0.005673,0.000697,0.605620
8600,1.6202,0.544831,0.005673,0.000697,0.602616
8700,1.6202,0.544831,0.005673,0.000697,0.580850
8800,1.6202,0.544831,0.005673,0.000697,0.546713
8900,1.6202,0.544831,0.005673,0.000697,0.585562
9000,1.6202,0.544831,0.005673,0.000697,0.589178
9100,1.6202,0.544831,0.005673,0.000697,0.577134
9200,1.6202,0.544831,0.005673,0.000697,0.437710
9300,1.6202,0.544831,0.005673,0.000697,0.357079
9400,1.6202,0.544831,0.005673,0.000697,0.362203
