Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
100,23.8212,1.028147,0.538949,0.086720,9.081424
200,23.8212,1.028147,0.538949,0.086720,8.995993
300,23.8212,1.028147,0.538949,0.086720,8.995993
400,23.8212,1.028147,0.538949,0.086720,8.995993
500,23.8212,1.028147,0.538949,0.086720,8.995993
600,23.8212,1.028147,0.538949,0.086720,8.995993
700,23.8212,1.028147,0.538949,0.086720,8.995993
800,23.8212,1.028147,0.538949,0.086720,8.995993
900,23.8212,1.028147,0.538949,0.086720,8.995993
1000,23.8212,1.028147,0.538949,0.086720,8.995993
1100,23.8212,1.028147,0.538949,0.086720,8.995993
1200,23.8212,1.028147,0.538949,0.086720,8.995993
1300,23.8212,1.028147,0.538949,0.086720,8.995993
1400,23.8212,1.028147,0.538949,0.086720,8.995993
1500,23.8212,1.028147,0.538949,0.086720,8.995993
1600,23.8212,1.028147,0.538949,0.086720,8.995993
1700,23.8212,1.028147,0.538949,0.086720,8.995993
1800,23.8212,1.028147,0.538949,0.086720,8.995993
1900,23.8212,1.028147,0.538949,0.086720,8.995993
2000,23.8212,1.028147,0.538949,0.086720,8.995993
2100,23.8212,1.028147,0.538949,0.086720,8.995993
2200,23.8212,1.028147,0.538949,0.086720,8.995993
2300,23.8212,1.028147,0.538949,0.086720,8.995993
2400,23.8212,1.028147,0.538949,0.086720,8.995993
2500,23.8212,1.028147,0.538949,0.086720,8.995993
2600,23.8212,1.028147,0.538949,0.086720,8.995993
2700,23.8212,1.028147,0.538949,0.086720,8.995993
2800,23.8212,1.028147,0.538949,0.086720,8.995993
2900,23.8212,1.028147,0.538949,0.086720,8.995993
3000,23.8212,1.028147,0.538949,0.086720,8.995993
3100,23.8212,1.028147,0.538949,0.086720,8.995993
3200,23.8212,1.028147,0.538949,0.086720,8.995993
3300,23.8212,1.028147,0.538949,0.086720,8.995993
3400,23.8212,1.028147,0.538949,0.086720,8.995993
3500,23.8212,1.028147,0.538949,0.086720,8.995993
3600,23.8212,1.028147,0.538949,0.086720,8.995993
3700,23.8212,1.028147,0.538949,0.086720,8.995993
3800,23.8212,1.028147,0.538949,0.086720,8.995993
3900,23.8212,1.028147,0.538949,0.086720,8.995993
4000,23.8212,1.028147,0.538949,0.086720,8.995993
4100,23.8212,1.028147,0.538949,0.086720,8.995993
4200,23.8212,1.028147,0.538949,0.086720,8.995993
4300,23.8212,1.028147,0.538949,0.086720,8.995993
4400,23.8212,1.028147,0.538949,0.086720,8.995993
4500,23.8212,1.028147,0.538949,0.086720,8.995993
4600,23.8212,1.028147,0.538949,0.086720,8.995993
4700,23.8212,1.028147,0.538949,0.086720,8.995993
4800,23.8212,1.028147,0.538949,0.086720,8.995993
4900,23.8212,1.028147,0.538949,0.086720,8.995993
5000,23.8212,1.028147,0.538949,0.086720,8.995993
5100,23.8212,1.028147,0.538949,0.086720,9.799268
5200,23.8212,1.028147,0.538949,0.086720,8.736164
5300,23.8212,1.028147,0.538949,0.086720,8.691858
5400,23.8212,1.028147,0.538949,0.086720,9.246164
5500,23.8212,1.028147,0.538949,0.086720,8.691858
5600,23.8212,1.028147,0.538949,0.086720,8.729197
5700,23.8212,1.028147,0.538949,0.086720,9.228927
5800,23.8212,1.028147,0.538949,0.086720,9.249797
5900,23.8212,1.028147,0.538949,0.086720,8.945618
6000,23.8212,1.028147,0.538949,0.086720,8.775858
6100,23.8212,1.028147,0.538949,0.086720,8.884200
6200,23.8212,1.028147,0.538949,0.086720,9.105148
6300,23.8212,1.028147,0.538949,0.086720,9.330681
6400,23.8212,1.028147,0.538949,0.086720,8.783327
6500,23.8212,1.028147,0.538949,0.086720,8.749757
6600,23.8212,1.028147,0.538949,0.086720,8.839418
6700,23.8212,1.028147,0.538949,0.086720,9.065348
6800,23.8212,1.028147,0.538949,0.086720,8.886530
6900,23.8212,1.028147,0.538949,0.086720,8.932235
7000,23.8212,1.028147,0.538949,0.086720,9.289535
7100,23.8212,1.028147,0.538949,0.086720,8.934403
7200,23.8212,1.028147,0.538949,0.086720,8.710350
7300,23.8212,1.028147,0.538949,0.086720,8.812479
7400,23.8212,1.028147,0.538949,0.086720,8.861336
7500,23.8212,1.028147,0.538949,0.086720,8.823847
7600,23.8212,1.028147,0.538949,0.086720,8.987163
7700,23.8212,1.028147,0.538949,0.086720,9.208276
7800,23.8212,1.028147,0.538949,0.086720,8.934443
7900,23.8212,1.028147,0.538949,0.086720,8.711704
8000,23.8212,1.028147,0.538949,0.086720,8.775335
8100,23.8212,1.028147,0.538949,0.086720,8.875301
8200,23.8212,1.028147,0.538949,0.086720,9.068107
8300,23.8212,1.028147,0.538949,0.086720,8.975273
8400,23.8212,1.028147,0.538949,0.086720,8.785034
8500,23.8212,1.028147,0.538949,0.086720,8.918497
8600,23.8212,1.028147,0.538949,0.086720,8.904649
8700,23.8212,1.028147,0.538949,0.086720,8.695592
8800,23.8212,1.028147,0.538949,0.086720,8.897223
8900,23.8212,1.028147,0.538949,0.086720,8.924294
9000,23.8212,1.028147,0.538949,0.086720,8.913526
9100,23.8212,1.028147,0.538949,0.086720,9.009616
9200,23.8212,1.028147,0.538949,0.086720,9.149093
9300,23.8212,1.028147,0.538949,0.086720,8.857043
9400,23.8212,1.028147,0.538949,0.086720,8.759993
9500,23.8212,1.028147,0.538949,0.086720,8.862934
9600,23.8212,1.028147,0.538949,0.086720,8.876664
9700,23.8212,1.028147,0.538949,0.086720,9.042110
9800,23.8212,1.028147,0.538949,0.086720,8.763882
9900,23.8212,1.028147,0.538949,0.086720,9.006299
10000,23.8212,1.028147,0.538949,0.086720,9.232497
10100,23.8212,1.028147,0.538949,0.086720,8.872539
10200,23.8212,1.028147,0.538949,0.086720,8.812615
10300,23.8212,1.028147,0.538949,0.086720,9.007969
10400,23.8212,1.028147,0.538949,0.086720,9.089651
10500,23.8212,1.028147,0.538949,0.086720,9.035097
10600,23.8212,1.028147,0.538949,0.086720,8.736913
10700,23.8212,1.028147,0.538949,0.086720,8.943693
10800,23.8212,1.028147,0.538949,0.086720,9.144127
10900,23.8212,1.028147,0.538949,0.086720,9.004709
11000,23.8212,1.028147,0.538949,0.086720,8.715952
11100,23.8212,1.028147,0.538949,0.086720,9.124862
11200,23.8212,1.028147,0.538949,0.086720,9.058026
