Cycle,Area(mm^2),PeakDynamic(W),SubthresholdLeakage(W),GateLeakage(W),RunTimeDynamic(W)
100,1.3415,0.039994,0.023482,0.002970,0.221545
200,1.3415,0.039994,0.023482,0.002970,0.128061
300,1.3415,0.039994,0.023482,0.002970,0.128061
400,1.3415,0.039994,0.023482,0.002970,0.128061
500,1.3415,0.039994,0.023482,0.002970,0.128061
600,1.3415,0.039994,0.023482,0.002970,0.128061
700,1.3415,0.039994,0.023482,0.002970,0.128061
800,1.3415,0.039994,0.023482,0.002970,0.128061
900,1.3415,0.039994,0.023482,0.002970,0.128061
1000,1.3415,0.039994,0.023482,0.002970,0.128061
1100,1.3415,0.039994,0.023482,0.002970,0.128061
1200,1.3415,0.039994,0.023482,0.002970,0.128061
1300,1.3415,0.039994,0.023482,0.002970,0.128061
1400,1.3415,0.039994,0.023482,0.002970,0.128061
1500,1.3415,0.039994,0.023482,0.002970,0.128061
1600,1.3415,0.039994,0.023482,0.002970,0.128061
1700,1.3415,0.039994,0.023482,0.002970,0.128061
1800,1.3415,0.039994,0.023482,0.002970,0.128061
1900,1.3415,0.039994,0.023482,0.002970,0.128061
2000,1.3415,0.039994,0.023482,0.002970,0.128061
2100,1.3415,0.039994,0.023482,0.002970,0.128061
2200,1.3415,0.039994,0.023482,0.002970,0.128061
2300,1.3415,0.039994,0.023482,0.002970,0.128061
2400,1.3415,0.039994,0.023482,0.002970,0.128061
2500,1.3415,0.039994,0.023482,0.002970,0.128061
2600,1.3415,0.039994,0.023482,0.002970,0.128061
2700,1.3415,0.039994,0.023482,0.002970,0.128061
2800,1.3415,0.039994,0.023482,0.002970,0.128061
2900,1.3415,0.039994,0.023482,0.002970,0.128061
3000,1.3415,0.039994,0.023482,0.002970,0.128061
3100,1.3415,0.039994,0.023482,0.002970,0.128061
3200,1.3415,0.039994,0.023482,0.002970,0.128061
3300,1.3415,0.039994,0.023482,0.002970,0.128061
3400,1.3415,0.039994,0.023482,0.002970,0.128061
3500,1.3415,0.039994,0.023482,0.002970,0.128061
3600,1.3415,0.039994,0.023482,0.002970,0.128061
3700,1.3415,0.039994,0.023482,0.002970,0.128061
3800,1.3415,0.039994,0.023482,0.002970,0.128061
3900,1.3415,0.039994,0.023482,0.002970,0.128061
4000,1.3415,0.039994,0.023482,0.002970,0.128061
4100,1.3415,0.039994,0.023482,0.002970,0.128061
4200,1.3415,0.039994,0.023482,0.002970,0.128061
4300,1.3415,0.039994,0.023482,0.002970,0.128061
4400,1.3415,0.039994,0.023482,0.002970,0.128061
4500,1.3415,0.039994,0.023482,0.002970,0.128061
4600,1.3415,0.039994,0.023482,0.002970,0.128061
4700,1.3415,0.039994,0.023482,0.002970,0.128061
4800,1.3415,0.039994,0.023482,0.002970,0.128061
4900,1.3415,0.039994,0.023482,0.002970,0.128061
5000,1.3415,0.039994,0.023482,0.002970,0.128061
5100,1.3415,0.039994,0.023482,0.002970,0.143603
5200,1.3415,0.039994,0.023482,0.002970,0.124472
5300,1.3415,0.039994,0.023482,0.002970,0.120946
5400,1.3415,0.039994,0.023482,0.002970,0.121481
5500,1.3415,0.039994,0.023482,0.002970,0.120946
5600,1.3415,0.039994,0.023482,0.002970,0.120946
5700,1.3415,0.039994,0.023482,0.002970,0.121623
5800,1.3415,0.039994,0.023482,0.002970,0.122763
5900,1.3415,0.039994,0.023482,0.002970,0.120946
6000,1.3415,0.039994,0.023482,0.002970,0.120946
6100,1.3415,0.039994,0.023482,0.002970,0.121320
6200,1.3415,0.039994,0.023482,0.002970,0.120946
6300,1.3415,0.039994,0.023482,0.002970,0.121641
6400,1.3415,0.039994,0.023482,0.002970,0.121623
6500,1.3415,0.039994,0.023482,0.002970,0.120946
6600,1.3415,0.039994,0.023482,0.002970,0.121481
6700,1.3415,0.039994,0.023482,0.002970,0.120946
6800,1.3415,0.039994,0.023482,0.002970,0.120946
6900,1.3415,0.039994,0.023482,0.002970,0.122318
7000,1.3415,0.039994,0.023482,0.002970,0.120946
7100,1.3415,0.039994,0.023482,0.002970,0.120946
7200,1.3415,0.039994,0.023482,0.002970,0.121481
7300,1.3415,0.039994,0.023482,0.002970,0.120946
7400,1.3415,0.039994,0.023482,0.002970,0.122389
7500,1.3415,0.039994,0.023482,0.002970,0.121783
7600,1.3415,0.039994,0.023482,0.002970,0.120946
7700,1.3415,0.039994,0.023482,0.002970,0.121320
7800,1.3415,0.039994,0.023482,0.002970,0.120946
7900,1.3415,0.039994,0.023482,0.002970,0.120946
8000,1.3415,0.039994,0.023482,0.002970,0.121481
8100,1.3415,0.039994,0.023482,0.002970,0.120946
8200,1.3415,0.039994,0.023482,0.002970,0.121178
8300,1.3415,0.039994,0.023482,0.002970,0.121249
8400,1.3415,0.039994,0.023482,0.002970,0.120946
8500,1.3415,0.039994,0.023482,0.002970,0.121481
8600,1.3415,0.039994,0.023482,0.002970,0.120946
8700,1.3415,0.039994,0.023482,0.002970,0.120946
8800,1.3415,0.039994,0.023482,0.002970,0.121481
8900,1.3415,0.039994,0.023482,0.002970,0.120946
9000,1.3415,0.039994,0.023482,0.002970,0.121320
9100,1.3415,0.039994,0.023482,0.002970,0.120946
9200,1.3415,0.039994,0.023482,0.002970,0.120946
9300,1.3415,0.039994,0.023482,0.002970,0.121481
9400,1.3415,0.039994,0.023482,0.002970,0.120946
9500,1.3415,0.039994,0.023482,0.002970,0.121481
9600,1.3415,0.039994,0.023482,0.002970,0.121017
9700,1.3415,0.039994,0.023482,0.002970,0.120946
9800,1.3415,0.039994,0.023482,0.002970,0.120946
9900,1.3415,0.039994,0.023482,0.002970,0.121320
10000,1.3415,0.039994,0.023482,0.002970,0.121481
10100,1.3415,0.039994,0.023482,0.002970,0.120946
10200,1.3415,0.039994,0.023482,0.002970,0.121320
10300,1.3415,0.039994,0.023482,0.002970,0.121481
10400,1.3415,0.039994,0.023482,0.002970,0.120946
10500,1.3415,0.039994,0.023482,0.002970,0.121481
10600,1.3415,0.039994,0.023482,0.002970,0.121017
10700,1.3415,0.039994,0.023482,0.002970,0.120946
10800,1.3415,0.039994,0.023482,0.002970,0.120946
10900,1.3415,0.039994,0.023482,0.002970,0.122086
11000,1.3415,0.039994,0.023482,0.002970,0.121481
11100,1.3415,0.039994,0.023482,0.002970,0.120946
11200,1.3415,0.039994,0.023482,0.002970,0.121410
11300,1.3415,0.039994,0.023482,0.002970,0.121552
11400,1.3415,0.039994,0.023482,0.002970,0.120946
11500,1.3415,0.039994,0.023482,0.002970,0.121017
11600,1.3415,0.039994,0.023482,0.002970,0.121410
11700,1.3415,0.039994,0.023482,0.002970,0.120946
11800,1.3415,0.039994,0.023482,0.002970,0.121481
11900,1.3415,0.039994,0.023482,0.002970,0.120946
12000,1.3415,0.039994,0.023482,0.002970,0.120946
12100,1.3415,0.039994,0.023482,0.002970,0.121481
12200,1.3415,0.039994,0.023482,0.002970,0.120946
12300,1.3415,0.039994,0.023482,0.002970,0.121481
12400,1.3415,0.039994,0.023482,0.002970,0.120946
12500,1.3415,0.039994,0.023482,0.002970,0.120946
12600,1.3415,0.039994,0.023482,0.002970,0.122247
12700,1.3415,0.039994,0.023482,0.002970,0.120946
12800,1.3415,0.039994,0.023482,0.002970,0.121249
12900,1.3415,0.039994,0.023482,0.002970,0.121178
13000,1.3415,0.039994,0.023482,0.002970,0.120946
13100,1.3415,0.039994,0.023482,0.002970,0.121783
13200,1.3415,0.039994,0.023482,0.002970,0.121178
13300,1.3415,0.039994,0.023482,0.002970,0.120946
13400,1.3415,0.039994,0.023482,0.002970,0.121481
13500,1.3415,0.039994,0.023482,0.002970,0.120946
13600,1.3415,0.039994,0.023482,0.002970,0.121178
13700,1.3415,0.039994,0.023482,0.002970,0.121249
13800,1.3415,0.039994,0.023482,0.002970,0.120946
13900,1.3415,0.039994,0.023482,0.002970,0.121641
14000,1.3415,0.039994,0.023482,0.002970,0.121320
14100,1.3415,0.039994,0.023482,0.002970,0.120946
14200,1.3415,0.039994,0.023482,0.002970,0.122247
14300,1.3415,0.039994,0.023482,0.002970,0.121481
14400,1.3415,0.039994,0.023482,0.002970,0.120946
14500,1.3415,0.039994,0.023482,0.002970,0.121481
14600,1.3415,0.039994,0.023482,0.002970,0.121481
14700,1.3415,0.039994,0.023482,0.002970,0.120946
14800,1.3415,0.039994,0.023482,0.002970,0.121481
14900,1.3415,0.039994,0.023482,0.002970,0.120946
15000,1.3415,0.039994,0.023482,0.002970,0.120946
15100,1.3415,0.039994,0.023482,0.002970,0.121481
15200,1.3415,0.039994,0.023482,0.002970,0.120946
15300,1.3415,0.039994,0.023482,0.002970,0.121249
15400,1.3415,0.039994,0.023482,0.002970,0.121017
15500,1.3415,0.039994,0.023482,0.002970,0.120946
15600,1.3415,0.039994,0.023482,0.002970,0.122015
15700,1.3415,0.039994,0.023482,0.002970,0.121017
15800,1.3415,0.039994,0.023482,0.002970,0.120946
15900,1.3415,0.039994,0.023482,0.002970,0.120946
16000,1.3415,0.039994,0.023482,0.002970,0.121320
16100,1.3415,0.039994,0.023482,0.002970,0.120946
16200,1.3415,0.039994,0.023482,0.002970,0.120946
16300,1.3415,0.039994,0.023482,0.002970,0.121481
16400,1.3415,0.039994,0.023482,0.002970,0.120946
16500,1.3415,0.039994,0.023482,0.002970,0.122176
16600,1.3415,0.039994,0.023482,0.002970,0.121552
16700,1.3415,0.039994,0.023482,0.002970,0.120946
16800,1.3415,0.039994,0.023482,0.002970,0.121410
16900,1.3415,0.039994,0.023482,0.002970,0.121552
17000,1.3415,0.039994,0.023482,0.002970,0.120946
17100,1.3415,0.039994,0.023482,0.002970,0.121410
17200,1.3415,0.039994,0.023482,0.002970,0.121552
17300,1.3415,0.039994,0.023482,0.002970,0.120946
17400,1.3415,0.039994,0.023482,0.002970,0.121178
17500,1.3415,0.039994,0.023482,0.002970,0.121783
17600,1.3415,0.039994,0.023482,0.002970,0.120946
17700,1.3415,0.039994,0.023482,0.002970,0.121017
17800,1.3415,0.039994,0.023482,0.002970,0.122852
17900,1.3415,0.039994,0.023482,0.002970,0.120946
18000,1.3415,0.039994,0.023482,0.002970,0.120946
18100,1.3415,0.039994,0.023482,0.002970,0.120946
18200,1.3415,0.039994,0.023482,0.002970,0.121320
18300,1.3415,0.039994,0.023482,0.002970,0.121017
18400,1.3415,0.039994,0.023482,0.002970,0.120946
