cycle,hit,hit_res,miss,res_fail,sec_miss,mshr_hit
5000,0,0,0,0,0,0
5100,0,0,0,0,0,0
5200,0,0,0,0,0,0
5300,0,0,0,0,0,0
5400,0,0,0,0,0,0
5500,0,13,27,94,55,13
5600,0,15,9,56,41,15
5700,0,0,0,0,0,0
5800,0,0,0,0,0,0
5900,0,27,53,22,5,27
6000,0,67,86,136,15,67
6100,0,39,43,219,10,39
6200,0,5,16,277,2,5
6300,0,6,11,210,3,6
6400,0,17,17,148,1,17
6500,0,7,11,190,5,7
6600,0,7,13,372,0,7
6700,0,6,13,353,2,6
6800,0,4,15,208,2,4
6900,0,16,9,211,3,16
7000,0,2,13,320,3,2
7100,0,10,14,200,2,10
7200,0,0,10,188,0,0
7300,0,7,13,179,1,7
7400,0,6,8,359,2,6
7500,0,8,12,202,5,8
7600,0,0,12,156,1,0
7700,0,0,10,338,0,0
7800,0,0,18,256,0,0
7900,0,0,10,178,0,0
8000,0,7,6,322,2,7
8100,0,0,11,238,1,0
8200,0,0,10,290,0,0
8300,0,0,10,158,0,0
8400,0,0,5,298,1,0
8500,0,0,12,213,0,0
8600,0,0,14,229,1,0
8700,0,0,11,281,2,0
8800,0,0,10,144,1,0
8900,0,0,17,328,1,0
9000,0,0,16,178,2,0
9100,0,0,9,316,0,0
9200,0,0,14,174,0,0
9300,0,0,19,145,0,0
9400,1,0,11,344,0,0
9500,0,0,14,198,0,0
9600,0,8,18,266,1,8
9700,0,1,13,115,0,1
9800,3,30,10,103,2,30
9900,0,19,8,136,3,19
10000,0,40,4,168,5,40
10100,3,19,11,364,3,19
10200,2,21,10,295,3,21
10300,0,0,8,263,0,0
10400,0,13,10,201,4,13
10500,0,1,12,387,0,1
10600,0,0,13,303,1,0
10700,0,0,18,242,0,0
10800,1,4,17,143,1,4
10900,0,15,10,267,6,15
11000,11,0,12,92,1,0
11100,19,22,9,172,13,22
11200,20,21,7,172,6,21
11300,3,11,16,341,3,11
11400,3,1,9,236,5,1
11500,1,6,9,266,3,6
11600,0,9,12,177,2,9
11700,8,15,4,215,10,15
11800,14,5,6,163,8,5
11900,0,15,22,321,5,15
12000,0,9,18,204,2,9
12100,0,16,13,254,4,16
12200,0,2,15,178,1,2
12300,0,0,17,219,0,0
12400,0,0,8,192,0,0
12500,0,11,21,262,4,11
12600,0,0,19,331,0,0
12700,1,0,19,219,1,0
12800,1,2,19,205,1,2
12900,0,12,17,140,4,12
13000,0,0,18,177,0,0
13100,0,10,15,184,4,10
13200,4,39,5,160,7,39
13300,0,11,16,223,4,11
13400,0,11,17,275,3,11
13500,0,0,19,336,0,0
13600,0,0,19,220,0,0
13700,0,7,17,214,2,7
13800,6,5,17,249,1,5
13900,3,1,18,116,0,1
14000,3,0,16,153,0,0
14100,1,2,18,191,1,2
14200,0,0,13,350,0,0
14300,0,0,11,249,0,0
14400,2,2,10,185,2,2
14500,0,0,14,323,0,0
14600,0,0,13,178,0,0
14700,0,0,7,189,0,0
14800,0,0,15,219,0,0
14900,0,0,18,103,0,0
15000,0,0,13,330,0,0
15100,0,0,14,254,0,0
15200,0,0,4,275,0,0
15300,0,0,10,190,0,0
15400,0,0,12,231,0,0
15500,0,0,13,232,0,0
15600,0,0,5,247,0,0
15700,0,0,13,218,0,0
15800,0,0,7,291,1,0
15900,0,0,8,222,0,0
16000,0,0,6,326,0,0
16100,0,0,6,282,0,0
16200,0,0,4,196,0,0
16300,0,0,5,145,0,0
16400,0,0,3,206,0,0
16500,0,0,9,199,0,0
16600,0,0,9,299,0,0
16700,0,0,4,196,0,0
16800,0,0,8,218,0,0
16900,0,0,6,394,0,0
17000,0,0,5,381,0,0
17100,0,0,4,211,0,0
17200,0,0,5,172,0,0
17300,0,0,3,259,0,0
17400,0,0,6,254,0,0
17500,0,0,5,162,0,0
17600,0,0,3,107,0,0
17700,0,0,5,300,0,0
17800,0,0,5,283,0,0
17900,0,0,10,141,0,0
18000,0,0,2,321,0,0
18100,0,0,7,308,0,0
18200,0,0,5,166,0,0
18300,0,0,6,232,0,0
18400,0,0,9,152,0,0
18500,0,0,7,121,0,0
18600,0,0,7,188,0,0
18700,0,0,8,166,0,0
18800,0,0,14,222,0,0
18900,0,0,9,326,0,0
19000,0,0,8,392,0,0
19100,0,0,7,331,0,0
